DateTime,Entries,UniqueIPs
1472695696,228,240
1472784249,221,233
1472869467,211,220
1472957778,223,232
1473042984,217,225
1473129384,219,227
1473213856,249,258
1473302180,230,238
1473390745,238,246
1473475219,242,252
1473563779,236,246
1473648502,237,248
1473734902,235,248
1473823453,234,247
1473908449,238,250
1473996983,250,259
1474081938,254,262
1474166646,288,296
1474254982,258,266
1474343304,254,259
1474428017,285,292
1474516591,253,260
1474601303,284,293
1474687943,255,264
1474772660,254,262
1474862020,247,255
1474948343,244,253
1475036660,232,242
1475121140,251,262
1475206340,227,237
1475293215,228,238
1475381793,226,236
1475470108,237,248
1475556493,239,249
1475643137,249,255
1475730251,255,260
1475816894,259,264
1475907222,264,269
1475991614,266,269
1476076334,251,255
1476162973,252,255
1476252255,242,249
1476336774,240,248
1476423142,234,242
1476511694,268,279
1476598575,235,245
1476686888,241,250
1476771620,243,251
1476860464,247,253
1476944899,248,252
1477033456,253,256
1477118416,252,256
1477208680,265,271
1477295298,271,276
1477383851,268,274
1477470251,267,272
1477554763,262,268
1477643535,261,266
1477729932,258,263
1477817290,244,250
1477902067,260,266
1477986977,283,289
1478077261,262,268
1478160743,261,267
1478249770,260,266
1478334741,260,267
1478423309,255,261
1478508250,241,248
1478592978,237,245
1478681295,268,278
1478769861,245,254
1478856509,241,250
1478941460,242,252
1479029544,241,249
1479114263,239,248
1479207177,256,262
1479292344,262,267
1479378993,263,267
1479467551,263,267
1479553955,259,262
1479639152,256,259
1479727697,265,270
1479817944,260,265
1479902512,263,269
1479987141,263,272
1480076171,260,269
1480161381,269,277
1480246598,272,281
1480334904,265,276
1480423221,254,269
1480508439,261,273
1480616652,284,290
1480682185,278,284
1480770996,266,274
1480855534,281,289
1480944737,279,287
1481031353,272,280
1481117795,270,276
1481207544,317,324
1481292750,277,283
1481377703,278,283
1481462679,268,273
1481551298,279,281
1481640265,280,283
1481724755,273,277
1481813555,254,262
1481898268,248,255
1481986573,248,256
1482071800,238,247
1482156762,242,251
1482245564,243,250
1482332204,251,265
1482417403,280,297
1482505954,255,269
1482969864,138,141
1483035148,125,130
1483125863,109,115
1483210350,137,144
1483294828,155,165
1483383149,176,187
1483467628,199,211
1483556171,219,232
1483640905,205,216
1483729291,226,238
1490858173,50,50
1490912647,99,100
1491000971,138,141
1491086187,173,176
1491174498,211,215
1491259220,246,251
1491347350,276,281
1491432267,311,318
1491517215,311,318
1491605784,288,294
1491690506,332,338
