DateTime,Entries,UniqueIPs
1472942411,49,50
1473027374,94,96
1473114248,48,50
1473198975,90,96
1473287538,49,50
1473372052,93,96
1473461052,50,50
1473545538,94,95
1473634339,50,50
1473720737,96,97
1473805221,94,96
1473892336,49,50
1473977054,97,99
1474065372,50,50
1474149849,97,97
1474238426,49,50
1474322902,94,96
1474409358,50,50
1474497853,48,50
1474582578,94,98
1474676899,49,50
1474761372,93,95
1474849459,49,50
1474936819,48,50
1475021297,91,94
1475109619,48,50
1475195295,90,95
1475279806,83,90
1475368343,48,50
1475453062,80,86
1475541611,48,50
1475628253,48,50
1475713214,92,97
1475801768,45,50
1475886782,92,99
1475971263,94,97
1476059542,47,50
1476146176,50,50
1476231375,91,93
1476318271,49,50
1476404676,49,50
1476492972,47,50
1476579651,49,50
1476664101,89,94
1476748847,88,94
1476835454,49,50
1476924014,50,50
1477008977,94,95
1477097775,50,50
1477182501,89,92
1477269143,50,50
1477353661,97,97
1477441936,50,50
1477526656,97,98
1477614970,49,50
1477699459,94,96
1477788734,50,50
1477875144,50,50
1477971371,50,50
1478048452,97,98
1478132902,94,96
1478217861,95,98
1478304864,50,50
1478393289,50,50
1478478500,100,100
1478563458,99,99
1478652011,50,50
1478737219,94,95
1478825551,50,50
1478910754,95,95
1478999002,50,50
1479083620,98,98
1479168275,100,100
1479257783,50,50
1479342513,97,97
1479430867,50,50
1479517468,49,50
1479602192,94,96
1479687151,95,96
1479775949,50,50
1479859478,96,97
1479947787,50,50
1480032509,99,99
1480120823,50,50
1480205539,97,98
1480294100,49,50
1480378829,96,97
1480467710,49,50
1480552581,98,100
1480638033,98,99
1480726570,50,50
1480810337,98,98
1480899147,50,50
1480984230,94,95
1481069378,97,97
1481157200,49,50
1481242591,98,99
1481331381,49,50
1481416594,96,97
1481501328,98,98
1481590105,49,50
1481674824,98,99
1481763153,50,50
1481848357,97,99
1481936661,50,50
1482021385,94,95
1482106369,97,98
1482195659,50,50
1482280101,94,95
1482368666,46,50
1482453634,92,97
1482538127,91,96
1482970829,47,50
1482974650,94,98
1483063280,48,50
1483147948,94,97
1483236494,49,50
1483320984,98,99
1483409294,49,50
1483494259,94,96
1483579228,93,95
1483667782,49,50
1483752272,93,97
1490858174,50,50
1490916492,94,96
1491004895,50,50
1491090029,94,94
1491174499,94,94
1491263060,50,50
1491347350,93,94
1491436097,50,50
1491521067,96,97
1491609705,50,50
1491694354,95,95
1491779308,97,97
1491867853,49,50
1491952829,89,91
1492041406,50,50
1492126337,98,98
1492211543,95,97
1492300590,49,50
1492385783,97,98
1492470748,94,94
1492559066,50,50
1492643779,92,95
1492732358,50,50
1492817552,96,96
1492902519,90,90
1492991314,50,50
1493076263,96,97
1493163628,48,50
1493248588,96,98
1493337699,48,50
1493453540,48,50
1493514496,90,96
1493596357,89,92
1493681048,86,91
1493766078,90,94
1493854809,50,50
1493940250,94,96
1494025288,94,95
1494114013,48,50
1494198989,90,96
1494284531,86,94
1494373452,48,50
1494458626,92,98
1494543711,92,96
1494630273,49,50
1494716680,50,50
1494805934,50,50
1494891155,94,96
1494976123,95,97
1495064894,50,50
1495149850,95,95
1495238545,50,50
1495323155,95,99
1495409571,49,50
1495494753,93,95
1495583313,50,50
1495669954,50,50
1495754923,94,95
1495839868,94,95
1495928431,50,50
1496013376,90,91
1496098900,92,94
1496185707,50,50
1496274988,50,50
1496362114,50,50
1496447785,96,97
1496532492,98,98
1496621311,45,50
1496706022,89,96
1496791236,92,97
1496880123,50,50
1496964501,96,96
1497053312,50,50
1497138511,95,98
1497223235,94,97
1497312091,50,50
1497396754,94,97
1497485535,50,50
1497570269,97,97
1497655242,94,95
1497743549,50,50
1497828990,95,96
1497914911,93,98
1498003305,49,50
1498087938,92,95
1498176994,50,50
1498262521,94,95
1498347626,97,97
1498436192,48,50
1498519706,93,97
1498608742,49,50
1498693950,95,97
1498778669,98,99
1498867948,50,50
1498952906,95,96
1499040996,50,50
1499126896,99,100
1499212344,95,98
1499297064,95,97
1499386116,50,50
1499471296,97,99
1499556030,93,97
1499645075,50,50
1499729548,98,100
1499818582,49,50
1499901856,98,99
1499990918,50,50
1500075383,96,96
1500163937,49,50
1500249387,76,77
1500334589,81,82
1500423392,49,50
1500508348,80,81
1500593297,76,77
1500682095,49,50
1500767309,74,75
1500852026,78,79
1500940573,50,50
1501025771,81,81
1501114343,50,50
1501200279,98,98
