DateTime,AddedIPs,RemovedIPs
1472946257,20,47
1473031215,21,0
1473117851,28,49
1473206183,33,33
1473290658,34,0
1473379251,24,58
1473463703,33,0
1473552049,19,52
1473636991,24,0
1473723390,21,20
1473811939,28,53
1473896889,29,0
1473981620,24,28
1474070445,25,50
1474155134,26,0
1474243458,24,50
1474327934,32,0
1474416255,28,60
1474500981,32,0
1474589779,29,61
1474676422,29,29
1474765006,26,26
1474849454,21,0
1474936815,20,41
1475021295,28,0
1475109614,24,52
1475194811,30,0
1475283655,27,57
1475368342,20,0
1475453060,16,17
1475539457,23,15
1475627778,22,49
1475714654,24,24
1475801057,29,29
1475889859,25,25
1475974572,24,0
1476059305,16,20
1476146174,20,40
1476233053,28,28
1476321375,22,22
1476407775,18,0
1476492493,22,15
1476579149,20,45
1476667452,23,23
1476751940,21,0
1476840253,24,45
1476926651,26,0
1477013296,28,54
1477097774,26,0
1477188264,16,42
1477272975,22,0
1477357455,23,20
1477445812,24,49
1477530495,34,0
1477618807,25,59
1477703318,32,0
1477789945,26,58
1477876577,25,25
1477971145,26,26
1478051782,29,0
1478136522,24,26
1478221294,29,23
1478308344,27,60
1478396667,30,30
1478481380,24,0
1478569965,26,50
1478654440,25,0
1478742985,20,45
1478829377,27,0
1478914578,24,26
1479002665,20,45
1479087382,20,0
1479172108,20,16
1479261663,21,45
1479346343,28,0
1479434652,20,48
1479521296,25,25
1479606021,28,0
1479694813,19,47
1479780074,25,0
1479867155,20,45
1479951625,27,0
1480040178,24,51
1480124662,31,0
1480213212,17,48
1480297950,22,0
1480386511,26,48
1480471463,27,0
1480556437,19,22
1480644744,19,43
1480729693,29,0
1480818529,21,50
1480902983,24,0
1480992411,24,48
1481078790,29,0
1481165060,21,25
1481250273,28,22
1481335293,25,27
1481424251,17,46
1481508975,20,0
1481597770,28,48
1481684463,27,27
1481770883,29,29
1481856015,28,0
1481940496,24,24
1482029068,25,53
1482114034,23,0
1482203059,26,49
1482287779,30,0
1482374896,25,55
1482459867,25,0
1482546748,22,47
1482968422,26,26
1482987687,20,0
1483076660,14,34
1483162107,20,0
1483246883,13,17
1483258359,0,16
1483335160,20,0
1483421550,19,17
1483509864,18,40
1483594583,20,0
1483679294,20,16
1483767626,17,41
1490858172,43,43
1490920342,22,0
1491008666,21,43
1491093917,19,0
1491178335,15,15
1491266904,11,30
1491351164,20,0
1491439942,21,41
1491524908,26,0
1491613721,19,45
1491698177,18,0
1491783154,14,16
1491871694,24,40
1491956664,25,0
1492045291,17,42
1492130184,31,0
1492215370,20,29
