DateTime,Entries,UniqueIPs
1472946257,50,50
1473031215,71,71
1473117851,49,50
1473206183,50,50
1473290658,84,84
1473379251,49,50
1473463703,81,83
1473552049,50,50
1473636991,74,74
1473723390,74,75
1473811939,50,50
1473896889,78,79
1473981620,74,75
1474070445,48,50
1474155134,73,76
1474243458,50,50
1474327934,82,82
1474416255,50,50
1474500981,81,82
1474589779,49,50
1474676422,50,50
1474765006,49,50
1474849454,70,71
1474936815,50,50
1475021295,76,78
1475109614,47,50
1475194811,77,80
1475283655,49,50
1475368342,69,70
1475453060,69,69
1475539457,76,77
1475627778,48,50
1475714654,50,50
1475801057,50,50
1475889859,50,50
1475974572,74,74
1476059305,69,70
1476146174,50,50
1476233053,50,50
1476321375,50,50
1476407775,68,68
1476492493,75,75
1476579149,50,50
1476667452,49,50
1476751940,70,71
1476840253,50,50
1476926651,76,76
1477013296,49,50
1477097774,75,76
1477188264,50,50
1477272975,71,72
1477357455,73,75
1477445812,49,50
1477530495,82,84
1477618807,49,50
1477703318,81,82
1477789945,50,50
1477876577,50,50
1477971145,50,50
1478051782,78,79
1478136522,76,77
1478221294,82,83
1478308344,50,50
1478396667,50,50
1478481380,73,74
1478569965,49,50
1478654440,73,75
1478742985,50,50
1478829377,77,77
1478914578,74,75
1479002665,50,50
1479087382,70,70
1479172108,73,74
1479261663,50,50
1479346343,78,78
1479434652,50,50
1479521296,50,50
1479606021,78,78
1479694813,50,50
1479780074,75,75
1479867155,49,50
1479951625,76,77
1480040178,49,50
1480124662,80,81
1480213212,50,50
1480297950,71,72
1480386511,50,50
1480471463,77,77
1480556437,74,74
1480644744,49,50
1480729693,78,79
1480818529,50,50
1480902983,74,74
1480992411,49,50
1481078790,76,79
1481165060,75,75
1481250273,80,81
1481335293,78,79
1481424251,50,50
1481508975,70,70
1481597770,50,50
1481684463,50,50
1481770883,50,50
1481856015,77,78
1481940496,77,78
1482029068,50,50
1482114034,73,73
1482203059,50,50
1482287779,80,80
1482374896,50,50
1482459867,75,75
1482546748,50,50
1482968422,50,50
1482987687,70,70
1483076660,50,50
1483162107,70,70
1483246883,66,66
1483258359,50,50
1483335160,70,70
1483421550,71,72
1483509864,50,50
1483594583,69,70
1483679294,73,74
1483767626,50,50
1490858172,50,50
1490920342,72,72
1491008666,50,50
1491093917,69,69
1491178335,69,69
1491266904,50,50
1491351164,70,70
1491439942,50,50
1491524908,76,76
1491613721,50,50
1491698177,68,68
1491783154,66,66
1491871694,50,50
1491956664,75,75
1492045291,50,50
1492130184,81,81
1492215370,72,72
1492304512,50,50
1492389618,57,57
1492474589,72,72
1492562888,50,50
1492647611,81,81
1492736187,50,50
1492821389,76,76
1492906353,63,63
1492995151,50,50
1493080108,74,74
1493167705,50,50
1493252893,81,81
1493338587,78,78
1493437724,50,50
1493517142,63,63
