DateTime,AddedIPs,RemovedIPs
1472857942,27,27
1472946257,23,23
1473031215,21,21
1473117851,31,31
1473206183,33,33
1473290658,34,34
1473379251,28,28
1473463703,33,33
1473552049,24,24
1473636991,24,24
1473723390,25,25
1473811939,32,32
1473896889,29,29
1473981620,25,25
1474070445,27,27
1474155134,26,26
1474243458,24,24
1474327934,32,32
1474416255,33,33
1474500981,32,32
1474589779,33,33
1474676422,29,29
1474765006,26,26
1474849454,21,21
1474936815,24,24
1475021295,28,28
1475109614,29,29
1475194811,30,30
1475283655,32,32
1475368342,20,20
1475453060,19,19
1475539457,27,27
1475627778,27,27
1475714654,24,24
1475801057,29,29
1475889859,25,25
1475974572,24,24
1476059305,20,20
1476146174,23,23
1476233053,28,28
1476321375,22,22
1476407775,18,18
1476492493,25,25
1476579149,22,22
1476667452,23,23
1476751940,21,21
1476840253,29,29
1476926651,26,26
1477013296,31,31
1477097774,26,26
1477188264,21,21
1477272975,22,22
1477357455,25,25
1477445812,28,28
1477530495,34,34
1477618807,30,30
1477703318,32,32
1477789945,29,29
1477876577,25,25
1477971145,26,26
1478051782,29,29
1478136522,27,27
1478221294,33,33
1478308344,30,30
1478396667,30,30
1478481380,24,24
1478569965,29,29
1478654440,25,25
1478742985,24,24
1478829377,27,27
1478914578,25,25
1479002665,23,23
1479087382,20,20
1479172108,24,24
1479261663,23,23
1479346343,28,28
1479434652,24,24
1479521296,25,25
1479606021,28,28
1479694813,25,25
1479780074,25,25
1479867155,22,22
1479951625,27,27
1480040178,27,27
1480124662,31,31
1480213212,23,23
1480297950,22,22
1480386511,29,29
1480471463,27,27
1480556437,24,24
1480644744,22,22
1480729693,29,29
1480818529,24,24
1480902983,24,24
1480992411,26,26
1481078790,29,29
1481165060,25,25
1481250273,31,31
1481335293,29,29
1481424251,18,18
1481508975,20,20
1481597770,30,30
1481684463,27,27
1481770883,29,29
1481856015,28,28
1481940496,28,28
1482029068,25,25
1482114034,23,23
1482203059,28,28
1482287779,30,30
1482374896,28,28
1482459867,25,25
1482546748,24,24
1482968422,26,26
1482987687,20,20
1483076660,16,16
1483162107,20,20
1483246883,16,16
1483335160,20,20
1483421550,22,22
1483509864,20,20
1483594583,20,20
1483679294,24,24
1483767626,22,22
1490858172,43,43
1490920342,22,22
1491008666,22,22
1491093917,19,19
1491178335,19,19
1491266904,12,12
1491351164,20,20
1491439942,24,24
1491524908,26,26
1491613721,22,22
1491698177,18,18
1491783154,16,16
1491871694,26,26
1491956664,25,25
1492045291,20,20
1492130184,31,31
1492215370,22,22
1492304512,15,15
1492389618,7,7
1492474589,22,22
1492562888,30,30
1492647611,31,31
1492736187,28,28
1492821389,26,26
1492906353,13,13
1492995151,21,21
1493080108,24,24
1493167705,29,29
1493252893,31,31
1493338587,28,28
1493437724,22,22
1493517142,13,13
1493601859,14,14
1493686581,21,21
1493775154,25,25
1493860348,19,19
1493944812,28,28
1494037462,35,35
1494118335,21,21
1494206896,14,14
1494292122,32,32
1494377307,26,26
1494466335,27,27
1494551293,30,30
1494637935,24,24
1494724359,18,18
1494809770,13,13
1494898815,26,26
1494984038,23,23
1495070669,32,32
1495156353,25,25
1495246574,23,23
1495327715,24,24
1495417208,12,12
1495502409,32,32
1495587151,31,31
1495673793,27,27
1495762570,24,24
1495847552,24,24
1495936107,20,20
1496021050,9,9
1496106491,22,22
1496193386,22,22
1496278589,22,22
1496365943,30,30
1496451699,33,33
1496539946,19,19
1496624911,17,17
1496713224,28,28
1496798897,27,27
1496883868,31,31
1496972172,29,29
1497057152,27,27
1497146188,28,28
1497231153,18,18
1497315866,25,25
1497404423,35,35
1497489374,31,31
1497577934,33,33
1497662891,26,26
1497751288,17,17
1497836904,20,20
1497922588,36,36
1498011153,35,35
1498095626,32,32
1498180828,27,27
1498270094,28,28
1498355303,21,21
1498440013,15,15
1498527381,26,26
1498612835,29,29
1498701649,33,33
1498786574,34,34
1498875627,28,28
1498960585,21,21
1499048908,21,21
1499134586,25,25
1499220051,25,25
1499304986,29,29
1499393785,26,26
1499479346,25,25
1499563707,12,12
1499652746,16,16
1499737224,26,26
1499826260,28,28
1499913374,28,28
1499998573,26,26
1500083307,26,26
1500171623,6,6
1500257309,3,3
1500342269,27,27
1500431306,5,5
1500516090,1,1
1500604825,2,2
1500689789,1,1
1500774991,1,1
1500863535,1,1
1500948267,1,1
1501122512,36,36
1501208197,34,34
1501293393,35,35
1501380271,33,33
1501468107,30,30
1501552585,40,40
1501641610,35,35
1501726828,34,34
1501815387,29,29
1501900347,29,29
1501985306,32,32
1502074347,27,27
1502159302,31,31
1502244274,34,34
1502333308,31,31
1502418495,31,31
1502503471,35,35
1502592751,35,35
1502678665,32,32
1502763622,36,36
1502849793,34,34
1502935317,34,34
1503024994,39,39
1503109463,33,33
1503194907,31,31
1503283704,23,23
1503368888,35,35
1503454094,31,31
1503542408,35,35
1503678010,34,34
1503697214,41,41
1503782169,26,26
1503871267,21,21
1503956656,39,39
1504041614,42,42
1504107382,36,36
1504115054,36,36
1504130419,38,38
1504214899,40,40
1504299852,38,38
1504388169,27,27
1504475532,13,13
1504560255,46,46
1504649055,45,45
1504734496,45,45
1504819454,38,38
1504908259,34,34
1504992966,31,31
1505077695,28,28
1505166733,39,39
1505252653,39,39
1505338096,36,36
1505426656,42,42
1505511851,38,38
1505597291,24,24
1505685630,26,26
1505771053,38,38
1505856016,43,43
1505945771,34,34
1506030969,30,30
1506115452,36,36
1506204732,33,33
1506289934,31,31
1506374655,35,35
1506463695,36,36
1506548655,45,45
1506637212,45,45
1506722172,46,46
1506809787,34,34
1506895461,36,36
1506980000,39,39
1507068963,41,41
1507153930,43,43
1507239612,42,42
1507326254,45,45
1507414811,41,41
1507499533,35,35
1507585210,44,44
1507674012,40,40
1507759222,41,41
1507844656,37,37
1507933937,38,38
1508019853,35,35
1508104824,35,35
1508193855,38,38
1508279535,37,37
1508364732,37,37
1508450439,35,35
1508539213,37,37
1508624899,31,31
1508709852,22,22
1508796024,28,28
1508882177,34,34
1508970978,32,32
1509056660,30,30
1509142576,29,29
1509228419,39,39
1509313694,38,38
1509402258,40,40
1509487464,36,36
1509573368,39,39
1509662659,36,36
1509747614,37,37
1509835932,33,33
1509920892,41,41
1510006810,44,44
1510091538,43,43
1510180332,43,43
1510268438,36,36
1510353140,40,40
1510437852,37,37
1510527133,31,31
1510612340,27,27
1510698259,35,35
1510783463,31,31
1510872492,37,37
1510959142,37,37
1511044808,26,26
1511130738,29,29
1511219542,43,43
1511304975,38,38
1511389688,41,41
1511476098,41,41
1511564898,41,41
1511649371,33,33
1511737927,27,27
1511823372,29,29
1511908812,34,34
1511994254,38,38
1512080414,35,35
1512169934,32,32
1512254890,38,38
1512339853,36,36
1512429136,42,42
1512514574,42,42
1512602455,38,38
1512689309,39,39
1512775941,40,40
1512860651,36,36
1512946092,36,36
1513033230,39,39
1513117937,40,40
1513207209,42,42
1513293378,39,39
1513379529,42,42
1513465451,35,35
1513551129,31,31
1513636342,30,30
1513725856,40,40
1513812501,36,36
1513899142,38,38
1513984107,40,40
1514069299,34,34
1514158342,32,32
1514243534,34,34
1514328727,36,36
1514415374,41,41
1514501532,41,41
1514587211,44,44
1514673856,39,39
1514762659,35,35
1514848812,38,38
1514934254,36,36
1515020427,38,38
1515109462,40,40
1515194662,38,38
1515279613,30,30
1515365305,36,36
1515454816,38,38
1515538345,35,35
1515624499,42,42
1515714725,40,40
1515799695,41,41
1515885612,40,40
1515970582,35,35
1516059859,45,45
1516145052,40,40
1516230974,40,40
1516317381,45,45
1516404252,39,39
1516489699,39,39
1516578266,36,36
1516662732,39,39
1516751772,40,40
1516836968,41,41
1516922184,39,39
1517011277,36,36
1517094736,37,37
1517184029,46,46
1517269698,36,36
1517355375,41,41
1517440104,41,41
1517529856,39,39
1517615539,44,44
1517701456,42,42
1517787379,37,37
1517872576,35,35
1517961135,37,37
1518046091,40,40
1518131777,38,38
1518218896,35,35
1518305053,39,39
1518392663,31,31
1518479539,28,28
1518565702,33,33
1518649461,27,27
1518736821,29,29
1518824656,35,35
1518911778,28,28
1518998662,37,37
1519083863,44,44
1519170739,35,35
1519257376,33,33
1519344506,38,38
1519430422,33,33
1519517777,35,35
1519602731,40,40
1519688411,42,42
1519775294,37,37
1519862429,34,34
1519947862,31,31
1520033054,31,31
1520122100,38,38
1520207534,39,39
1520293698,41,41
1520378652,36,36
1520467933,32,32
1520553128,31,31
1520637857,28,28
1520727610,27,27
1520813533,21,21
1520900408,30,30
1520985373,25,25
1521071548,34,34
1521156745,25,25
1521246019,32,32
1521330730,27,27
1521419287,18,18
1521504725,25,25
1521589689,36,36
1521678491,29,29
1521763692,36,36
1521849853,29,29
1521935288,28,28
1522024568,23,23
1522110013,30,30
1522194981,26,26
1522282810,32,32
1522369219,27,27
1522455855,33,33
1522540581,17,17
1522626495,28,28
1522715535,31,31
1522801698,31,31
1522887376,33,33
1522973530,23,23
1523059932,21,21
1523148731,20,20
