DateTime,AddedIPs,RemovedIPs
1472857943,42,80
1472942410,36,0
1473031216,37,74
1473114019,41,0
1473202346,38,77
1473286819,39,42
1473375378,38,43
1473459859,41,38
1473548180,34,35
1473633146,40,33
1473719548,42,0
1473808106,40,71
1473893056,37,0
1473981620,40,79
1474066577,39,37
1474151293,40,35
1474239650,33,0
1474324101,35,31
1474412459,34,72
1474497141,27,0
1474585940,35,77
1474676431,38,35
1474765006,36,40
1474849456,35,44
1474936816,41,36
1475021296,38,36
1475109616,32,38
1475194811,31,40
1475279805,32,39
1475368343,32,37
1475453061,29,42
1475539459,38,36
1475627779,35,42
1475714656,30,33
1475801057,29,37
1475886088,40,37
1475974573,25,41
1476059308,29,38
1476144492,38,35
1476233055,33,35
1476317540,29,39
1476403944,31,35
1476492494,29,39
1476579151,34,37
1476663622,34,41
1476751941,29,38
1476836415,32,33
1476922809,39,37
1477009451,40,37
1477097775,38,25
1477182499,31,37
1477269140,37,37
1477357455,40,38
1477441935,37,37
1477530496,39,40
1477614970,39,39
1477703355,39,32
1477789946,36,32
1477873229,32,30
1477971146,43,29
1478047979,35,28
1478132656,37,43
1478221295,34,34
1478308345,40,30
1478392832,34,0
1478481380,39,66
1478566094,37,0
1478650573,34,29
1478739146,37,74
1478825769,36,35
1478910752,33,31
1478999001,42,27
1479083619,42,0
1479172109,39,63
1479257781,42,37
1479342506,41,0
1479430866,37,56
1479517466,36,39
1479602190,34,42
1479690977,41,34
1479775949,44,31
1479863303,40,35
1479947787,39,0
1480036347,44,77
1480120822,38,0
1480209373,37,77
1480294099,40,0
1480378828,40,73
1480465966,30,39
1480554523,39,0
1480639694,40,42
1480724425,38,35
1480813287,35,33
1480899689,35,34
1480986355,33,72
1481073701,31,40
1481157143,31,0
1481246430,37,69
1481331376,37,37
1481416587,31,0
1481505155,39,76
1481590104,42,0
1481678664,40,75
1481763151,42,0
1481848355,36,43
1481936658,31,70
1482021383,29,0
1482110198,37,69
1482195383,26,35
1482280100,40,0
1482367218,27,46
1482454108,25,36
1482539064,26,39
1482968423,37,192
1482987688,28,39
1483076661,36,32
1483162108,30,31
1483246883,42,44
1483335161,32,36
1483421551,32,33
1483509865,42,30
1483594584,42,30
1483679295,36,28
1483767627,33,32
1490858173,46,1066
1490916491,46,0
1491004894,44,0
1491090028,42,0
1491174498,44,0
1491263059,39,0
1491347349,37,0
1491436096,43,0
1491521066,43,0
1491609704,42,0
1491694353,40,0
1491779307,42,0
1491867852,41,0
1491952828,34,0
1492041405,39,0
1492126336,42,0
1492211541,37,0
1492300589,30,0
1492385782,38,0
1492470746,37,0
1492559064,41,0
1492643777,37,0
1492732357,44,0
1492817551,38,0
1492902518,28,0
1492991313,33,0
1493076262,40,0
1493164903,38,0
1493250250,32,0
1493335711,33,0
1493420907,30,0
1493521692,25,66
1493596356,20,0
1493681047,29,39
1493771784,29,59
1493856510,30,36
1493940983,37,33
1494035600,28,40
1494114499,28,44
1494199212,24,0
1494288269,22,77
1494373451,29,37
1494458625,32,0
1494547467,28,68
1494634092,30,40
1494720513,36,43
1494805932,38,31
1494891154,35,0
1494976123,41,30
1495064893,39,72
1495149849,35,0
1495238543,40,55
1495323154,24,0
1495409570,36,61
1495494752,42,34
1495583312,36,0
1495670500,36,69
1495755151,42,0
1495843721,38,68
1495928430,27,25
1496013375,32,19
1496102676,34,0
1496189545,36,33
1496274987,30,25
1496362113,40,0
1496447784,36,32
1496532264,36,30
1496618905,37,35
1496707945,35,63
1496792411,35,28
1496880990,38,33
1496965446,32,0
1497050433,36,28
1497138730,38,33
1497223700,44,33
1497312513,39,36
1497397224,41,41
1497485789,40,74
1497570492,41,40
1497656180,36,0
1497741627,34,35
1497830542,39,38
1497916350,36,75
1498001784,37,37
1498087230,37,44
1498176993,40,39
1498262519,39,36
1498347625,39,36
1498436191,31,36
1498519705,38,0
1498608741,40,71
1498693949,36,0
1498778668,42,40
1498867947,40,69
1498952905,33,0
1499040995,41,73
1499126895,33,32
1499212343,37,35
1499297062,43,0
1499386115,41,76
1499471295,30,0
1499559871,38,69
1499645074,41,42
1499729547,33,0
1499818581,41,78
1499901855,37,0
1499990917,37,79
1500075382,34,0
1500163936,32,80
1500249386,23,35
1500334588,23,34
1500423391,25,37
1500508347,20,0
1500593296,20,38
1500682094,15,73
1500767308,19,0
1500855861,9,83
1500940572,21,34
1501025770,17,0
1501114342,37,71
1501200278,44,0
1501285712,36,39
1501372651,42,78
1501458517,42,0
1501546833,42,78
1501632276,40,0
1501717229,42,36
1501805796,37,78
1501890757,39,42
1501976197,31,0
1502064985,37,76
1502149711,41,0
1502235150,34,42
1502324197,38,79
1502409692,35,0
1502495064,37,87
1502583626,37,40
1502669071,39,29
1502754263,37,0
1502840193,33,19
1502928988,44,37
1503013952,35,0
1503099387,33,26
1503187946,42,33
1503272910,34,0
1503361453,34,32
1503446426,36,0
1503534726,39,52
1503678010,37,32
1503697214,38,0
1503782170,44,39
1503871268,37,36
1503956657,42,39
1504041615,40,38
1504107383,33,41
1504130420,38,0
1504214900,43,40
1504299853,32,37
1504388170,44,42
1504475533,41,38
1504560256,33,32
1504649056,32,32
1504734497,35,37
1504819455,33,42
1504908260,34,27
1504992967,34,31
1505077696,33,32
1505166734,33,33
1505252654,30,38
1505338096,31,35
1505426657,33,35
1505511852,42,36
1505597291,35,39
1505685631,32,34
1505771053,31,34
1505856017,32,35
1505941936,36,37
1506030970,33,37
1506115453,36,45
1506200898,32,40
1506289935,33,77
1506374655,28,40
1506459855,29,0
1506548656,36,33
1506633379,31,40
1506722173,37,69
1506806653,28,34
1506895462,36,81
1506980001,32,0
1507065133,31,37
1507153930,28,68
1507239613,28,0
1507326255,32,31
1507410978,34,27
1507499533,29,30
1507585211,23,75
1507670172,26,36
1507759223,35,34
1507844657,34,31
1507930098,29,26
1508016014,38,0
1508104825,34,79
1508189778,42,36
1508275692,39,0
1508360920,32,29
1508450440,36,59
1508535371,29,37
1508620812,34,0
1508709853,33,70
1508796025,31,31
1508882178,30,27
1508967140,25,26
1509052336,28,27
1509138730,35,0
1509228420,27,59
1509313695,27,0
1509398426,41,34
1509487464,33,60
1509573369,32,36
1509658819,34,33
1509743770,35,0
1509832087,37,66
1509917051,33,0
1510002969,42,29
1510091539,41,65
1510176492,31,0
1510263139,32,49
1510349295,39,0
1510437853,39,73
1510523289,37,32
1510608498,39,39
1510694177,41,0
1510783464,33,71
1510868655,33,38
1510954338,29,29
1511040969,24,0
1511126894,29,45
1511215451,34,74
1511301136,24,0
1511385849,30,36
1511472254,27,29
1511561063,31,62
1511645531,35,36
1511734086,32,39
1511819527,32,0
1511904978,28,30
1511994255,36,74
1512080415,36,31
1512165857,26,38
1512251054,24,42
1512339854,32,36
1512425293,34,39
1512510495,25,40
1512602455,34,33
1512684502,30,38
1512771375,27,32
1512856809,34,31
1512942257,32,37
1513029372,40,0
1513117938,35,53
1513203372,35,31
1513289539,39,35
1513375706,28,29
1513461608,42,25
1513547286,34,22
1513636342,37,24
1513721773,39,31
1513808414,35,37
1513895300,31,26
1513980255,30,32
1514065452,26,37
1514154493,22,36
1514239448,32,40
1514324907,29,0
1514411533,34,72
1514497697,34,35
1514587211,34,42
1514673857,28,38
1514758817,28,31
1514844966,24,27
1514930422,32,0
1515016573,34,29
1515105139,36,60
1515190099,29,0
1515275768,32,37
1515365306,37,61
1515450984,32,23
1515538345,34,35
1515624500,26,32
1515710896,40,37
1515795916,27,34
1515881776,26,39
1515970583,31,38
1516056009,34,39
1516141213,36,31
1516227133,35,0
1516313300,35,34
1516400416,34,74
1516485860,33,0
1516574184,34,56
1516658892,36,24
1516747693,37,32
1516833136,42,36
1516917856,40,31
1517007380,37,35
1517090895,35,34
1517179935,40,32
1517265611,42,0
1517351530,40,29
1517436262,44,21
1517526029,37,61
1517610976,37,37
1517697611,44,34
1517783534,39,26
1517868731,37,31
1517957301,43,0
1518042251,39,37
1518127697,41,36
1518214816,42,42
1518301217,35,32
1518388334,37,70
1518474728,42,25
1518561857,41,0
1518649462,26,70
1518732978,42,0
1518820580,39,69
1518906740,28,32
1518994578,35,38
1519080018,41,33
1519166414,41,38
1519253299,41,41
1519340424,43,41
1519426583,34,39
1519513710,32,36
1519598886,25,0
1519684574,37,72
1519771452,37,0
1519858579,39,80
1519943538,39,36
1520029216,44,40
1520118019,40,0
1520203449,35,83
1520289614,35,26
1520374568,37,0
1520460252,37,37
1520549299,35,39
1520634016,43,43
1520719696,41,37
1520809455,26,85
1520892495,42,0
1520981532,30,80
1521067462,29,42
1521152899,38,0
1521242179,35,70
1521326905,39,37
1521411606,37,0
1521500892,41,83
1521585858,40,0
1521670809,39,38
1521759851,40,80
1521846034,31,47
1521931450,31,0
1522016654,31,30
1522105932,39,63
1522191136,38,28
1522278740,40,39
1522365378,42,36
1522452021,42,36
1522536728,40,43
1522622656,43,42
1522707611,32,0
1522797860,29,77
1522883539,36,38
1522969691,33,39
1523056095,32,40
1523141057,36,0
