DateTime,Entries,UniqueIPs
1472857943,1148,1211
1472942410,1183,1247
1473031216,1147,1210
1473114019,1185,1251
1473202346,1149,1212
1473286819,1144,1209
1473375378,1139,1204
1473459859,1141,1207
1473548180,1138,1206
1473633146,1152,1213
1473719548,1194,1255
1473808106,1164,1224
1473893056,1201,1261
1473981620,1165,1222
1474066577,1169,1224
1474151293,1174,1229
1474239650,1205,1262
1474324101,1210,1266
1474412459,1174,1228
1474497141,1198,1255
1474585940,1160,1213
1474676431,1163,1216
1474765006,1158,1212
1474849456,1149,1203
1474936816,1156,1208
1475021296,1160,1210
1475109616,1154,1204
1475194811,1144,1195
1475279805,1137,1188
1475368343,1131,1183
1475453061,1121,1170
1475539459,1123,1172
1475627779,1117,1165
1475714656,1111,1162
1475801057,1104,1154
1475886088,1105,1157
1475974573,1081,1141
1476059308,1070,1132
1476144492,1074,1135
1476233055,1068,1133
1476317540,1056,1123
1476403944,1053,1119
1476492494,1042,1109
1476579151,1038,1106
1476663622,1033,1099
1476751941,1025,1090
1476836415,1021,1089
1476922809,1023,1091
1477009451,1026,1094
1477097775,1043,1107
1477182499,1036,1101
1477269140,1042,1101
1477357455,1047,1103
1477441935,1052,1103
1477530496,1051,1102
1477614970,1049,1102
1477703355,1053,1109
1477789946,1056,1113
1477873229,1061,1115
1477971146,1075,1129
1478047979,1080,1136
1478132656,1074,1130
1478221295,1078,1130
1478308345,1087,1140
1478392832,1121,1174
1478481380,1097,1147
1478566094,1134,1184
1478650573,1142,1189
1478739146,1106,1152
1478825769,1105,1153
1478910752,1110,1155
1478999001,1120,1170
1479083619,1162,1212
1479172109,1143,1188
1479257781,1150,1193
1479342506,1184,1234
1479430866,1166,1215
1479517466,1163,1212
1479602190,1157,1204
1479690977,1165,1211
1479775949,1179,1224
1479863303,1182,1229
1479947787,1217,1268
1480036347,1181,1235
1480120822,1214,1273
1480209373,1175,1233
1480294099,1215,1273
1480378828,1186,1240
1480465966,1175,1231
1480554523,1206,1270
1480639694,1203,1268
1480724425,1202,1271
1480813287,1204,1273
1480899689,1203,1274
1480986355,1160,1235
1481073701,1148,1226
1481157143,1175,1257
1481246430,1143,1225
1481331376,1135,1225
1481416587,1158,1256
1481505155,1119,1219
1481590104,1157,1261
