DateTime,AddedIPs,RemovedIPs
1520944832,2,2
1520952032,2,1
1520955633,1,1
1520962232,2,4
1520964635,1,0
1520966432,1,0
1520973632,0,1
1520977235,1,1
1520980234,1,4
1520990435,2,4
1520994032,1,0
1520997036,3,6
1521000632,0,5
1521004242,2,5
1521007832,1,3
1521015033,1,1
1521018636,0,5
1521025835,1,4
1521027634,1,2
1521031234,0,3
1521034232,0,6
1521037832,1,0
1521040232,0,1
1521047432,0,2
1521051032,2,3
1521054636,2,0
1521060036,2,0
1521067235,1,0
1521070833,0,2
1521076233,2,0
1521079834,0,1
1521086435,0,2
1521090032,0,2
1521093632,0,3
1521097235,1,0
1521099632,0,3
1521103235,1,4
1521106833,1,3
1521113432,1,5
1521115835,0,3
1521119432,1,0
1521121234,1,0
1521127834,0,1
1521133835,1,0
1521135632,0,3
1521139235,0,2
1521142833,0,1
1521146435,1,2
1521157233,0,1
1521160834,2,1
1521168032,58,2
1521171635,54,2
1521173432,50,1
1521177034,10,0
1521184235,3,3
1521191435,5,4
1521195033,1,0
1521199235,0,2
1521206434,0,3
1521210032,0,6
1521216633,1,2
1521220835,1,4
1521224433,1,0
1521228035,0,1
1521231033,0,2
1521238233,0,2
1521242435,42,1
1521246032,4,0
1521249034,1,0
1521252633,7,1
1521254435,8,3
1521257432,1,0
1521261032,0,1
1521262832,0,1
1521265234,3,0
1521270034,0,5
1521273631,1,0
1521277234,1,1
1521279635,0,3
1521285634,0,3
1521289232,3,0
1521292234,1,4
1521295832,0,2
1521299438,2,6
1521308448,1,2
1521312052,2,3
1521315644,3,1
1521319848,2,0
1521323441,0,5
1521337232,0,3
1521340834,1,0
1521344432,0,7
1521348036,1,2
1521349832,93,3
1521352835,211,0
1521356434,2,1
1521358835,2,3
1521366042,0,6
1521369037,6,1
1521371435,0,3
1521375033,1,0
1521376835,1,2
1521380433,2,0
1521383434,3,0
1521387039,15,2
1521390634,0,3
1521394243,3,0
1521396051,3,2
1521398455,12,4
1521402049,10,0
1521405656,5,0
1521409234,1,2
1521412859,3,3
1521416445,1,0
1521420056,1,4
1521425436,0,6
1521432032,1,0
1521435634,0,2
1521439231,2,5
1521446434,0,2
1521450032,0,3
1521451834,0,4
1521460834,0,3
1521464432,6,0
1521466234,1,3
1521468632,1,0
1521475831,4,0
1521479433,1,4
1521483030,3,0
1521484833,1,1
1521488432,6,0
1521492032,0,3
1521495631,6,2
1521499233,3,0
1521507031,281,6
1521510035,507,1
1521513635,252,0
1521517838,218,1
1521521434,156,0
1521524438,33,1
1521528034,1,0
1521529838,1,0
1521533436,1,3
1521537038,4,3
1521540636,1,5
1521544238,0,2
1521551435,1,2
1521555045,3,0
1521556835,0,2
1521564637,1,3
1521567645,2,0
1521578434,4,5
1521582038,1,0
1521585635,1,2
1521589238,1,0
1521597036,33,3
1521600638,10,1
1521604234,1,1
1521607837,4,0
1521611435,1,3
1521614437,1,2
1521621758,1,6
1521625235,0,13
1521628837,1,0
1521632434,1,3
1521636036,1,1
1521639632,4,2
1521643234,1,0
1521646833,2,2
1521654031,2,4
1521657633,2,3
1521664833,3,1
1521668431,1,3
1521675631,4,2
1521682830,2,3
1521686432,1,1
1521694230,4,1
1521697232,0,1
1521700831,1,1
1521708030,1,2
1521711632,1,0
1521715230,1,1
1521718832,0,2
1521722431,1,0
1521730233,1,11
1521733233,1,3
1521736830,2,0
1521738632,1,2
1521742230,0,10
1521745833,1,0
1521749430,1,7
1521753033,2,2
1521754830,0,5
1521758432,1,0
1521762032,387,4
1521765634,285,0
1521772832,246,2
1521776435,43,2
1521779434,108,3
1521783035,147,1
1521786635,11,1
1521789035,1,4
1521795635,2,5
1521803441,0,4
1521807035,0,2
1521814236,1,7
1521817838,2,0
1521821435,4,2
1521824437,1,3
1521826834,0,34
1521830439,2,0
1521832234,0,46
1521835838,2,5
1521839436,5,0
1521843638,0,3
1521853836,1,4
1521857437,1,5
1521862838,0,1
1521870038,0,3
1521871835,0,3
1521875437,2,2
1521879035,3,1
1521882637,1,2
1521886235,1,7
1521889838,1,0
1521893435,0,3
1521897036,2,0
1521898832,0,1
1521904232,0,1
1521907833,0,1
1521911430,3,1
1521915032,1,0
1521922830,29,0
1521926432,2,176
1521929430,7,0
1521933032,0,88
1521937233,43,287
1521940830,30,0
1521944431,8,6
1521948030,6,0
1521951033,4,1
1521954631,5,2
1521958234,4,1
1521962432,3,4
1521966029,1,0
1521969632,2,2
1521972632,0,3
1521976232,1,2
1521983432,0,5
1521990630,0,4
1521994232,1,2
1521997830,0,1
1522005672,0,3
1522009230,1,0
1522012232,1,0
1522015830,0,3
1522020032,0,1
1522023631,1,0
1522027232,1,4
1522030831,1,1
1522033833,0,1
1522046430,0,8
1522053630,0,1
1522057233,0,4
1522060832,0,2
1522064434,2,1
1522071631,1,0
1522075232,2,1
1522078831,0,4
1522083033,5,3
1522086631,1,0
1522090232,5,0
1522093230,3,0
1522097434,1,3
1522104033,1,0
1522111230,0,8
1522118430,0,4
1522126230,1,4
1522129232,1,0
1522132830,1,0
1522136433,1,1
1522140031,0,2
1522143633,0,2
1522147231,1,11
1522155031,1,0
1522158633,0,2
1522162231,3,0
1522165233,0,2
1522172433,1,3
1522176633,1,7
1522180230,1,0
1522183833,1,1
1522187431,1,4
1522194631,0,9
1522201830,1,2
1522205433,0,2
1522208431,1,6
1522212033,1,0
1522215630,1,0
1522223431,1,2
1522227034,1,3
1522230630,0,19
1522234233,1,1
1522241433,1,4
1522248633,0,4
1522259430,1,1
1522263033,2,1
1522266631,0,1
1522270232,1,1
1522273230,0,1
1522284629,3,7
1522288233,0,3
1522291830,0,2
1522295432,2,1
1522298429,0,27
1522302033,1,29
1522305629,0,107
1522308032,0,4
1522321830,0,1
1522326033,0,6
1522333232,2,0
1522336830,0,2
1522340432,1,4
1522344031,0,1
1522347633,0,3
1522351231,0,6
1522354833,2,0
1522358431,1,2
1522362033,0,2
1522365630,0,3
1522368634,2,2
1522372832,0,17
1522380031,2,4
1522383032,1,0
1522387233,0,191
1522398030,1,2
1522401633,1,5
1522404630,0,2
1522408833,0,9
1522419631,0,4
1522426830,0,1
1522429833,1,3
1522434033,1,9
1522441231,3,5
1522452032,3,3
1522455631,1,0
1522462841,0,7
1522469430,1,3
1522472432,0,111
1522479032,0,198
1522482630,0,7
1522485632,1,2
1522489230,0,6
1522497030,1,133
1522500034,1,2
1522503631,1,3
1522505432,0,2
1522509030,2,0
1522512632,0,9
1522516231,2,2
1522519832,1,0
1522521630,1,2
1522529430,0,1
1522533032,1,2
1522536630,2,1
1522539632,1,0
1522547430,1,8
1522551034,3,3
1522557631,8,3
1522561231,11,5
1522563032,3,1
1522566630,1,0
1522573830,2,5
1522578033,0,6
1522581631,2,0
1522585232,0,4
1522588231,1,3
1522599030,0,8
1522602633,0,3
1522606230,1,0
1522610433,1,4
1522614031,1,1
1522617033,1,0
1522624229,3,9
1522629032,2,2
1522635632,3,3
1522642232,0,4
1522645830,1,0
1522650032,0,3
1522657232,1,3
1522660830,2,2
1522664432,1,0
1522668030,1,2
1522675232,1,2
1522682432,1,2
1522685430,1,3
1522693232,2,7
1522696832,1,1
1522700431,0,2
1522704036,3,1
1522707030,2,2
1522711233,1,0
1522714231,0,1
1522718432,0,2
1522722031,2,2
1522725633,2,0
1522732232,1,1
1522735831,1,1
1522739432,0,1
1522743633,1,3
1522750833,0,6
1522753832,1,4
1522761030,0,4
1522768231,0,5
1522776030,1,1
1522779633,4,1
1522783231,0,2
1522786232,1,0
1522790433,1,4
1522794031,1,0
1522797632,3,0
1522801230,1,4
1522804832,2,0
1522808431,0,2
1522811432,3,1
1522815030,0,1
1522818633,0,3
1522826435,1,2
1522830030,1,1
1522833632,0,4
1522837231,0,1
1522840832,1,3
1522848031,0,4
1522851633,0,5
1522855231,1,2
1522858832,1,0
1522866633,1,3
1522873233,3,3
1522876831,0,3
1522884031,1,4
1522891230,1,2
1522894832,0,1
1522897830,0,4
1522901432,1,7
1522915831,1,4
1522920032,0,3
1522923631,3,0
1522930230,1,3
1522934433,1,1
1522941632,1,2
1522944631,0,2
1522948837,0,4
1522956030,5,1
1522959633,0,2
1522963231,0,3
1522966833,2,1
1522970430,0,3
1522977630,0,1
1522984230,0,5
1522989630,1,0
1522991432,1,0
1522995030,0,2
1522999233,2,3
1523006433,0,3
1523010030,0,2
1523013632,1,2
1523016633,0,1
1523020833,1,2
1523024430,2,0
1523027433,1,1
1523031031,0,1
1523038230,3,1
1523046032,0,2
1523053231,1,3
1523056832,1,0
1523060430,0,4
1523067630,1,2
1523071311,0,4
1523077232,0,1
1523079630,0,2
1523082632,1,0
1523085030,3,0
1523088633,1,0
1523092833,1,5
1523100032,0,4
1523103631,1,0
1523107233,0,4
1523113834,3,0
1523117430,0,1
1523121633,2,1
1523125272,16,0
1523128832,2,0
1523132431,0,2
1523136033,3,2
1523143232,1,3
1523146830,2,0
1523149832,0,2
1523157029,0,1
1523160632,1,0
1523164230,2,3
