DateTime,Entries,UniqueIPs
1521261032,819,819
1521262832,810,810
1521265234,813,813
1521268232,801,801
1521270034,786,786
1521273631,803,803
1521277234,783,783
1521279635,720,720
1521281435,732,732
1521285634,722,722
1521289232,708,708
1521292234,705,705
1521295832,691,691
1521299438,692,692
1521301232,702,702
1521304849,697,697
1521308448,722,722
1521312052,733,733
1521315644,728,728
1521319848,719,719
1521323441,752,752
1521327035,749,749
1521330032,759,759
1521337232,714,714
1521340834,705,705
1521344432,683,683
1521348036,680,680
1521349832,779,779
1521352835,996,996
1521356434,972,972
1521358835,978,978
1521362438,988,988
1521366042,947,947
1521369037,969,969
1521371435,952,952
1521375033,942,942
1521376835,939,939
1521380433,926,926
1521383434,920,920
1521387039,942,942
1521390634,942,942
1521394243,972,972
1521396051,978,978
1521398455,987,987
1521402049,1016,1016
1521405656,1022,1022
1521409234,1035,1035
1521412859,1039,1039
1521416445,1034,1034
1521420056,1026,1026
1521421844,1003,1003
1521425436,993,993
1521428432,987,987
1521432032,958,958
1521435634,956,956
1521439231,960,960
1521442832,965,965
1521446434,971,971
1521450032,977,977
1521451834,974,974
1521454231,979,979
1521457232,966,966
1521460834,950,950
1521464432,986,986
1521466234,1000,1000
1521468632,999,999
1521472234,969,969
1521475831,698,698
1521479433,678,678
1521483030,690,690
1521484833,682,682
1521488432,688,688
1521492032,674,674
1521495631,687,687
1521499233,705,705
1521507031,1032,1032
1521510035,1597,1597
1521513635,1744,1744
1521517838,1998,1998
1521521434,1981,1981
1521524438,2062,2062
1521528034,2055,2055
1521529838,2058,2058
1521533436,2059,2059
1521537038,2067,2067
1521540636,2060,2060
1521544238,2049,2049
1521551435,2045,2045
1521555045,2052,2052
1521556835,2063,2063
1521561037,2073,2073
1521564637,2064,2064
1521567645,2053,2053
1521571241,2048,2048
1521578434,2078,2078
1521582038,2095,2095
1521585635,2116,2116
1521589238,2124,2124
1521597036,2128,2128
1521600638,2119,2119
1521604234,2108,2108
1521607837,2115,2115
1521611435,2107,2107
1521614437,2105,2105
1521618034,2104,2104
1521621758,2095,2095
1521625235,2097,2097
1521628837,2088,2088
1521632434,1920,1920
1521636036,1727,1727
1521639632,1455,1455
1521643234,1101,1101
1521646833,729,729
1521654031,731,731
1521657633,733,733
1521661231,717,717
1521664833,716,716
1521668431,736,736
1521675631,739,739
1521682830,752,752
1521686432,751,751
1521694230,734,734
1521697232,708,708
1521700831,703,703
1521708030,695,695
1521711632,690,690
1521715230,699,699
1521718832,699,699
1521722431,698,698
1521730233,682,682
1521733233,665,665
1521736830,663,663
1521738632,663,663
1521742230,676,676
1521745833,674,674
1521749430,693,693
1521753033,711,711
1521754830,719,719
1521758432,706,706
1521762032,1208,1208
1521765634,1566,1566
1521772832,1695,1695
1521776435,1647,1647
1521779434,1921,1921
1521783035,2124,2124
1521786635,2139,2139
1521789035,2139,2139
1521792637,2137,2137
1521795635,2125,2125
1521799835,2136,2136
1521803441,2148,2148
1521807035,2165,2165
1521814236,2152,2152
1521817838,2148,2148
1521821435,2141,2141
1521824437,2144,2144
1521826834,2155,2155
1521830439,2167,2167
1521832234,2166,2166
1521835838,2189,2189
1521839436,2201,2201
1521843638,2225,2225
1521847236,2198,2198
1521850237,2192,2192
1521853836,2189,2189
1521857437,2178,2178
1521861035,2175,2175
1521862838,2157,2157
1521866435,2159,2159
1521870038,2148,2148
1521871835,2151,2151
1521875437,2137,2137
1521879035,2123,2123
