DateTime,AddedIPs,RemovedIPs
1516585220,16,16
1516596020,18,20
1516606820,11,21
1516619421,4,17
1516630222,13,18
1516642222,7,14
1516653621,6,24
1516667420,14,13
1516680620,24,15
1516695024,21,12
1516708822,16,8
1516723223,11,17
1516736422,13,18
1516749022,15,24
1516759821,18,22
1516770620,17,22
1516782023,16,22
1516792822,9,21
1516803022,10,24
1516817422,13,23
1516830021,14,38
1516842619,15,19
1516857021,11,21
1516870823,13,49
1516885221,8,25
1516894822,14,22
1516906822,12,24
1516920022,13,24
1516934419,20,27
1516948220,20,35
1516962620,20,17
1516975822,18,12
1516988421,15,9
1517002220,16,14
1517013020,10,22
1517024419,9,8
1517035220,10,0
1517049021,10,20
1517059823,16,15
1517070622,11,14
1517083220,19,17
1517097621,20,14
1517109019,9,23
1517123420,10,13
1517137221,15,25
1517146823,14,43
1517161220,15,0
1517175020,18,26
1517189419,18,13
1517202620,18,21
1517217021,8,32
1517227823,12,22
1517239224,5,17
1517251220,8,20
1517263822,26,21
1517278221,25,17
1517289621,12,23
1517303423,16,15
1517314223,11,15
1517325023,11,19
1517339420,14,0
1517353822,13,18
1517364621,15,34
1517375420,7,0
1517388025,16,15
1517400021,14,27
1517410823,17,15
1517421624,21,19
1517436020,6,0
1517445621,11,45
1517456422,13,0
1517467221,7,15
1517479224,18,18
1517493024,20,14
1517506220,23,15
1517518824,12,13
1517532022,11,15
1517542822,6,15
1517556618,11,17
1517567423,6,16
1517581821,11,0
1517594420,10,23
1517605823,12,12
1517618421,26,0
1517631020,11,32
1517643620,6,17
1517656221,6,20
1517667022,9,5
1517680820,14,13
1517692219,10,17
1517706621,12,16
1517719221,12,13
1517731225,6,18
1517745625,14,15
1517759423,4,15
1517771423,26,8
1517783422,11,15
1517794220,12,14
1517804426,14,0
1517814622,11,13
1517826626,8,10
1517839223,5,12
1517853623,13,16
1517866222,11,12
1517875821,16,29
1517886621,8,16
1517900419,10,23
1517914821,9,8
1517925623,8,14
1517938222,15,20
1517952622,15,19
1517967018,7,23
1517978421,10,19
1517990421,8,15
1518004221,12,15
1518015623,9,13
1518030021,12,18
1518043822,13,9
1518057022,13,12
1518071418,6,29
1518085824,8,22
1518100222,18,52
1518114623,19,12
1518129023,15,10
1518142819,13,17
1518154221,8,17
1518168623,8,19
1518182422,7,13
1518196822,10,14
1518211220,15,16
1518222621,17,31
1518237021,18,0
1518251423,14,28
1518265220,14,18
1518276022,3,16
1518290420,10,22
1518301824,9,28
1518316219,39,34
1518330619,12,8
1518345024,15,11
1518359423,16,17
1518373823,8,11
1518387623,14,23
1518399021,9,12
1518413421,14,35
1518427823,14,22
1518441623,11,16
1518455421,15,22
1518466821,20,20
1518477620,10,34
1518492019,7,47
1518506419,7,75
1518520822,10,28
1518534622,8,16
1518546022,17,12
1518560422,12,22
1518574821,16,25
1518589220,7,28
1518603622,14,21
1518614421,7,24
1518628221,9,14
1518639622,17,33
1518650420,10,27
1518663620,11,31
1518677419,20,22
1518691822,11,38
1518706222,30,41
1518720621,20,39
1518731421,24,32
1518742221,22,0
1518756619,18,30
1518771022,10,34
1518782423,18,45
1518796223,15,26
1518810621,28,22
1518825020,21,26
1518837021,17,21
1518850821,13,13
1518865223,21,9
1518879622,20,11
1518894021,26,14
1518908421,23,19
1518922820,11,45
1518936619,67,24
1518948024,22,19
1518961822,17,0
1518976223,14,10
1518990620,24,8
1519005020,15,22
1519019422,17,55
1519030222,16,22
1519044622,17,0
1519057223,21,18
1519071621,20,16
1519084823,21,26
1519099221,17,13
1519113021,27,19
1519123823,16,13
1519138221,14,0
1519149023,13,12
1519160422,11,15
1519174221,26,25
1519185620,13,15
1519200023,12,14
1519213823,16,11
1519228221,8,18
1519242620,13,8
1519253422,14,11
1519268421,13,18
1519282220,8,14
1519293023,12,14
1519307422,10,24
1519321821,16,21
1519336222,15,9
1519350620,17,24
1519364420,12,47
1519375822,11,16
1519387223,8,16
1519401023,16,12
1519415420,12,0
1519426823,12,11
1519440622,16,19
1519455019,8,16
1519468822,12,12
1519480222,7,24
1519494023,21,17
1519505423,35,15
1519519822,13,20
1519534221,16,11
1519548624,8,21
1519563022,11,30
1519577421,17,8
1519591824,15,24
1519602622,15,24
1519617019,12,24
1519631419,8,24
1519645823,16,22
1519659622,12,18
1519672222,11,16
1519684222,9,24
1519698021,11,33
1519711821,16,10
1519726224,15,16
1519738823,18,20
1519753221,28,14
1519764621,14,33
1519779020,9,25
1519792822,14,45
1519806021,126,19
1519819821,26,24
1519831222,12,16
1519845622,18,0
1519860022,12,27
1519874421,20,56
1519888820,13,14
1519903222,6,20
1519917023,30,20
1519927823,15,5
1519942221,24,13
1519956620,43,20
1519971019,13,11
1519985422,28,17
1519996824,14,19
1520010623,15,23
1520025023,22,23
1520036422,14,24
1520050221,8,21
1520063419,11,17
1520077223,12,14
1520090421,27,14
1520104221,22,14
1520115022,14,25
1520126421,41,33
1520140225,8,20
1520151622,7,17
1520163622,17,0
1520178022,10,23
1520190621,10,28
1520205021,18,24
1520216420,17,28
1520230822,13,28
1520242824,7,23
1520257223,9,18
1520271623,13,16
1520284221,17,14
1520298626,13,34
1520309419,9,25
1520323823,17,21
1520338224,10,13
1520352624,19,13
1520365829,26,18
1520379628,16,23
1520394027,12,19
1520406627,7,17
1520421029,10,37
1520435429,14,19
1520448029,26,15
1520458827,18,29
1520470227,27,23
1520484027,6,46
1520498430,14,36
1520509829,10,16
1520523628,12,27
1520535028,16,19
1520548828,27,23
1520560827,32,16
1520574626,15,0
