DateTime,Entries,UniqueIPs
1516585220,3377,3414
1516596020,3375,3412
1516606820,3367,3402
1516619421,3354,3389
1516630222,3347,3384
1516642222,3339,3377
1516653621,3321,3359
1516667420,3322,3360
1516680620,3330,3369
1516695024,3340,3378
1516708822,3349,3386
1516723223,3344,3380
1516736422,3339,3375
1516749022,3330,3366
1516759821,3326,3362
1516770620,3321,3357
1516782023,3318,3351
1516792822,3306,3339
1516803022,3292,3325
1516817422,3281,3315
1516830021,3257,3291
1516842619,3253,3287
1516857021,3243,3277
1516870823,3207,3241
1516885221,3190,3224
1516894822,3182,3216
1516906822,3171,3204
1516920022,3161,3193
1516934419,3156,3186
1516948220,3142,3171
1516962620,3144,3174
1516975822,3150,3180
1516988421,3156,3186
1517002220,3158,3188
1517013020,3147,3176
1517024419,3148,3177
1517035220,3158,3187
1517049021,3148,3177
1517059823,3148,3178
1517070622,3145,3175
1517083220,3146,3177
1517097621,3152,3183
1517109019,3138,3169
1517123420,3135,3166
1517137221,3125,3156
1517146823,3096,3127
1517161220,3109,3142
1517175020,3102,3134
1517189419,3104,3139
1517202620,3102,3136
1517217021,3078,3112
1517227823,3068,3102
1517239224,3056,3090
1517251220,3045,3078
1517263822,3049,3083
1517278221,3056,3091
1517289621,3045,3080
1517303423,3048,3081
1517314223,3044,3077
1517325023,3036,3069
1517339420,3050,3083
1517353822,3046,3078
1517364621,3028,3059
1517375420,3035,3066
1517388025,3036,3067
1517400021,3023,3054
1517410823,3025,3056
1517421624,3027,3058
1517436020,3033,3064
1517445621,3001,3030
1517456422,3014,3043
1517467221,3005,3035
1517479224,3004,3035
1517493024,3010,3041
1517506220,3018,3049
1517518824,3017,3048
1517532022,3012,3044
1517542822,3004,3035
1517556618,2998,3029
1517567423,2988,3019
1517581821,2999,3030
1517594420,2984,3017
1517605823,2984,3017
1517618421,3009,3043
1517631020,2991,3022
1517643620,2980,3011
1517656221,2966,2997
1517667022,2970,3001
1517680820,2971,3002
1517692219,2964,2995
1517706621,2961,2991
1517719221,2960,2990
1517731225,2948,2978
1517745625,2947,2977
1517759423,2935,2966
1517771423,2953,2984
1517783422,2949,2980
1517794220,2948,2978
1517804426,2960,2992
1517814622,2959,2990
1517826626,2956,2988
1517839223,2949,2981
1517853623,2947,2978
1517866222,2946,2977
1517875821,2934,2964
1517886621,2926,2956
1517900419,2913,2943
1517914821,2915,2944
1517925623,2910,2938
1517938222,2905,2933
1517952622,2901,2929
1517967018,2886,2913
1517978421,2877,2904
1517990421,2870,2897
1518004221,2867,2894
1518015623,2863,2890
1518030021,2857,2884
1518043822,2859,2888
1518057022,2859,2889
1518071418,2836,2866
1518085824,2823,2852
1518100222,2789,2818
1518114623,2797,2825
1518129023,2802,2830
1518142819,2799,2826
1518154221,2789,2817
1518168623,2778,2806
1518182422,2772,2800
1518196822,2767,2796
1518211220,2765,2795
1518222621,2751,2781
1518237021,2769,2799
1518251423,2755,2785
1518265220,2751,2781
1518276022,2740,2768
1518290420,2728,2756
1518301824,2709,2737
1518316219,2713,2742
1518330619,2717,2746
1518345024,2721,2750
1518359423,2720,2749
1518373823,2717,2746
1518387623,2708,2737
1518399021,2705,2734
1518413421,2685,2713
1518427823,2678,2705
1518441623,2673,2700
1518455421,2666,2693
1518466821,2667,2693
1518477620,2644,2669
1518492019,2608,2629
1518506419,2541,2561
1518520822,2523,2543
1518534622,2515,2535
1518546022,2519,2540
1518560422,2509,2530
1518574821,2500,2521
1518589220,2479,2500
1518603622,2473,2493
1518614421,2455,2476
1518628221,2451,2471
1518639622,2435,2455
1518650420,2418,2438
1518663620,2399,2418
1518677419,2397,2416
1518691822,2370,2389
1518706222,2359,2378
1518720621,2340,2359
1518731421,2333,2351
1518742221,2354,2373
1518756619,2341,2361
1518771022,2317,2337
1518782423,2290,2310
1518796223,2279,2299
1518810621,2285,2305
1518825020,2281,2300
1518837021,2278,2296
1518850821,2278,2296
1518865223,2290,2308
1518879622,2299,2317
1518894021,2311,2329
1518908421,2317,2333
1518922820,2284,2299
1518936619,2324,2342
1518948024,2326,2345
1518961822,2341,2362
1518976223,2345,2366
1518990620,2361,2382
1519005020,2354,2375
1519019422,2316,2337
1519030222,2310,2331
1519044622,2327,2348
1519057223,2330,2351
1519071621,2334,2355
1519084823,2330,2350
1519099221,2333,2354
1519113021,2342,2362
1519123823,2345,2365
1519138221,2359,2379
1519149023,2360,2380
1519160422,2357,2376
1519174221,2358,2377
1519185620,2354,2375
1519200023,2352,2373
1519213823,2357,2378
1519228221,2347,2368
1519242620,2352,2373
1519253422,2355,2376
1519268421,2350,2371
1519282220,2344,2365
1519293023,2343,2363
1519307422,2331,2349
1519321821,2325,2344
1519336222,2332,2350
1519350620,2324,2343
1519364420,2289,2308
1519375822,2284,2303
1519387223,2276,2295
1519401023,2279,2299
1519415420,2291,2311
1519426823,2291,2312
1519440622,2288,2309
1519455019,2280,2301
1519468822,2280,2301
1519480222,2263,2284
1519494023,2267,2288
1519505423,2286,2308
1519519822,2279,2301
1519534221,2284,2306
1519548624,2273,2293
1519563022,2254,2274
1519577421,2263,2283
1519591824,2254,2274
1519602622,2245,2265
1519617019,2233,2253
1519631419,2217,2237
1519645823,2212,2231
1519659622,2206,2225
1519672222,2202,2220
1519684222,2186,2205
1519698021,2163,2183
1519711821,2169,2189
1519726224,2169,2188
1519738823,2167,2186
1519753221,2180,2200
1519764621,2165,2181
1519779020,2149,2165
1519792822,2118,2134
1519806021,2224,2241
1519819821,2226,2243
1519831222,2222,2239
1519845622,2240,2257
1519860022,2225,2242
1519874421,2189,2206
1519888820,2188,2205
1519903222,2174,2191
1519917023,2183,2201
1519927823,2193,2211
1519942221,2204,2222
1519956620,2228,2245
1519971019,2229,2247
1519985422,2241,2258
1519996824,2237,2253
1520010623,2229,2245
1520025023,2228,2244
1520036422,2218,2234
1520050221,2205,2221
1520063419,2199,2215
1520077223,2197,2213
1520090421,2209,2226
1520104221,2216,2234
1520115022,2206,2223
1520126421,2214,2231
1520140225,2202,2219
1520151622,2192,2209
1520163622,2209,2226
1520178022,2196,2213
1520190621,2178,2195
1520205021,2171,2189
1520216420,2160,2178
1520230822,2145,2163
1520242824,2129,2147
1520257223,2120,2138
1520271623,2117,2135
1520284221,2120,2138
1520298626,2101,2117
1520309419,2086,2101
1520323823,2081,2097
1520338224,2078,2094
1520352624,2084,2100
1520365829,2092,2108
1520379628,2085,2101
1520394027,2078,2094
1520406627,2068,2084
1520421029,2041,2057
1520435429,2035,2052
1520448029,2046,2063
1520458827,2035,2052
1520470227,2039,2056
1520484027,2000,2016
1520498430,1978,1994
1520509829,1971,1988
1520523628,1956,1973
1520535028,1952,1970
1520548828,1956,1974
1520560827,1972,1990
1520574626,1987,2005
1520589029,1977,1996
1520603429,1974,1995
1520617228,1950,1970
1520630426,1950,1970
1520644826,1953,1971
1520658630,1976,2001
1520669428,1974,1998
1520680829,1999,2023
1520693428,2012,2037
1520707227,2020,2044
1520718628,2024,2048
1520733027,2026,2050
1520746825,1999,2022
1520761228,1997,2020
1520775627,1996,2019
1520790030,2002,2026
1520800828,2003,2026
1520811628,2002,2024
1520826026,2000,2022
1520836826,2001,2023
