DateTime,AddedIPs,RemovedIPs
1521072632,2,0
1521076230,2,0
1521079832,2,2
1521086432,2,0
1521090029,1,2
1521097232,1,1
1521099630,0,3
1521103232,0,2
1521106831,3,1
1521113430,2,2
1521115832,0,2
1521127832,2,2
1521130230,1,0
1521133832,3,0
1521135630,0,5
1521139233,1,1
1521142830,2,1
1521146433,4,3
1521150030,1,3
1521153633,1,4
1521157231,2,2
1521160832,1,2
1521168030,4,3
1521171632,1,0
1521173430,0,2
1521177032,1,0
1521180630,1,2
1521184233,1,3
1521187830,1,0
1521191433,2,4
1521195030,1,3
1521199232,1,3
1521202829,2,0
1521206432,0,2
1521210029,5,1
1521213032,3,0
1521216630,0,2
1521220833,3,5
1521224430,1,0
1521228032,1,1
1521231030,1,1
1521238230,2,3
1521242433,2,7
1521252631,2,0
1521254432,3,6
1521257429,1,0
1521261030,2,2
1521262830,1,2
1521265232,1,0
1521270031,1,3
1521273629,3,3
1521277231,1,2
1521279633,0,1
1521281432,4,0
1521285632,0,4
1521292232,1,2
1521295830,1,2
1521299436,2,1
1521301230,1,2
1521304844,3,0
1521308440,0,1
1521312046,2,0
1521315638,1,3
1521319843,0,1
1521323435,0,7
1521330030,1,0
1521337229,0,3
1521344430,0,9
1521348033,2,2
1521349830,0,2
1521352832,0,5
1521356431,0,1
1521362432,1,0
1521366037,0,4
1521369031,0,1
1521371432,1,1
1521375030,2,0
1521383430,0,2
1521387036,6,1
1521390630,2,0
1521394237,1,0
1521396039,3,1
1521398447,2,2
1521402040,3,0
1521405650,1,0
1521409230,3,2
1521412849,0,8
1521416438,3,0
1521420049,1,2
1521421838,1,0
1521425432,2,0
1521435631,0,2
1521439229,0,8
1521442829,5,0
1521446431,3,0
1521450029,0,2
1521451831,1,4
1521454229,4,0
1521460832,3,4
1521464429,1,0
1521466231,2,0
1521468629,1,0
1521472232,2,0
1521475829,2,2
1521479431,3,1
1521483029,1,0
1521484831,2,1
1521488430,3,0
1521492030,0,4
1521495629,1,1
1521499231,1,1
1521507028,5,6
1521510031,2,2
1521513628,4,4
1521517832,4,4
1521521428,1,0
1521524432,5,5
1521528028,1,0
1521529831,1,1
1521533430,0,2
1521537031,3,3
1521540629,3,3
1521544232,1,1
1521551429,0,5
1521556830,3,5
1521561031,1,2
1521564630,1,3
1521567637,2,0
1521571232,1,0
1521578428,2,4
1521582032,2,0
1521585629,1,4
1521589231,1,0
1521597029,5,4
1521600631,3,1
1521604228,3,1
1521607831,3,0
1521611429,2,11
1521614430,2,3
1521618028,2,0
1521621746,1,2
1521625229,2,0
1521628831,2,0
1521632428,5,1
1521639629,4,2
1521643231,1,0
1521646831,1,6
1521654028,0,4
1521657631,0,3
1521664831,3,2
1521668429,1,4
1521675629,1,0
1521682828,1,7
1521686430,0,4
1521694228,0,7
1521697230,3,2
1521700829,2,1
1521708028,0,4
1521711630,1,0
1521715228,1,2
1521718830,2,2
1521730231,4,5
1521733231,0,5
1521736828,2,0
1521738630,2,1
1521742229,0,1
1521745831,1,0
1521749428,1,2
1521753031,1,2
1521754828,0,1
1521762029,1,3
1521765630,5,3
1521772828,1,1
1521776430,3,6
1521779428,2,3
1521783029,5,2
1521786628,3,5
1521795628,1,2
1521799829,1,2
1521803434,1,1
1521807028,1,2
1521814229,1,1
1521817831,4,0
1521821429,3,0
1521824431,2,2
1521826828,0,3
1521830432,1,0
1521832228,1,6
1521835831,2,6
1521839429,2,0
1521843631,1,8
1521847229,2,0
1521853829,3,10
1521857431,4,2
1521862831,0,2
1521866428,1,0
1521870031,1,1
1521871828,1,2
1521875431,0,2
1521879029,2,2
1521882631,1,2
1521886228,1,1
1521889831,1,0
1521893428,0,2
1521897031,3,3
1521898828,3,1
1521904228,0,1
1521907830,0,3
1521911428,1,2
1521922828,3,4
1521926430,1,1
1521929428,5,0
1521933030,1,3
1521937230,9,2
1521940828,4,0
1521944429,0,2
1521948028,2,0
1521951031,6,2
1521954629,0,1
1521958232,5,0
1521962430,2,2
1521966027,1,0
1521969630,5,2
1521972630,2,1
1521976230,0,1
1521983430,1,2
1521990628,1,5
1521994230,0,4
1521997828,1,3
1522001430,3,1
1522005670,2,2
1522012231,3,0
1522015828,0,5
1522020030,3,7
1522023629,1,0
1522027230,0,1
1522030829,3,1
1522033831,2,1
1522035628,2,2
1522046428,0,5
1522053628,1,4
1522057231,1,3
1522060830,3,1
1522064431,1,3
1522071629,1,0
1522075230,1,0
1522078830,2,5
1522083031,0,4
1522086628,3,1
1522093228,2,0
1522097432,1,1
1522101028,2,7
1522104031,1,0
1522111228,1,5
1522118428,1,9
1522126228,4,8
1522129230,3,1
1522132828,4,0
1522136431,2,3
1522140029,2,3
1522143631,2,1
1522147229,2,4
1522151431,1,0
1522155029,2,0
1522158631,1,3
1522165231,2,3
1522168829,3,0
1522172431,0,2
1522176631,3,1
1522180228,2,0
1522183831,2,3
1522187429,3,2
1522194629,1,7
1522198230,2,0
1522201828,2,4
1522205430,3,3
1522208429,2,0
1522212031,2,0
1522215628,2,0
1522223429,3,6
1522227032,4,4
1522230629,1,3
1522234231,4,3
1522237829,1,0
1522245028,1,0
1522248631,5,4
1522252229,2,2
1522255831,1,2
1522259428,3,3
1522263030,3,0
1522266628,1,3
1522270230,2,1
1522273229,2,3
1522276830,3,0
1522284627,1,2
1522288231,1,1
1522291828,1,1
1522295431,2,5
1522298428,0,3
1522302031,2,2
1522305628,1,0
1522308030,1,0
1522311629,1,0
1522314630,0,1
1522321829,0,2
1522326031,0,4
1522333230,2,0
1522336829,2,0
1522340430,2,6
1522344030,2,0
1522347631,2,2
1522351229,1,1
1522354830,1,0
1522358429,0,3
1522362031,0,2
1522365629,0,2
1522368631,1,3
1522372830,0,5
1522380029,0,3
1522383030,1,1
1522387231,1,8
1522390828,1,0
1522394431,1,0
1522398028,4,2
1522401631,0,2
1522404628,1,0
1522408831,2,5
1522412429,3,0
1522419629,1,6
1522423231,1,0
1522426828,2,3
1522429831,1,2
1522434031,0,2
1522441229,3,3
1522444830,2,0
1522448429,2,0
1522452030,2,2
1522455629,3,0
1522462837,2,7
1522466430,1,0
1522469428,3,1
1522472430,2,4
1522479030,0,4
1522482628,4,3
1522485630,3,3
1522489228,0,1
1522497028,3,0
1522500032,1,2
1522503629,3,4
1522505430,3,3
1522509029,1,0
1522512630,0,3
1522516229,1,0
1522519831,1,0
1522521628,0,1
1522529428,1,5
1522533031,1,2
1522536629,0,2
1522539630,1,0
1522547428,3,3
1522551032,1,2
1522554028,3,0
1522557630,3,4
1522561229,1,2
1522563030,1,2
1522566628,4,0
1522573828,0,5
1522578031,2,9
1522581629,3,0
1522585231,2,4
1522588229,1,1
1522599028,1,3
1522602632,2,2
1522606228,1,0
1522610431,2,2
1522617031,1,0
1522624227,2,5
1522629031,3,0
1522632028,3,0
1522635630,0,3
1522642230,1,3
1522645828,2,0
1522650031,1,2
1522653629,3,0
1522657230,0,3
1522660829,1,2
1522664430,1,0
1522668028,2,2
1522671030,2,0
1522675231,6,3
1522678829,4,0
1522682430,0,1
1522685428,3,2
1522693230,2,3
1522696830,1,1
1522700429,1,2
1522704034,3,1
1522707029,3,0
1522711231,3,0
1522714228,2,2
1522718430,3,1
1522722029,0,1
1522725631,1,3
1522735829,4,3
1522739431,0,1
1522743631,0,6
1522747229,2,0
1522750831,1,3
1522753830,1,2
1522761029,1,3
1522768229,1,1
