DateTime,AddedIPs,RemovedIPs
1520931851,0,1
1520932332,1,0
1520956087,0,1
1520956819,1,1
1520957291,1,0
1520967130,0,1
1520967606,1,0
1520989690,15,20
1520990167,7,10
1520990644,11,14
1520991125,19,13
1520991608,11,9
1520992085,19,17
1520992568,17,15
1520993048,20,16
1520993530,4,6
1520994005,4,3
1520994488,1,0
1520994964,1,2
1520996414,0,1
1520997848,1,0
1521017046,0,1
1521018016,1,0
1521031206,0,1
1521032655,1,0
1521035047,0,1
1521035528,1,0
1521069844,0,1
1521070328,1,0
1521076096,5,4
1521076587,15,20
1521077054,17,21
1521077539,12,12
1521078014,15,15
1521078499,8,9
1521078964,16,14
1521079448,9,7
1521079926,8,10
1521080408,3,2
1521080884,1,0
1521081366,1,1
1521083769,0,1
1521084248,1,0
1521099128,0,1
1521099606,1,0
1521114012,0,1
1521114991,1,0
1521124326,0,1
1521124808,1,1
1521125289,1,0
1521206405,60,60
1521211204,0,1
1521211688,1,0
1521224649,0,1
1521225129,1,0
1521227528,0,1
1521228008,1,0
1521248888,4,9
1521249366,15,13
1521249848,12,12
1521250330,10,11
1521250806,15,14
1521251290,11,11
1521251768,17,20
1521252247,12,13
1521252727,4,3
1521253205,3,3
1521253690,2,1
1521254232,1,0
1521285608,0,1
1521286088,1,0
1521300012,0,1
1521300964,1,0
1521301928,0,1
1521302415,1,0
1521334806,0,2
1521335292,10,11
1521335768,20,14
1521336246,10,10
1521336725,15,15
1521337208,8,6
1521337686,13,15
1521338166,21,25
1521338646,9,10
1521339129,8,6
1521339605,1,3
1521340086,2,1
1521340564,2,1
1521352086,0,1
1521352568,1,0
1521403211,0,1
1521403686,1,0
1521417364,0,1
1521418092,1,0
1521421690,8,12
1521422166,11,13
1521422646,20,17
1521423131,9,12
1521423608,10,10
1521424090,16,14
1521424565,20,17
1521425052,13,11
1521425527,4,5
1521426007,4,3
1521426488,1,0
1521426967,1,2
1521430817,0,1
1521431286,1,0
1521443528,0,1
1521444005,1,0
1521445925,0,1
1521446415,1,0
1521480013,0,1
1521480488,1,0
1521495366,0,2
1521495845,1,0
1521496327,1,0
1521508085,4,11
1521508571,16,22
1521509048,18,12
1521509526,9,8
1521510006,14,18
1521510486,10,9
1521510976,26,25
1521511450,10,11
1521511926,14,4
1521512423,2,3
1521512887,1,0
1521513365,1,1
1521541449,1,0
1521564008,0,1
1521564490,1,0
1521576247,0,1
1521576967,1,0
1521586328,0,2
1521586816,2,0
1521594489,4,11
1521595210,29,25
1521595687,9,9
1521596170,9,13
1521596645,15,17
1521597129,19,17
1521597607,23,20
1521598089,6,2
1521598565,3,2
1521599054,1,1
1521599528,0,1
1521600486,0,1
1521600968,1,0
1521618968,0,1
1521619449,1,0
1521624248,0,1
1521624726,1,0
1521635767,0,1
1521636248,1,0
1521637211,0,1
1521637693,1,0
1521652088,0,1
1521652567,1,0
1521680889,2,7
1521681367,21,23
1521681849,13,14
1521682328,10,12
1521682807,21,19
1521683286,12,12
1521683767,22,23
1521684247,8,7
1521684968,11,7
1521685688,1,1
1521686168,1,0
1521702969,0,1
1521703446,1,0
1521713766,0,1
1521714246,1,0
1521765607,0,1
1521766089,1,0
1521767526,16,28
1521768010,21,19
1521768487,13,7
1521768973,12,15
1521769446,11,12
1521769927,22,21
1521770416,11,14
1521770886,5,5
1521771365,6,2
1521772328,1,1
1521786729,0,1
1521787206,1,0
1521809768,0,1
1521810728,1,0
1521853686,10,16
1521854169,8,12
1521854650,15,15
1521855369,19,12
1521855845,15,15
1521856327,7,9
1521856812,28,29
1521857289,12,7
1521857764,4,5
1521858246,1,1
1521858968,2,1
1521863767,0,1
1521864247,1,0
1521867130,0,1
1521867849,1,0
1521892816,0,1
1521893286,1,0
1521918013,0,1
1521918487,1,0
1521919927,0,1
1521920405,1,0
1521940326,17,19
1521940810,15,18
1521941529,14,18
1521942004,10,13
1521942486,11,5
1521942967,19,24
1521943446,13,6
1521943924,1,4
1521944404,1,3
1521944888,1,1
1521945364,0,1
1521993368,0,1
1521993848,1,0
1522020247,0,1
1522020733,1,0
1522026485,12,22
1522026967,11,9
1522027445,16,12
1522027927,13,18
1522028405,8,9
1522028887,18,12
1522029367,17,18
1522029847,17,11
1522030327,4,3
1522030806,3,0
1522031768,1,1
1522043524,0,1
1522044013,1,0
1522045931,0,1
1522046408,1,0
1522093685,0,1
1522094165,1,0
1522112649,7,10
1522113127,16,14
1522113608,15,16
1522114086,10,9
1522114574,13,11
1522115051,9,9
1522115765,25,29
1522116247,9,5
1522116725,7,9
1522117211,3,1
1522118165,1,0
1522173366,0,1
1522173848,0,1
1522174328,2,0
1522199049,0,1
1522199526,12,17
1522200011,6,11
1522200488,22,20
1522201208,13,11
1522201688,16,18
1522202173,12,16
1522202648,11,9
1522203128,13,11
1522203608,2,0
1522204811,1,0
1522248728,0,2
1522249214,2,0
1522250646,0,1
1522251127,1,0
1522274887,0,1
1522275369,1,0
1522285686,13,20
1522286164,13,9
1522286650,21,15
1522287127,13,14
1522287635,13,14
1522288090,12,12
1522288568,11,17
1522289051,19,14
1522289528,5,2
1522290012,4,2
1522290489,1,0
1522290967,2,1
1522310646,0,1
1522311128,1,0
1522325288,0,1
1522325768,1,0
1522348089,0,1
1522348567,1,0
1522371126,0,1
1522371621,1,0
1522372087,7,11
1522372568,16,26
1522373046,16,13
1522373530,13,15
1522374006,7,9
1522374485,18,14
1522374969,9,10
1522375447,14,15
1522375928,6,2
1522376405,1,2
1522376890,2,1
1522399446,0,1
1522400417,1,0
1522400887,0,1
1522401368,1,0
1522458249,5,11
1522458725,17,12
1522459209,11,11
1522459687,12,15
1522460167,8,7
1522460648,16,15
1522461130,8,5
1522461614,22,26
1522462090,16,9
1522462567,3,2
1522463047,1,0
1522463526,1,1
1522474569,0,1
1522476010,1,0
1522488969,0,1
1522489447,1,0
1522492811,0,1
1522494245,1,0
1522524247,0,1
1522524727,1,0
1522543206,0,1
1522543688,1,0
1522544652,5,5
1522545125,13,15
1522545607,21,22
1522546085,6,12
1522546571,10,12
1522547046,12,9
1522547528,12,15
1522548015,28,24
1522548490,5,5
1522548967,2,5
1522549446,2,1
1522549928,1,0
1522560965,0,1
1522561928,1,0
1522568405,0,1
1522568885,1,0
1522575127,0,1
1522575606,1,0
1522581846,0,1
1522582327,1,0
1522587847,0,1
1522588805,1,0
1522594324,0,1
1522594824,1,0
1522625527,0,1
1522626007,1,0
1522631286,6,6
1522631770,16,19
1522632245,15,14
1522632729,14,15
1522633204,6,7
1522633689,17,18
1522634165,17,18
1522634650,18,18
1522635126,6,5
1522644965,0,1
1522645446,1,0
1522680727,0,1
1522681216,1,0
1522686968,0,1
1522687689,1,0
1522695125,0,1
1522695850,1,0
1522704728,0,1
1522705208,1,0
1522713849,0,1
1522714327,1,0
1522717688,18,15
1522718169,10,12
1522718647,16,16
1522719129,7,7
1522719607,10,13
1522720088,11,6
1522720566,27,23
1522721048,10,9
1522721530,11,11
1522722004,4,1
1522722488,2,1
1522727765,0,1
1522728257,1,1
1522728725,1,0
1522729208,0,1
1522729685,1,0
1522734970,0,1
1522735446,1,0
1522765928,0,1
1522766407,1,0
1522773369,0,1
1522775053,1,0
1522780571,0,1
1522781531,1,0
1522790410,0,2
1522790885,2,0
1522804088,7,13
1522804565,17,14
1522805046,18,15
1522805772,14,13
1522806489,19,20
1522806965,23,24
1522807689,8,11
1522808165,2,2
1522808647,2,0
1522809129,0,1
1522820648,0,1
1522821127,1,0
1522834086,0,1
1522835046,1,0
1522842728,0,2
1522843215,2,0
1522849207,0,1
1522849686,1,0
1522860728,0,1
1522861209,1,0
1522891933,28,37
1522892648,12,9
1522893126,13,21
1522893610,8,7
1522894328,14,11
1522894805,1,2
1522895529,2,0
1522917851,0,1
1522918568,1,0
1522923368,0,1
1522923844,1,0
1522929127,0,1
1522929609,1,0
1522933927,0,1
1522934407,1,0
1522939210,0,1
1522939925,1,0
1522949766,0,1
1522950245,1,0
1522977130,18,15
1522977605,15,14
1522978086,14,15
1522978566,9,7
1522979046,10,17
1522979528,11,12
1522980012,24,18
1522980489,11,9
1522980968,2,2
1522981449,1,2
1522981925,3,1
1522983366,0,1
1522984327,1,0
1522989604,0,1
1522990088,1,0
1523010010,0,1
1523010488,1,0
1523016251,0,1
1523016729,1,0
1523022728,0,1
1523023451,1,1
1523023928,1,1
1523024407,1,0
1523037129,0,1
1523037610,1,0
1523063289,5,11
1523063769,16,14
1523064246,9,11
1523064728,16,11
1523065206,9,6
1523065686,12,18
1523066165,21,17
1523066647,12,11
1523067128,2,1
1523067609,0,2
1523068089,2,1
1523069526,0,1
1523070489,1,0
1523086806,0,1
1523087290,1,0
1523106487,0,1
1523108405,1,0
1523113209,0,1
1523114168,1,0
1523149689,10,21
1523150165,14,9
1523150647,13,19
1523151368,12,8
1523151847,14,11
1523152326,6,9
1523152816,21,20
1523153287,9,4
1523153771,1,2
1523154245,2,1
1523154730,3,1
1523163845,0,1
1523164331,1,0
