DateTime,Entries,UniqueIPs
1520931851,5111,5111
1520932332,5112,5112
1520956087,5111,5111
1520956819,5111,5111
1520957291,5112,5112
1520967130,5111,5111
1520967606,5112,5112
1520989690,5107,5107
1520990167,5104,5104
1520990644,5101,5101
1520991125,5107,5107
1520991608,5109,5109
1520992085,5111,5111
1520992568,5113,5113
1520993048,5117,5117
1520993530,5115,5115
1520994005,5116,5116
1520994488,5117,5117
1520994964,5116,5116
1520996414,5115,5115
1520997848,5116,5116
1521017046,5115,5115
1521018016,5116,5116
1521031206,5115,5115
1521032655,5116,5116
1521035047,5115,5115
1521035528,5116,5116
1521069844,5115,5115
1521070328,5116,5116
1521076096,5117,5117
1521076587,5112,5112
1521077054,5108,5108
1521077539,5108,5108
1521078014,5108,5108
1521078499,5107,5107
1521078964,5109,5109
1521079448,5111,5111
1521079926,5109,5109
1521080408,5110,5110
1521080884,5111,5111
1521081366,5111,5111
1521083769,5110,5110
1521084248,5111,5111
1521099128,5110,5110
1521099606,5111,5111
1521114012,5110,5110
1521114991,5111,5111
1521124326,5110,5110
1521124808,5110,5110
1521125289,5111,5111
1521206405,5111,5111
1521211204,5110,5110
1521211688,5111,5111
1521224649,5110,5110
1521225129,5111,5111
1521227528,5110,5110
1521228008,5111,5111
1521248888,5106,5106
1521249366,5108,5108
1521249848,5108,5108
1521250330,5107,5107
1521250806,5108,5108
1521251290,5108,5108
1521251768,5105,5105
1521252247,5104,5104
1521252727,5105,5105
1521253205,5105,5105
1521253690,5106,5106
1521254232,5107,5107
1521285608,5106,5106
1521286088,5107,5107
1521300012,5106,5106
1521300964,5107,5107
1521301928,5106,5106
1521302415,5107,5107
1521334806,5105,5105
1521335292,5104,5104
1521335768,5110,5110
1521336246,5110,5110
1521336725,5110,5110
1521337208,5112,5112
1521337686,5110,5110
1521338166,5106,5106
1521338646,5105,5105
1521339129,5107,5107
1521339605,5105,5105
1521340086,5106,5106
1521340564,5107,5107
1521352086,5106,5106
1521352568,5107,5107
1521403211,5106,5106
1521403686,5107,5107
1521417364,5106,5106
1521418092,5107,5107
1521421690,5103,5103
1521422166,5101,5101
1521422646,5104,5104
1521423131,5101,5101
1521423608,5101,5101
1521424090,5103,5103
1521424565,5106,5106
1521425052,5108,5108
1521425527,5107,5107
1521426007,5108,5108
1521426488,5109,5109
1521426967,5108,5108
1521430817,5107,5107
1521431286,5108,5108
1521443528,5107,5107
1521444005,5108,5108
1521445925,5107,5107
1521446415,5108,5108
1521480013,5107,5107
1521480488,5108,5108
1521495366,5106,5106
1521495845,5107,5107
1521496327,5108,5108
1521508085,5101,5101
1521508571,5095,5095
1521509048,5101,5101
1521509526,5102,5102
1521510006,5098,5098
1521510486,5099,5099
1521510976,5100,5100
1521511450,5099,5099
1521511926,5109,5109
1521512423,5108,5108
1521512887,5109,5109
1521513365,5109,5109
1521541449,5110,5110
1521564008,5109,5109
1521564490,5110,5110
1521576247,5109,5109
1521576967,5110,5110
1521586328,5108,5108
1521586816,5110,5110
1521594489,5103,5103
1521595210,5107,5107
1521595687,5107,5107
1521596170,5103,5103
1521596645,5101,5101
1521597129,5103,5103
1521597607,5106,5106
1521598089,5110,5110
1521598565,5111,5111
1521599054,5111,5111
1521599528,5110,5110
1521600486,5109,5109
1521600968,5110,5110
1521618968,5109,5109
1521619449,5110,5110
1521624248,5109,5109
1521624726,5110,5110
1521635767,5109,5109
1521636248,5110,5110
1521637211,5109,5109
1521637693,5110,5110
1521652088,5109,5109
1521652567,5110,5110
1521680889,5105,5105
1521681367,5103,5103
1521681849,5102,5102
1521682328,5100,5100
1521682807,5102,5102
1521683286,5102,5102
1521683767,5101,5101
1521684247,5102,5102
1521684968,5106,5106
1521685688,5106,5106
1521686168,5107,5107
1521702969,5106,5106
1521703446,5107,5107
1521713766,5106,5106
1521714246,5107,5107
1521765607,5106,5106
1521766089,5107,5107
1521767526,5095,5095
1521768010,5097,5097
1521768487,5103,5103
1521768973,5100,5100
1521769446,5099,5099
1521769927,5100,5100
1521770416,5097,5097
1521770886,5097,5097
1521771365,5101,5101
1521772328,5101,5101
1521786729,5100,5100
1521787206,5101,5101
1521809768,5100,5100
1521810728,5101,5101
1521853686,5095,5095
1521854169,5091,5091
1521854650,5091,5091
1521855369,5098,5098
1521855845,5098,5098
1521856327,5096,5096
1521856812,5095,5095
1521857289,5100,5100
1521857764,5099,5099
1521858246,5099,5099
1521858968,5100,5100
1521863767,5099,5099
1521864247,5100,5100
1521867130,5099,5099
1521867849,5100,5100
1521892816,5099,5099
1521893286,5100,5100
1521918013,5099,5099
1521918487,5100,5100
1521919927,5099,5099
1521920405,5100,5100
1521940326,5098,5098
1521940810,5095,5095
1521941529,5091,5091
1521942004,5088,5088
1521942486,5094,5094
1521942967,5089,5089
1521943446,5096,5096
1521943924,5093,5093
1521944404,5091,5091
1521944888,5091,5091
1521945364,5090,5090
1521993368,5089,5089
1521993848,5090,5090
1522020247,5089,5089
1522020733,5090,5090
1522026485,5080,5080
1522026967,5082,5082
1522027445,5086,5086
1522027927,5081,5081
1522028405,5080,5080
1522028887,5086,5086
1522029367,5085,5085
1522029847,5091,5091
1522030327,5092,5092
1522030806,5095,5095
1522031768,5095,5095
1522043524,5094,5094
1522044013,5095,5095
1522045931,5094,5094
1522046408,5095,5095
1522093685,5094,5094
1522094165,5095,5095
1522112649,5092,5092
1522113127,5094,5094
1522113608,5093,5093
1522114086,5094,5094
1522114574,5096,5096
1522115051,5096,5096
1522115765,5092,5092
1522116247,5096,5096
1522116725,5094,5094
1522117211,5096,5096
1522118165,5097,5097
1522173366,5096,5096
1522173848,5095,5095
1522174328,5097,5097
1522199049,5096,5096
1522199526,5091,5091
1522200011,5086,5086
1522200488,5088,5088
1522201208,5090,5090
1522201688,5088,5088
1522202173,5084,5084
1522202648,5086,5086
1522203128,5088,5088
1522203608,5090,5090
1522204811,5091,5091
1522248728,5089,5089
1522249214,5091,5091
1522250646,5090,5090
1522251127,5091,5091
1522274887,5090,5090
1522275369,5091,5091
1522285686,5084,5084
1522286164,5088,5088
1522286650,5094,5094
1522287127,5093,5093
1522287635,5092,5092
1522288090,5092,5092
1522288568,5086,5086
1522289051,5091,5091
1522289528,5094,5094
1522290012,5096,5096
1522290489,5097,5097
1522290967,5098,5098
1522310646,5097,5097
1522311128,5098,5098
1522325288,5097,5097
1522325768,5098,5098
1522348089,5097,5097
1522348567,5098,5098
1522371126,5097,5097
1522371621,5098,5098
1522372087,5094,5094
1522372568,5084,5084
1522373046,5087,5087
1522373530,5085,5085
1522374006,5083,5083
1522374485,5087,5087
1522374969,5086,5086
1522375447,5085,5085
1522375928,5089,5089
1522376405,5088,5088
1522376890,5089,5089
1522399446,5088,5088
1522400417,5089,5089
1522400887,5088,5088
1522401368,5089,5089
1522458249,5083,5083
1522458725,5088,5088
1522459209,5088,5088
