DateTime,AddedIPs,RemovedIPs
1462701002,0,3
1462702502,9,0
1462703101,0,7
1462704302,5,9
1462706103,7,5
1462707902,7,7
1462709702,6,6
1462711202,5,7
1462713002,5,5
1462714802,6,5
1462716602,6,6
1462718401,8,6
1462720202,6,8
1462722302,6,6
1462723802,5,6
1462725902,14,5
1462727702,8,14
1462729802,4,8
1462731901,7,4
1462733702,7,7
1462735501,6,7
1462737302,7,6
1462739102,7,0
1462739402,0,7
1462741202,8,7
1462743001,8,8
1462745102,6,8
1462746902,9,6
1462749002,6,9
1462750802,5,6
1462752302,202,0
1462752902,5,5
1462754702,8,5
1462756502,7,0
1462757101,0,7
1462758602,8,8
1462760702,3,7
1462762501,6,4
1462764301,6,6
1462766101,4,0
1462766402,0,6
1462768202,7,4
1462770302,5,7
1462771801,3,5
1462773902,6,3
1462775702,7,6
1462777502,6,0
1462777801,0,7
1462779902,6,6
1462781702,6,6
1462791602,7,6
1462793701,11,6
1462795502,9,0
1462795802,0,12
1462797602,8,9
1462799702,7,8
1462801502,8,7
1462803302,7,0
1462803601,0,8
1462805401,7,7
1462807501,6,7
1462809302,6,6
1462811101,5,6
1462812902,7,0
1462813202,0,5
1462815002,8,7
1462816801,6,7
1462818902,6,7
1462820701,6,0
1462821001,0,6
1462822802,9,6
1462824902,6,9
1462826702,6,0
1462827001,0,6
1462829102,8,6
1462830602,5,0
1462830902,0,8
1462832701,14,4
1462834502,7,0
1462834802,0,15
1462836602,7,6
1462838403,217,8
1462840502,9,8
1462842301,6,9
1462844101,4,0
1462844402,0,6
1462846202,5,4
1462848002,5,0
1462848302,0,5
1462850102,8,5
1462851902,7,8
1462853701,8,0
1462854301,0,7
1462855502,7,0
1462855801,0,8
1462857902,6,7
1462859402,6,6
1462861502,7,5
1462863302,5,8
1462865702,8,5
1462867802,6,8
1462869902,9,6
1462871102,1,0
1462871702,6,8
1462873502,5,0
1462873802,0,7
1462875602,8,5
1462877402,6,8
1462879502,7,6
1462881302,5,6
1462883102,6,0
1462883402,0,6
1462885202,7,6
1462887001,8,0
1462887302,0,7
1462889102,6,7
1462890902,10,7
1462892702,5,0
1462893002,0,10
1462894502,5,0
1462894802,0,5
1462896601,8,5
1462898402,3,8
1462900502,7,3
1462902302,9,7
1462904102,9,9
1462905902,6,9
1462908301,6,6
1462910102,6,6
1462912202,8,6
1462913102,0,2
1462914302,8,8
1462916402,6,8
1462918501,2,6
1462920302,7,2
1462922701,6,7
1462924501,5,6
1462924802,209,0
1462926302,6,5
1462928702,4,6
1462930202,7,4
1462932302,6,7
1462934101,6,0
1462934402,0,6
1462936502,6,5
1462938001,7,7
1462940102,9,7
1462941902,9,0
1462942202,0,9
1462944301,8,9
1462946102,5,7
1462947902,7,6
1462950002,9,7
1462951802,7,8
1462953901,6,8
1462955702,7,6
1462957502,6,0
1462957802,0,7
1462959602,6,6
1462961702,8,6
1462962902,0,1
1462963502,10,8
1462965002,0,1
1462965901,5,9
1462967702,5,5
1462969802,8,5
1462971901,8,8
1462973702,8,8
1462976102,9,8
1462977901,9,9
1462980302,6,9
1462982101,6,5
1462983902,4,0
1462984202,0,6
1462986002,6,5
1462988102,7,6
1462990202,8,6
1462992002,9,9
1462994102,7,8
1462995901,3,0
1462996202,0,7
1462998302,6,3
1463000101,8,6
1463001902,7,8
1463004002,8,7
1463005802,5,7
1463007902,7,6
1463009702,6,7
1463011202,187,0
1463011502,6,0
1463012102,0,5
1463013902,5,7
1463015702,3,5
1463017502,7,3
1463019902,5,7
1463021402,7,5
1463023502,5,7
1463025302,5,4
1463027102,5,0
1463027402,0,6
1463029202,6,5
