DateTime,AddedIPs,RemovedIPs
1504552502,1,0
1504552802,0,1
1504553102,1,0
1504553402,0,1
1504554601,1,0
1504554902,0,1
1504555202,1,0
1504555502,0,1
1504555801,1,0
1504556101,0,1
1504557001,1,0
1504557901,0,1
1504559402,1,0
1504560002,0,1
1504560902,1,0
1504561202,0,1
1504563002,1,0
1504563302,0,1
1504564202,1,0
1504564801,0,1
1504565402,1,0
1504565701,0,1
1504566601,1,0
1504566902,0,1
1504568101,1,0
1504568402,0,1
1504569301,1,0
1504571102,0,1
1504571701,1,0
1504572601,0,1
1504572901,1,0
1504573502,0,1
1504573802,1,0
1504574102,0,1
1504574702,1,0
1504575001,0,1
1504575602,1,0
1504575902,0,1
1504576502,1,0
1504577102,0,1
1504579202,1,0
1504581902,0,1
1504583402,1,0
1504583702,0,1
1504584001,1,0
1504584301,0,1
1504584602,1,0
1504584902,0,1
1504585802,1,0
1504586102,0,1
1504587003,1,0
1504587301,0,1
1504587902,1,0
1504588202,0,1
1504588801,1,0
1504589101,0,1
1504589401,1,0
1504591202,0,1
1504592101,1,0
1504593302,0,1
1504593602,1,0
1504595702,0,1
1504596902,1,0
1504597501,0,1
1504598101,1,0
1504598701,0,1
1504599601,1,0
1504599901,0,1
1504600502,1,0
1504601102,0,1
1504601402,1,0
1504602002,0,1
1504602302,1,0
1504602601,0,1
1504603802,1,0
1504604102,0,1
1504604702,1,0
1504605002,0,1
1504606501,1,0
1504607102,0,1
1504607702,2,1
1504608001,0,1
1504609502,1,0
1504610402,0,1
1504611302,1,0
1504612201,1,0
1504612501,0,1
1504613402,1,0
1504613701,0,1
1504614902,1,0
1504615802,0,1
1504616102,1,0
1504616702,0,1
1504617302,1,0
1504618201,0,1
1504619702,1,0
1504621501,0,1
1504621802,1,1
1504622401,1,0
1504623902,0,1
1504625701,1,1
1504626601,1,0
1504627202,0,1
1504627802,1,0
1504628101,0,1
1504629002,1,1
1504629601,1,0
1504631702,0,1
1504632002,1,0
1504632602,1,2
1504632902,1,0
