DateTime,Entries,UniqueIPs
1459437601,0,0
1459555201,2,2
1459583701,3,3
1459587901,3,3
1459728002,6,6
1459755002,5,5
1459814401,7,7
1459848901,8,8
1459860901,8,8
1459900801,9,9
1459934101,8,8
1459987202,11,11
1460073602,15,15
1460160002,17,17
1460189702,18,18
1460194501,18,18
1460208001,17,17
1460209202,18,18
1460267102,17,17
1460268602,18,18
1460281501,17,17
1460281801,18,18
1460366402,17,17
1460534102,18,18
1460538302,18,18
1460543101,17,17
1460629501,18,18
1460634302,18,18
1460639401,17,17
1460640302,18,18
1460643901,18,18
1460649001,17,17
1460678401,18,18
1460764802,28,28
1461052201,29,29
1461056402,29,29
1461060902,29,29
1461065701,28,28
1461456002,29,29
1461630301,30,30
1461888001,32,32
1462060802,33,33
1462091701,34,34
1462096802,34,34
1462100702,33,33
1462492802,34,34
1462775702,35,35
1462779902,34,34
1462838702,36,36
1463184002,38,38
1463270402,41,41
1463557201,42,42
1463561102,42,42
1463564401,43,43
1463565302,42,42
1463569201,42,42
1463573102,41,41
1463702702,43,43
1463898902,44,44
1463904002,44,44
1463995501,43,43
1464187201,44,44
1464192301,44,44
1464250202,43,43
1464432902,44,44
1464550202,43,43
1464739502,45,45
1464768301,46,46
1464772801,45,45
1465035302,46,46
1465039802,46,46
1465047902,45,45
1465369801,46,46
1465370702,47,47
1465374301,46,46
1465378201,47,47
1465380302,46,46
1465394701,45,45
1465461302,46,46
1465466102,46,46
1465470301,45,45
1465972501,46,46
1465977601,46,46
1465986001,46,46
1465990501,46,46
1465994402,46,46
1465999502,47,47
1466002802,47,47
1466004602,46,46
1466006701,47,47
1466015101,46,46
1466016902,47,47
1466021102,46,46
1466073602,45,45
1466208002,48,48
1466553601,49,49
1466599202,50,50
1466603702,50,50
1466609102,49,49
1466754901,50,50
1466759101,50,50
1466762701,49,49
1466812801,50,50
1467072001,51,51
1467417602,52,52
1467677101,54,54
1467726601,55,55
1467730502,55,55
1467794702,54,54
1467832502,55,55
1467837901,55,55
1467881701,54,54
1468022401,56,56
1468108802,57,57
1468235701,58,58
1468241702,58,58
1468324201,57,57
1468335902,58,58
1468427102,57,57
1468489801,58,58
1468525802,57,57
1468526101,58,58
1468596002,57,57
1468596302,58,58
1468627202,65,65
1468703102,64,64
1468703401,65,65
1468771201,66,66
1468780201,66,66
1468851001,66,66
1468947302,65,65
1468996501,65,65
1469119801,64,64
1469120102,65,65
1469143501,64,64
1469179802,65,65
1469232002,66,66
1469293801,65,65
1469294101,66,66
1469386502,65,65
1469386802,66,66
1469405102,68,68
1470355202,69,69
1470441602,71,71
1470494702,70,70
1470495002,71,71
1470685802,70,70
1470686102,71,71
1470731702,71,71
1470751201,71,71
1470873602,72,72
1471132802,73,73
1471392002,75,75
1471408502,74,74
1471408802,75,75
1471412701,76,76
1471419902,77,77
1471440901,76,76
1471478701,77,77
1471651201,78,78
1471885802,79,79
1471890302,78,78
1472507402,77,77
1472507701,78,78
1472616601,79,79
1472617501,78,78
1472652002,79,79
1472652902,78,78
1472782501,77,77
1472818202,78,78
1472882101,78,78
1472921101,77,77
1472953502,78,78
1473030602,78,78
1473348601,77,77
1473348901,78,78
1473379201,80,80
1473398101,79,79
1473399001,80,80
1473538502,79,79
1473539102,80,80
1473791101,80,80
1473889501,80,80
1473966002,81,81
1474001102,80,80
1474070402,83,83
1474208702,82,82
1474209001,83,83
1474310702,83,83
1474383002,83,83
1474448701,83,83
1474488002,82,82
1474502401,83,83
1474535401,84,84
1474537802,83,83
1474552202,84,84
1474591501,84,84
1474630202,83,83
1474812002,84,84
1474812601,83,83
1474896301,84,84
1474903502,85,85
1474904702,84,84
1474931102,85,85
1474931701,84,84
1474956902,85,85
1474957801,84,84
1474978501,84,84
1474985702,85,85
1474986301,84,84
1475006101,84,84
1475015101,84,84
1475065501,84,84
