DateTime,Entries,UniqueIPs
1511716254,5671,5719
1511737879,5691,5743
1511763153,5701,5754
1511783913,5731,5784
1511802628,5738,5791
1511824176,5757,5813
1511849217,5770,5825
1511872633,5802,5856
1511889235,5804,5858
1511910323,5834,5888
1511935672,5842,5897
1511955907,5863,5917
1511975541,5865,5919
1511996656,5884,5938
1512022407,5896,5950
1512043778,5909,5965
1512061568,5917,5974
1512085358,5942,5997
1512108566,5949,6004
1512128883,5997,6052
1512148066,5959,6014
1512168755,5980,6031
1512195040,5968,6019
1512215195,5976,6027
1512234331,5971,6022
1512258213,5986,6034
1512281148,5981,6029
1512304681,5985,6032
1512320964,5976,6022
1512342240,6013,6060
1512367575,5968,6008
1512390353,5975,6015
1512407532,5972,6013
1512427985,5981,6024
1512454196,5986,6029
1512474842,5987,6032
1512493913,5998,6043
1512515191,5990,6036
1512540351,6004,6050
1512563234,6004,6050
1512580059,5971,6016
1512601160,6011,6060
1512626890,5982,6031
1512647482,5982,6031
1512666540,5990,6039
1512687305,6020,6069
1512713239,5993,6042
1512733883,6018,6068
1512752667,6003,6053
1512776804,6042,6092
1512799968,5992,6042
1512819326,6036,6087
1512839333,5990,6040
1512860555,6034,6084
1512885622,5999,6049
1512908493,6012,6062
1512925438,5973,6022
1512949503,5922,5972
1512972411,5933,5983
1512995312,5899,5950
1513012232,5915,5966
1513032586,5928,5980
1513058446,5886,5938
1513081212,5898,5952
1513098151,5822,5876
1513121386,5794,5848
1513144748,5814,5868
1513167323,5834,5889
1513184717,5750,5805
1513207530,5782,5837
1513231245,5720,5776
1513253829,5757,5814
1513271114,5714,5769
1513294763,5646,5700
1513317280,5657,5711
1513339738,5666,5720
1513357139,5631,5685
1513380423,5632,5686
1513403931,5547,5600
1513426439,5589,5642
1513443651,5535,5589
1513467061,5541,5593
1513490296,5493,5545
1513512243,5502,5554
1513529777,5446,5499
1513552812,5448,5502
1513576287,5361,5414
1513594761,5392,5448
1513615948,5331,5386
1513635158,5398,5455
1513662718,5348,5404
1513682052,5334,5390
1513702616,5256,5310
1513721793,5277,5331
1513749135,5222,5275
1513768461,5256,5309
1513788491,5204,5257
1513807893,5216,5272
1513835294,5146,5202
1513854263,5176,5232
1513874817,5149,5205
1513894221,5194,5251
1513921797,5145,5199
1513940454,5179,5234
1513961312,5133,5188
1513981115,5143,5198
1514008134,5101,5156
1514026634,5100,5156
1514048616,5069,5123
1514068452,5118,5172
1514095169,5087,5141
1514114393,5084,5138
1514134336,5062,5115
1514154081,5112,5166
1514181438,5070,5121
1514199931,5113,5165
1514220679,5043,5094
1514240753,5109,5160
1514268223,5052,5104
1514287065,5088,5141
1514307412,5024,5076
1514326845,5082,5135
1514354347,5047,5100
1514373594,5069,5121
1514393807,5001,5053
1514417424,4982,5033
1514440973,5006,5057
1514459913,5015,5067
1514479964,4964,5016
1514499324,5030,5083
1514526616,4972,5025
1514545346,5008,5061
1514566598,4975,5027
1514585940,5010,5062
1514613444,4956,5008
1514632313,4975,5028
1514652943,4939,4991
1514672701,4985,5038
1514699826,4963,5016
1514718581,4979,5032
1514739250,4933,4986
1514759063,5010,5064
1514786055,4999,5051
1514805614,5010,5063
1514825863,5020,5074
1514845968,5048,5102
1514872573,5008,5060
1514891748,5041,5093
1514912113,5043,5095
1514931505,5080,5131
1514958472,5084,5136
1514977844,5104,5156
1514998241,5093,5145
1515017611,5129,5181
1515045461,5124,5175
1515064277,5135,5189
1515084968,5091,5144
1515103405,5146,5199
1515131655,5106,5157
1515150347,5151,5202
1515171106,5152,5202
1515189988,5188,5238
1515218105,5166,5215
1515236103,5193,5244
1515257828,5140,5190
1515276336,5166,5216
1515304403,5112,5162
1515344739,5045,5095
1515363713,5074,5125
1515390973,5041,5090
1515409016,5063,5115
1515430645,5032,5084
1515448739,5049,5101
1515477245,4999,5049
1515494966,5039,5090
1515517633,5012,5063
1515536394,5021,5074
1515563924,4976,5028
1515582058,5016,5068
1515603944,4986,5039
1515623176,5002,5055
1515650204,4972,5023
1515669036,4999,5050
1515689740,4956,5006
1515709506,4988,5038
1515736293,4973,5022
1515755139,5000,5050
1515775344,4974,5023
1515795173,4993,5043
1515822938,4992,5042
1515841437,5012,5063
1515862802,4981,5032
1515882918,4997,5047
1515909154,4983,5032
1515928223,5037,5088
1515949222,4978,5029
1515969287,4998,5051
1515995384,5003,5055
1516014352,5058,5110
1516034812,5033,5080
1516054392,5035,5083
1516081829,5019,5066
1516100608,5066,5114
1516121454,5017,5065
1516140971,5052,5100
1516168632,5045,5092
1516187373,5058,5106
1516207610,5042,5090
1516226776,5074,5124
1516254681,5049,5099
1516273708,5084,5135
1516294137,5047,5096
1516313708,5106,5155
1516341210,5096,5144
1516359957,5112,5160
1516380744,5075,5123
1516400371,5094,5143
1516427714,5068,5115
1516446921,5061,5107
1516467359,5045,5091
1516486943,5014,5059
1516513753,5044,5089
1516532340,5079,5124
1516553583,5044,5089
1516572836,5058,5103
1516600418,5032,5076
1516619919,5034,5079
1516640114,5012,5055
1516658943,5044,5088
1516686743,4992,5036
1516705820,5037,5083
1516726567,5006,5054
1516746092,5014,5061
1516773006,4976,5022
1516791829,4990,5037
1516812883,4948,4995
1516832154,4961,5007
1516859822,4913,4959
1516878644,4938,4986
1516899533,4901,4950
1516919136,4865,4913
1516946036,4856,4905
1516965149,4890,4940
1516985683,4862,4912
1517004812,4902,4952
1517032400,4856,4905
1517051493,4901,4951
1517072473,4864,4914
1517091868,4804,4854
1517118830,4814,4864
1517137841,4786,4835
1517158664,4775,4824
1517178265,4769,4816
1517205357,4786,4833
1517224076,4765,4813
1517245223,4777,4826
