DateTime,Entries,UniqueIPs
1511653564,145,145
1511676660,142,142
1511697357,144,144
1511716254,141,141
1511737879,142,142
1511763153,140,140
1511783913,144,144
1511802628,141,141
1511824176,143,143
1511849217,140,140
1511872633,145,145
1511889235,140,140
1511910323,143,143
1511935672,142,142
1511955907,142,142
1511975541,142,142
1511996656,144,144
1512022407,141,141
1512043778,144,144
1512061568,141,141
1512085358,144,144
1512108566,140,140
1512128883,143,143
1512148066,141,141
1512168755,144,144
1512195040,141,141
1512215195,143,143
1512234331,140,140
1512258213,143,143
1512281148,140,140
1512304681,143,143
1512320964,139,139
1512342240,143,143
1512367575,137,137
1512390353,143,143
1512407532,139,139
1512427985,142,142
1512454196,141,141
1512474842,143,143
1512493913,141,141
1512515191,144,144
1512540351,139,139
1512563234,144,144
1512580059,141,141
1512601160,144,144
1512626890,143,143
1512647482,145,145
1512666540,142,142
1512687305,144,144
1512713239,143,143
1512733883,145,145
1512752667,144,144
1512776804,144,144
1512799968,144,144
1512819326,145,145
1512839333,144,144
1512860555,144,144
1512885622,143,143
1512908493,142,142
1512925438,141,141
1512949503,143,143
1512972411,140,140
1512995312,145,145
1513012232,142,142
1513032586,145,145
1513058446,142,142
1513081212,145,145
1513098151,141,141
1513121386,145,145
1513144748,140,140
1513167323,145,145
1513184717,142,142
1513207530,145,145
1513231245,142,142
1513253829,145,145
1513271114,142,142
1513294763,143,143
1513317280,142,142
1513339738,144,144
1513357139,142,142
1513380423,144,144
1513403931,141,141
1513426439,143,143
1513443651,141,141
1513467061,144,144
1513490296,141,141
1513512243,144,144
1513529777,141,141
1513552812,145,145
1513576287,140,140
1513594761,143,143
1513615948,143,143
1513635158,144,144
1513662718,144,144
1513682052,144,144
1513702616,143,143
1513721793,144,144
1513749135,143,143
1513768461,143,143
1513788491,142,142
1513807893,143,143
1513835294,139,139
1513854263,141,141
1513874817,140,140
1513894221,145,145
1513921797,141,141
1513940454,144,144
1513961312,141,141
1513981115,142,142
1514008134,142,142
1514026634,141,141
1514048616,142,142
1514068452,145,145
1514095169,142,142
1514114393,144,144
1514134336,142,142
1514154081,145,145
1514181438,141,141
1514199931,144,144
1514220679,141,141
1514240753,144,144
1514268223,142,142
1514287065,143,143
1514307412,140,140
1514326845,143,143
1514354347,144,144
1514373594,142,142
1514393807,144,144
1514417424,143,143
1514440973,143,143
1514459913,140,140
1514479964,141,141
1514499324,144,144
1514526616,140,140
1514545346,142,142
1514566598,141,141
1514585940,144,144
1514613444,139,139
1514632313,142,142
1514652943,139,139
1514672701,144,144
1514699826,140,140
1514718581,142,142
1514739250,142,142
1514759063,143,143
1514786055,144,144
1514805614,143,143
1514825863,143,143
1514845968,144,144
1514872573,143,143
1514891748,142,142
1514912113,143,143
1514931505,145,145
1514958472,142,142
1514977844,144,144
1514998241,142,142
1515017611,143,143
1515045461,141,141
1515064277,144,144
1515084968,144,144
1515103405,143,143
1515131655,142,142
1515150347,141,141
1515171106,143,143
1515189988,144,144
1515218105,143,143
1515236103,144,144
1515257828,142,142
1515276336,143,143
1515304403,142,142
1515344739,143,143
1515363713,143,143
1515390973,143,143
1515409016,144,144
1515430645,143,143
1515448739,145,145
1515477245,141,141
1515494966,144,144
1515517633,140,140
1515536394,141,141
1515563924,141,141
1515582058,144,144
1515603944,140,140
1515623176,145,145
1515650204,141,141
1515669036,143,143
1515689740,141,141
