DateTime,Entries,UniqueIPs
1479604423,10639,10639
1479690774,10678,10678
1479777174,10707,10707
1479863573,10691,10691
1479949964,10320,10320
1480036360,10402,10402
1480122763,8652,8652
1480209166,8552,8552
1480295527,8666,8666
1480381982,8662,8662
1480468375,8794,8794
1480554776,8835,8835
1480641175,8907,8907
1480727540,8926,8926
1480813942,9002,9002
1480900329,8948,8948
1481073175,8881,8881
1481159597,8914,8914
1481245947,9021,9021
1481332315,9047,9047
1481418810,9064,9064
1481505193,9075,9075
1481591572,9051,9051
1481678014,9235,9235
1481764302,50960,50960
1481850748,50872,50872
1481937177,50860,50860
1482023629,68119,68119
1482109931,71941,71941
1482196361,74673,74673
1482282839,76770,76770
1482369167,48095,48095
1482455560,48199,48199
1482541966,48232,48232
1482628389,33544,33544
1482714785,29793,29793
1482801171,32032,32032
1482887574,29934,29934
1482973978,28940,28940
1483060412,28955,28955
1483146733,29083,29083
1483233133,29093,29093
1483319539,30573,30573
1483405922,26698,26698
1483492325,27653,27653
1483578712,26574,26574
1483665169,26615,26615
1483751611,27997,27997
1483838015,28068,28068
1483924428,33148,33148
1484010765,35420,35420
1484097164,40229,40229
1484183572,45862,45862
1484269944,52890,52890
1484356324,57434,57434
1484442773,53718,53718
1484529167,50183,50183
1484615556,49986,49986
1484701987,45437,45437
1484788371,45131,45131
1484874785,41253,41253
1484961177,35147,35147
1485047618,31521,31521
1485134005,30693,30693
1485220370,30927,30927
1485306811,32632,32632
1485393196,28880,28880
1485479584,27824,27824
1485565989,27589,27589
1485652398,27467,27467
1485738737,27306,27306
1485825208,25806,25806
1485911580,22364,22364
1485997928,21876,21876
1486084393,20018,20018
1486170701,19927,19927
1486257110,19849,19849
1486343526,19173,19173
1486429923,18807,18807
1486516321,17851,17851
1486602737,16614,16614
1486689152,18364,18364
1486775653,19321,19321
1486862054,19035,19035
1486948413,18712,18712
1487034806,18355,18355
1487121217,18806,18806
1487207575,21539,21539
1487294017,20053,20053
1487380519,19894,19894
1487466848,20944,20944
1487553213,21231,21231
1487639622,21152,21152
1487725948,21063,21063
1487812391,18535,18535
1487898764,17953,17953
1487985194,17973,17973
1488071552,16689,16689
