DateTime,AddedIPs,RemovedIPs
1501471902,15,29
1501515099,17,27
1501558307,36,28
1501601501,17,20
1501644707,24,19
1501687904,23,21
1501731097,18,1029
1501774311,18,14
1501817501,18,27
1501860700,18,19
1501903910,2147,34
1501947130,498,21
1501990350,897,21
1502033545,19,23
1502076746,18,23
1502119947,28,17
1502163126,1253,29
1502206340,23,17
1502249552,622,21
1502292753,23,26
1502335991,955,16
1502379142,25,23
1502422361,1119,18
1502434057,10,10
1502477262,22,14
1502520455,15,33
1502563662,801,26
1502606864,26,30
1502650061,16,7
1502693258,22,21
1502736456,34,14
1502779672,881,21
1502822869,26,18
1502866062,876,29
1502909255,31,21
1502952458,20,21
1502995663,865,24
1503038866,14,17
1503082065,22,1644
1503125265,17,655
1503168464,21,22
1503211661,15,790
1503254864,23,21
1503298061,19,20
1503341269,1029,908
1503384467,39,210
1503427659,23,535
1503470870,1107,22
1503514062,15,858
1503557272,1133,21
1503600461,12,1040
1503643665,18,22
1503686875,923,12
1503730074,16,24
1503773272,10,1001
1503816476,14,12
1503859679,7,16
1503902876,9,21
1503946065,21,20
1503989271,20,1505
1504032464,15,11
1504075672,22,867
1504118870,20,23
1504162063,13,16
1504205268,68,858
1504248476,63,20
1504291670,606,15
1504334878,18,15
1504378075,19,15
1504421275,11,25
1504464470,19,20
1504507669,9,19
1504550859,17,1028
1504594047,19,18
1504637267,1369,34
1504680464,11,1101
1504723656,25,18
1504766863,21,1133
1504810063,22,11
1504853266,1434,28
1504896462,23,923
1504939669,22,22
1504982868,28,19
1505026057,26,17
1505069255,16,28
1505112454,15,21
1505155656,18,25
1505198849,25,21
1505242063,1182,21
1505285268,21,16
1505329398,24,11
1505372558,18,366
1505429210,34,30
1505472411,28,23
1505516532,13,596
1505559735,16,18
1505602927,13,35
1505646128,16,22
1505689330,15,15
1505732525,15,24
1505775725,15,14
1505818932,16,17
1505862179,1426,1353
1505905374,16,11
1505948575,33,25
1505991776,22,17
1506035836,21,1441
1506079045,22,29
1506122238,23,27
1506165440,19,17
1506209541,19,24
1506252736,8,21
1506295934,17,15
1506339132,19,27
1506382329,18,8
1506425540,16,17
1506468743,1219,1170
1506513776,17,19
1506556976,36,28
1506600183,27,15
1506643374,20,28
1506686581,26,15
1506729778,27,12
1506772975,12,17
1506816178,20,47
1506859381,36,62
1506902572,25,35
1506945778,27,19
1506988971,29,13
1507032171,24,12
1507075382,1415,1365
1507118587,23,20
1507161776,19,22
1507204979,12,20
1507248157,20,18
1507291357,28,18
1507334562,22,17
1507377761,21,24
1507420951,21,20
1507464145,29,14
1507507347,26,17
1507550544,33,28
1507593745,30,22
1507636948,19,29
1507680180,1852,1194
1507723382,24,19
1507766581,19,14
1507809780,22,22
1507852965,22,38
1507896172,16,27
1507939369,38,21
1507982567,26,25
1508025770,38,20
1508068964,28,23
1508112171,16,31
1508155373,17,17
1508199443,22,21
1508243534,15,21
1508286739,1445,1391
1508329938,13,39
1508373140,26,16
1508416344,21,22
1508459504,23,80
1508502707,18,25
1508545945,1427,27
1508589147,13,33
1508632346,33,23
1508675556,1218,22
1508718748,23,25
1508761953,16,23
1508805156,1037,16
1508848356,36,21
1508891552,22,1835
1508934755,20,21
1508977958,1276,17
1509021161,36,33
1509064347,956,47
1509107552,38,31
1509150746,28,30
1509193962,859,26
1509237165,31,30
1509280358,22,20
1509323559,36,20
1509366763,22,30
1509409962,1176,30
1509453162,38,24
1509496379,1640,1051
1509539563,48,34
1509582778,1122,28
1509625977,16,43
1509669182,862,80
1509712378,15,68
1509755568,979,1420
1509798777,18,24
1509841977,1140,17
1509885181,490,1138
1509928369,27,34
1509971583,729,21
1510014793,27,1045
1510057993,867,31
1510101185,29,24
1510144387,22,25
1510187596,26,1268
1510230783,17,2994
1510273986,34,974
1510317182,24,23
1510360386,42,27
1510403587,20,846
1510446787,36,26
1510489983,22,24
1510533193,24,27
1510576391,24,25
1510619588,23,1159
1510662786,27,25
1510706001,39,1681
1510749194,18,33
1510792393,35,1006
1510835586,13,27
1510878791,70,879
1510921992,15,17
1510965191,36,28
1511008393,21,22
1511051595,28,27
1511094790,20,578
1511137989,4,42
1511181187,36,705
1511224391,31,24
1511267597,23,19
1511310793,36,30
1511353991,55,8
1511397196,32,22
1511440395,20,26
1511483605,30,20
1511526798,25,29
1511570001,30,26
1511613194,21,21
1511656397,28,33
1511699589,29,21
1511742803,29,24
1511785999,18,29
1511829198,28,20
1511872400,17,24
1511915600,31,19
1511958794,26,24
1512002000,38,21
1512045197,16,35
1512088406,23,315
1512131600,43,38
1512174793,37,103
1512218001,22,24
1512261201,70,32
1512304392,26,25
1512347600,25,32
1512390797,25,18
1512433996,35,29
1512477198,18,16
1512520409,39,19
1512563597,63,32
1512606814,36,20
1512649925,19,25
1512693127,40,24
1512736323,30,30
1512779520,36,27
1512822721,29,29
1512865930,284,32
1512909152,25,33
1512952408,45,29
1512995603,17,37
1513038808,41,31
1513082005,18,26
1513125199,33,16
1513169303,26,23
1513212505,31,37
1513255694,16,27
1513298907,35,36
1513342121,22,27
1513385316,34,33
1513428500,26,23
1513471706,18,73
1513514902,16,26
1513558104,29,27
1513601306,25,36
1513644495,47,24
1513687707,25,26
1513730905,27,20
1513774103,31,21
1513817304,97,28
1513860510,17,37
1513904639,53,29
1513947832,17,24
1513991027,118,30
1514034231,27,26
1514077429,21,36
1514120636,21,25
1514163833,31,29
1514207031,26,23
1514250230,17,31
1514293430,26,30
1514336626,33,17
1514379831,16,23
1514423020,29,23
1514466224,20,20
1514509421,28,26
1514552625,21,15
1514595819,31,116
1514639020,23,24
1514682218,20,21
1514725415,19,22
1514768620,16,25
1514811823,31,23
1514855023,25,33
1514898220,21,26
1514941419,32,19
1514984616,26,23
1515028683,30,19
1515071879,22,20
1515115083,37,23
1515158276,22,37
1515201466,34,42
1515244665,22,27
1515287862,42,28
1515331071,17,43
1515374266,21,26
1515417468,31,32
1515447168,16,276
1515619616,350,86
1515663179,20,27
1515706362,30,27
1515749564,24,23
1515792763,29,34
1515835965,23,22
1515879172,22,43
1515922375,22,19
1515965574,27,28
1516008775,22,34
1516051975,33,22
1516095169,39,25
1516138378,34,28
1516182479,25,25
1516225678,32,26
1516268881,70,29
1516312085,14,28
1516355276,17,27
1516398480,37,91
1516441679,20,33
1516484883,30,24
1516528078,13,14
1516571283,15,30
1516614479,19,17
1516657688,29,35
1516700887,27,12
1516744084,54,43
1516787284,20,4
1516830483,18,18
1516873691,18,25
1516916898,17,12
1516960092,55,29
1517003289,17,20
1517046485,7,19
1517089689,35,31
1517132881,19,28
1517176086,35,19
1517219288,22,32
1517262485,23,8
1517306631,29,24
1517349846,32,23
1517393040,16,23
1517436244,25,30
1517479439,41,26
1517522631,24,34
1517565789,31,23
1517609040,26,27
1517652241,27,27
1517690885,19,22
1517734084,34,31
1517777286,20,13
1517820479,19,27
1517861950,28,36
1517905087,108,19
1517948289,19,18
1517991488,19,28
1518034698,19,24
1518077892,24,26
1518121090,39,24
1518164292,32,24
1518207492,23,266
1518250690,15,22
1518293897,21,26
1518337080,33,17
1518380289,30,21
1518423480,14,21
1518466682,27,26
1518509876,19,24
1518553092,32,29
1518596269,21,26
1518638652,22,36
1518681809,28,44
1518725013,22,24
1518768368,26,26
1518811566,20,19
1518854778,21,30
