DateTime,Entries,UniqueIPs
1501471902,2614,2614
1501515099,2604,2604
1501558307,2612,2612
1501601501,2609,2609
1501644707,2614,2614
1501687904,2616,2616
1501731097,1605,1605
1501774311,1609,1609
1501817501,1600,1600
1501860700,1599,1599
1501903910,3712,3712
1501947130,4189,4189
1501990350,5065,5065
1502033545,5061,5061
1502076746,5056,5056
1502119947,5067,5067
1502163126,6291,6291
1502206340,6297,6297
1502249552,6898,6898
1502292753,6895,6895
1502335991,7834,7834
1502379142,7836,7836
1502422361,8937,8937
1502434057,8937,8937
1502477262,8945,8945
1502520455,8927,8927
1502563662,9702,9702
1502606864,9698,9698
1502650061,9707,9707
1502693258,9708,9708
1502736456,9728,9728
1502779672,10588,10588
1502822869,10596,10596
1502866062,11443,11443
1502909255,11453,11453
1502952458,11452,11452
1502995663,12293,12293
1503038866,12290,12290
1503082065,10668,10668
1503125265,10030,10030
1503168464,10029,10029
1503211661,9254,9254
1503254864,9256,9256
1503298061,9255,9255
1503341269,9376,9376
1503384467,9205,9205
1503427659,8693,8693
1503470870,9778,9778
1503514062,8935,8935
1503557272,10047,10047
1503600461,9019,9019
1503643665,9015,9015
1503686875,9926,9926
1503730074,9918,9918
1503773272,8927,8927
1503816476,8929,8929
1503859679,8920,8920
1503902876,8908,8908
1503946065,8909,8909
1503989271,7424,7424
1504032464,7428,7428
1504075672,6583,6583
1504118870,6580,6580
1504162063,6577,6577
1504205268,5787,5787
1504248476,5830,5830
1504291670,6421,6421
1504334878,6424,6424
1504378075,6428,6428
1504421275,6414,6414
1504464470,6413,6413
1504507669,6403,6403
1504550859,5392,5392
1504594047,5393,5393
1504637267,6728,6728
1504680464,5638,5638
1504723656,5645,5645
1504766863,4533,4533
1504810063,4544,4544
1504853266,5950,5950
1504896462,5050,5050
1504939669,5050,5050
1504982868,5059,5059
1505026057,5068,5068
1505069255,5056,5056
1505112454,5050,5050
1505155656,5043,5043
1505198849,5047,5047
1505242063,6208,6208
1505285268,6213,6213
1505329398,6226,6226
1505372558,5878,5878
1505429210,5882,5882
1505472411,5887,5887
1505516532,5304,5304
1505559735,5302,5302
1505602927,5280,5280
1505646128,5274,5274
1505689330,5274,5274
1505732525,5265,5265
1505775725,5266,5266
1505818932,5265,5265
1505862179,5338,5338
1505905374,5343,5343
1505948575,5351,5351
1505991776,5356,5356
1506035836,3936,3936
1506079045,3929,3929
1506122238,3925,3925
1506165440,3927,3927
1506209541,3922,3922
1506252736,3909,3909
1506295934,3911,3911
1506339132,3903,3903
1506382329,3913,3913
1506425540,3912,3912
1506468743,3961,3961
1506513776,3959,3959
1506556976,3967,3967
1506600183,3979,3979
1506643374,3971,3971
1506686581,3982,3982
1506729778,3997,3997
1506772975,3992,3992
1506816178,3965,3965
1506859381,3939,3939
1506902572,3929,3929
1506945778,3937,3937
1506988971,3953,3953
1507032171,3965,3965
1507075382,4015,4015
1507118587,4018,4018
1507161776,4015,4015
1507204979,4007,4007
1507248157,4009,4009
1507291357,4019,4019
1507334562,4024,4024
1507377761,4021,4021
1507420951,4022,4022
1507464145,4037,4037
1507507347,4046,4046
1507550544,4051,4051
1507593745,4059,4059
1507636948,4049,4049
1507680180,4707,4707
1507723382,4712,4712
1507766581,4717,4717
1507809780,4717,4717
1507852965,4701,4701
1507896172,4690,4690
1507939369,4707,4707
1507982567,4708,4708
1508025770,4726,4726
1508068964,4731,4731
1508112171,4716,4716
1508155373,4716,4716
1508199443,4717,4717
1508243534,4711,4711
1508286739,4765,4765
1508329938,4739,4739
1508373140,4749,4749
1508416344,4748,4748
1508459504,4691,4691
1508502707,4684,4684
1508545945,6084,6084
1508589147,6064,6064
1508632346,6074,6074
1508675556,7270,7270
1508718748,7268,7268
1508761953,7261,7261
1508805156,8282,8282
1508848356,8297,8297
1508891552,6484,6484
1508934755,6483,6483
1508977958,7742,7742
1509021161,7745,7745
1509064347,8654,8654
1509107552,8661,8661
1509150746,8659,8659
1509193962,9492,9492
1509237165,9493,9493
1509280358,9495,9495
1509323559,9511,9511
1509366763,9503,9503
1509409962,10649,10649
1509453162,10663,10663
1509496379,11252,11252
1509539563,11266,11266
1509582778,12360,12360
1509625977,12333,12333
1509669182,13115,13115
1509712378,13062,13062
1509755568,12621,12621
1509798777,12615,12615
1509841977,13738,13738
1509885181,13090,13090
1509928369,13083,13083
1509971583,13791,13791
1510014793,12773,12773
1510057993,13609,13609
1510101185,13614,13614
1510144387,13611,13611
1510187596,12369,12369
1510230783,9392,9392
1510273986,8452,8452
1510317182,8453,8453
1510360386,8468,8468
1510403587,7642,7642
1510446787,7652,7652
1510489983,7650,7650
1510533193,7647,7647
1510576391,7646,7646
1510619588,6510,6510
1510662786,6512,6512
1510706001,4870,4870
1510749194,4855,4855
1510792393,3884,3884
1510835586,3870,3870
1510878791,3061,3061
1510921992,3059,3059
1510965191,3067,3067
1511008393,3066,3066
1511051595,3067,3067
1511094790,2509,2509
1511137989,2471,2471
1511181187,1802,1802
1511224391,1809,1809
1511267597,1813,1813
1511310793,1819,1819
1511353991,1866,1866
1511397196,1876,1876
1511440395,1870,1870
1511483605,1880,1880
1511526798,1876,1876
1511570001,1880,1880
1511613194,1880,1880
1511656397,1875,1875
1511699589,1883,1883
1511742803,1888,1888
1511785999,1877,1877
1511829198,1885,1885
1511872400,1878,1878
1511915600,1890,1890
1511958794,1892,1892
1512002000,1909,1909
1512045197,1890,1890
1512088406,1598,1598
1512131600,1603,1603
1512174793,1537,1537
1512218001,1535,1535
1512261201,1573,1573
1512304392,1574,1574
1512347600,1567,1567
1512390797,1574,1574
1512433996,1580,1580
1512477198,1582,1582
1512520409,1602,1602
1512563597,1633,1633
1512606814,1649,1649
1512649925,1643,1643
1512693127,1659,1659
1512736323,1659,1659
1512779520,1668,1668
1512822721,1668,1668
1512865930,1920,1920
1512909152,1912,1912
1512952408,1928,1928
1512995603,1908,1908
1513038808,1918,1918
1513082005,1910,1910
1513125199,1927,1927
1513169303,1930,1930
1513212505,1924,1924
1513255694,1913,1913
1513298907,1912,1912
1513342121,1907,1907
1513385316,1908,1908
1513428500,1911,1911
1513471706,1856,1856
1513514902,1846,1846
1513558104,1848,1848
1513601306,1837,1837
1513644495,1860,1860
1513687707,1859,1859
1513730905,1866,1866
1513774103,1876,1876
1513817304,1945,1945
1513860510,1925,1925
1513904639,1949,1949
1513947832,1942,1942
1513991027,2030,2030
1514034231,2031,2031
1514077429,2016,2016
1514120636,2012,2012
1514163833,2014,2014
1514207031,2017,2017
1514250230,2003,2003
1514293430,1999,1999
1514336626,2015,2015
