DateTime,AddedIPs,RemovedIPs
1522764122,14,54
1522764721,27,0
1522765323,8,27
1522766521,2,26
1522767721,8,20
1522768922,46,49
1522769522,17,0
1522770122,15,25
1522771922,13,16
1522772522,7,17
1522773121,19,0
1522774921,18,16
1522775521,14,0
1522776122,8,19
1522776722,19,38
1522777322,13,0
1522778522,14,38
1522779122,19,20
1522780322,42,14
1522780922,13,40
1522782121,9,23
1522782722,9,35
1522785121,4,75
1522786321,21,43
1522786921,12,61
1522787521,14,31
1522788122,12,0
1522788722,6,38
1522789322,11,20
1522789922,14,17
1522790521,20,0
1522791722,21,20
1522792922,40,68
1522793522,15,0
1522794121,21,3
1522794722,16,0
1522795322,24,0
1522796522,21,44
1522797721,19,0
1522798922,18,45
1522799521,6,17
1522800121,7,32
1522800721,8,0
1522801321,20,21
1522801922,22,13
1522802522,26,22
1522803122,22,12
1522803721,18,0
1522804322,30,5
1522804921,11,28
1522805522,1,30
1522806122,16,7
1522806722,21,0
1522807322,18,23
1522808521,19,0
1522809122,9,46
1522809721,15,1
1522810921,9,16
1522812121,12,11
1522812722,19,33
1522813321,14,72
1522814522,4,0
1522815122,9,32
1522815722,9,31
1522816922,24,61
1522817522,10,0
1522818121,13,13
1522818722,5,0
1522819322,22,0
1522820521,10,49
1522821122,12,23
1522822321,40,62
1522822921,5,21
1522823521,8,28
1522824122,6,0
1522824722,3,0
1522825322,21,13
1522825922,3,15
1522826521,17,0
1522827721,27,24
1522828921,15,69
1522829522,35,19
1522830121,24,0
1522830721,18,4
1522831322,11,53
1522831921,15,4
1522832522,17,0
1522833122,23,9
1522833721,16,34
1522834322,20,20
1522834922,12,12
1522836121,11,1
1522836722,19,0
1522837322,27,0
1522838522,8,14
1522839121,5,38
1522839721,22,77
1522840921,8,20
1522841521,13,6
1522842122,16,25
1522842721,12,9
1522843322,1,16
1522843922,29,0
1522844521,11,91
1522845721,6,9
1522846921,3,20
1522847521,16,13
1522848121,5,0
1522848721,8,16
1522849322,4,10
1522850522,13,45
1522851721,6,61
1522852921,28,8
1522854121,10,0
1522854721,14,20
1522857122,23,71
1522859522,9,26
1522860122,32,35
1522860721,5,0
1522861321,15,0
1522861922,10,16
1522862521,13,18
1522863721,9,15
1522864322,13,46
1522864922,4,0
1522866123,13,21
1522867322,16,36
1522867922,9,6
1522868521,8,0
1522869722,25,58
1522870922,8,0
1522872122,18,0
1522872722,18,14
1522873321,5,0
1522873921,24,52
1522874521,12,0
1522875122,19,9
1522875721,17,9
1522876322,13,0
1522877521,8,31
1522878722,21,27
1522879921,28,18
1522880522,21,9
1522883522,8,64
1522884722,8,12
1522886522,5,16
1522887121,42,80
1522887721,5,0
1522888921,7,48
1522889522,12,17
1522891921,8,39
1522892521,14,10
1522893122,16,33
1522893722,4,0
1522894322,5,11
1522894922,2,0
1522895522,25,19
1522896722,13,88
1522897321,51,0
1522898521,3,12
1522900321,31,23
1522901522,15,6
1522903321,19,68
1522904521,1,53
1522905121,21,0
1522905722,6,13
1522906921,14,0
1522908121,10,18
1522908721,12,51
1522909322,16,0
1522911122,13,98
1522911721,7,18
1522912322,16,0
1522912922,14,12
1522915321,21,24
1522915922,10,0
1522916521,18,43
1522917722,7,27
1522918323,11,25
1522918922,11,0
1522919521,11,35
1522920121,15,3
1522920722,13,7
1522921321,16,18
1522921921,8,0
1522922521,33,0
1522923121,13,0
1522923721,10,6
1522924321,19,10
1522924921,14,20
1522925522,10,0
1522926121,14,68
1522926722,11,0
1522927321,12,0
1522927922,16,17
1522928521,18,9
1522929722,11,18
1522930921,12,78
1522931522,4,43
1522932122,20,8
1522933922,25,7
1522934522,14,14
1522935722,18,68
1522936321,12,0
1522936921,17,34
1522937521,8,0
1522938121,12,0
1522939321,34,14
1522940521,5,39
1522941121,10,0
1522941722,10,12
1522942321,1,0
1522942922,12,0
1522943522,7,0
1522944122,12,23
1522945322,25,0
1522945921,18,0
1522946521,25,23
1522947121,3,5
1522947722,19,0
1522948322,7,23
1522948922,7,26
1522950122,5,15
1522950722,9,18
1522951321,11,0
1522952521,30,33
1522953121,4,5
1522953722,3,12
1522954921,12,121
1522955521,15,0
1522959122,11,124
1522960921,0,25
1522961521,0,10
1522963322,0,37
1522964521,0,4
1522965721,0,7
1522966921,0,46
1522969921,0,32
1522971722,0,8
1522972922,0,5
1522974122,9,56
1522974722,25,9
1522975321,11,0
1522975921,10,5
1522976521,9,9
1522977723,3,0
1522978922,9,10
1522979521,39,12
1522980121,9,15
1522980722,12,34
1522981322,10,16
1522982522,22,7
1522983721,8,10
1522984321,25,37
1522984922,20,1
1522986121,8,0
1522987321,33,22
1522987921,10,0
1522988521,9,37
1522989722,12,0
1522990322,13,8
1522990921,7,0
1522992121,7,43
1522992722,12,12
1522993322,18,0
1522994521,15,34
1522995722,7,16
1522996321,16,0
1522996922,13,0
1522997521,4,0
1522998122,27,13
1522998721,10,18
1522999322,7,19
1522999922,24,0
1523000521,21,0
1523001722,16,0
1523002921,11,15
1523003522,7,5
1523004121,10,0
1523004721,10,11
1523005322,13,20
1523005922,4,3
1523006521,4,6
1523007722,3,73
1523008322,17,2
1523008922,27,0
1523009522,17,30
1523010121,18,36
1523010722,20,0
1523011321,5,41
1523012522,2,16
1523013121,17,6
1523013721,6,30
1523014322,10,55
1523014921,12,0
1523015522,16,6
1523016121,12,1
1523017321,1,0
1523017921,4,10
1523018522,10,5
1523019122,7,0
1523019723,2,0
1523020322,42,37
1523020922,18,4
1523021521,6,0
1523022122,5,0
1523022723,8,12
1523023322,3,0
1523023922,4,38
1523024522,5,11
1523025121,24,2
1523025721,2,0
1523026321,7,24
1523026922,9,7
1523028121,9,7
1523028722,14,10
1523029321,11,0
1523029922,4,6
1523030521,8,21
1523031722,2,0
1523032321,15,51
1523032922,5,0
1523033521,6,9
1523034121,9,12
1523034722,4,33
1523035322,5,15
1523035922,18,0
1523036521,7,0
1523037122,5,9
1523038321,8,43
1523038922,10,1
1523039521,17,0
1523040122,7,3
1523040722,10,7
1523041321,6,0
1523041922,6,4
1523042522,11,10
1523043122,8,0
1523043722,5,0
1523044321,2,0
1523044921,15,0
1523045522,8,0
1523046123,10,0
1523046722,1,0
1523047922,11,0
1523048521,7,0
1523049121,6,0
1523049721,3,0
1523050322,13,0
1523050921,27,0
1523051522,10,0
1523052122,12,0
1523052721,3,0
1523053321,12,0
1523053922,5,0
1523055122,4,0
1523055721,7,0
1523056321,11,0
1523056921,8,0
1523057522,5,0
1523058122,3,0
1523059321,15,0
1523059921,2,5
1523060522,2,0
1523061122,7,0
1523061721,7,2
1523062922,10,19
1523063521,4,3
1523064122,5,3
1523064721,4,0
1523065322,6,0
1523065921,5,31
1523066522,1,0
1523067121,7,4
1523067722,15,77
1523068321,3,0
1523068922,14,0
1523069521,8,15
1523070122,4,0
1523070722,5,71
1523071322,5,0
1523071921,8,8
1523072522,5,0
1523073122,8,3
1523073721,5,22
1523074322,7,0
1523074922,1,0
1523075521,6,0
1523076121,2,68
1523076723,8,24
1523077321,2,6
1523078522,3,0
1523079121,11,2
1523079721,0,6
1523080322,5,19
1523080922,2,0
1523082121,6,6
1523082722,1,2
1523084522,7,6
1523085121,18,11
1523085722,10,0
1523086321,8,2
1523086922,12,31
1523087522,23,0
1523088122,4,1
1523090521,8,8
1523091121,3,2
1523091721,8,5
1523092922,1,2
1523094122,5,1
1523095321,8,72
1523096522,24,22
1523097122,4,2
1523097721,1,4
1523098921,8,8
1523100121,3,1
1523100721,8,11
1523101323,3,0
1523102522,0,11
1523103121,4,35
1523103721,3,2
1523104921,5,3
1523105522,6,24
1523106121,5,0
1523106722,8,1
1523107322,16,17
1523108522,2,49
1523109121,6,0
1523109721,7,10
1523110921,5,55
1523111521,2,1
1523112121,6,0
1523113321,6,43
1523113922,3,5
1523114522,2,0
1523115122,5,26
1523115721,3,9
1523116921,2,0
1523118122,4,0
1523119321,5,50
1523119922,13,0
1523120521,2,28
1523121122,0,21
1523121721,5,0
1523122922,6,13
1523124121,8,92
1523125321,15,26
1523125921,7,3
