DateTime,Entries,UniqueIPs
1433691116,652,18338560
1433853665,653,18340608
1434205029,654,18406144
1434205029,654,18406144
1434205029,654,18406144
1434205029,654,18406144
1434205029,654,18406144
1434205029,654,18406144
1434205029,654,18406144
1434436547,656,18471680
1434474818,656,18473472
1434537088,658,18547200
1434550850,659,18549248
1434550850,659,18549248
1434550850,659,18549248
1434704244,656,18548480
1434720878,655,18547456
1434920445,656,18555648
1434996194,657,18556672
1435207636,658,18573056
1435245428,659,18574080
1435899172,659,18570240
1435966271,660,18571264
1436391594,661,18579456
1436444125,662,18644992
1436510415,665,18648064
1436574406,679,18599936
1436806614,681,18669568
1436964586,683,19783680
1437251964,683,20897536
1437339895,668,21073664
1437396031,669,21073920
1437411138,670,21075200
1437453059,671,21076224
1437575344,667,21095680
1437853246,667,21160192
1438108717,666,21143808
1438126204,667,21147904
1438160488,668,21213440
1438276833,666,21143808
1438365429,667,21144832
1438413200,669,21145344
1438431789,669,21146880
1438521269,672,21156096
1438648092,670,21090816
1438980788,668,21025024
1439074091,670,21156096
1439148562,670,21156096
1439148562,670,21156096
1439148562,670,21156096
1439196977,673,21229824
1439196977,673,21229824
1439585020,674,21238016
1439592096,674,21238016
1439815563,673,21171712
1439921715,672,21167872
1439974018,674,21168384
1439974018,674,21168384
1440167976,673,21167360
1440198543,674,21183744
1440281364,671,21173248
1440360976,672,21238784
1440370762,673,21304320
1440455731,674,21305344
1440569425,674,21305344
1440690194,677,21501952
1440710277,678,21567488
1440834857,679,21633024
1440963973,678,21632768
1441113555,679,21633792
1441294594,684,22027008
1441313811,688,22289152
1441355600,692,22551296
1441403340,694,22682368
1441447011,695,22686464
1441476490,696,22752000
1441653740,695,22816768
1441738261,694,22816256
1441805921,696,22882816
1442234046,697,22948352
1442392665,701,22950400
1442517988,701,23015680
1442569190,702,23016704
1442600017,704,23053568
1442654760,707,23121152
1442697298,709,23187200
1442770276,710,23252736
1442910045,709,23260416
1442943458,711,23391488
1442956529,712,23392512
1443009979,713,23397120
1443027869,714,23398144
1443083850,713,23397120
1443118635,715,23403264
1443183595,716,23468800
1443202527,717,23534336
1443702267,715,23628032
1443777814,716,23628288
1443902388,716,23693824
1444133166,713,23625216
1444209863,713,23629056
1444227482,714,23694592
1444341986,716,23696640
1444527527,715,23631104
1444727542,715,23696384
1444823355,712,23957248
1445808345,709,23760640
1445864718,711,23762688
1445980570,712,40539904
1446118660,685,22608384
1446460435,684,22584576
1446477186,683,22583552
1446847242,683,22522112
1447222619,681,22521344
1447569755,678,22515968
1448082161,676,22515200
1448194514,677,22531584
1448219755,682,22536704
1448537238,681,22535680
1448661867,682,22535936
1448703832,683,22536192
1449060682,684,22544384
1449476034,682,22539264
1449748403,683,22572032
1451913576,683,22568192
1452004371,686,22573056
1452104256,695,22642688
1452205559,695,22638592
1452763517,692,22564864
1452829605,693,22573056
1452865368,695,22573824
1453208548,696,22574848
1453285635,694,23616768
1453296637,695,23617792
1453540290,696,23618048
1453563042,697,23619072
1453596782,697,23619072
1453715834,698,23620096
1453881278,697,23616000
1453891934,721,23625216
1453980001,721,23395840
1454074338,723,23404032
1454133300,724,23405056
1454287320,726,23407104
1454320829,732,23414528
1454359524,734,23398144
1454505440,735,23399168
1454936480,732,23426816
1455448206,725,23421184
1455581768,726,23423232
1455638025,731,23587328
1455732670,735,23594496
1455890620,735,23529984
1456162311,735,23529984
1456543622,738,23728640
1456619217,739,23729664
1456654546,744,24057344
1456792920,737,24079104
1456836123,737,24177408
1456863460,739,24185600
1456933687,740,24187648
1457051556,740,24186624
1457176833,746,24192768
1457327121,747,24193792
1457621052,748,24234752
1457782305,750,24235264
1457823723,751,24236288
1457972599,745,24228608
1458003462,746,24244992
1458051875,746,23851520
1458170020,745,23785984
1458253278,751,23807488
1458324296,752,23807744
1458553854,754,23816960
1458921237,758,23556608
1459248926,752,23438848
1459289513,753,23439872
1459334883,749,23239168
1459415128,755,23341568
1459877628,756,23338752
1460037051,757,23339776
1460057072,758,23337728
1460237006,760,23489280
1460332232,761,23495424
1460398777,760,23429888
1460696425,760,23299840
1460905256,760,23284480
1461318859,764,23286016
1461437619,761,23285504
1461701961,759,23281152
1461905418,758,23279104
1462196305,769,23236608
1462229589,770,23237632
1462295235,771,23238656
1462453496,773,23046144
1462666920,769,23041024
1462683753,770,23106560
1462749793,771,23108608
1462864241,770,23043072
1463074452,772,22979584
1463147358,772,22918144
1463168999,773,22918400
1463287338,774,22919424
1463309127,775,22984960
1463956328,774,22984704
1464197319,769,22898944
1464273981,769,22898944
1464401308,770,22899968
1464466200,772,22908160
1464575760,771,22904064
1464823372,763,22892544
1464841086,764,22893568
1464866593,765,22901760
1465046810,766,22905856
1465241933,764,22889216
1465308149,768,22910720
1465601750,764,22836736
1465912639,760,22768128
1465981485,761,22833664
1466001279,760,22832640
1466048809,758,22830592
1466512240,758,22830592
