DateTime,Entries,UniqueIPs
1505734252,3076,3076
1505751345,3077,3077
1505772049,3078,3078
1505796355,3079,3079
1505805355,3080,3080
1505849448,3081,3081
1505893559,3082,3082
1505904358,3083,3083
1505912452,3084,3084
1505936752,3085,3085
1505939448,3087,3087
1505945749,3088,3088
1505947546,3090,3090
1505962855,3091,3091
1505964654,3092,3092
1505979051,3093,3093
1505984459,3094,3094
1506000660,3095,3095
1506007851,3096,3096
1506027650,3097,3097
1506029451,3099,3099
1506084350,3100,3100
1506093355,3101,3101
1506153658,3102,3102
1506156351,3104,3104
1506183347,3105,3105
1506189648,3108,3108
1506199547,3110,3110
1506237350,3111,3111
1506243652,3112,3112
1506318346,3113,3113
1506352552,3114,3114
1506354354,3115,3115
1506357953,3116,3116
1506423651,3119,3119
1506516345,3120,3120
1506531653,3121,3121
1506537050,3122,3122
1506540648,3123,3123
1506553263,3124,3124
1506565859,3125,3125
1506594660,3126,3126
1506601851,3128,3128
1506607255,3129,3129
1506618058,3130,3130
1506672056,3132,3132
1506676573,3133,3133
1506682887,3134,3134
1506686452,3136,3136
1506782760,3137,3137
1506804351,3138,3138
1506840356,3139,3139
1506843952,3140,3140
1506850265,3141,3141
1506929454,3142,3142
1506933053,3143,3143
1506933952,3144,3144
1506974448,3145,3145
1506977147,3146,3146
1507109451,3148,3148
1507126556,3149,3149
1507178756,3150,3150
1507198543,3151,3151
1507200368,3154,3154
1507215678,3158,3158
1507223754,3159,3159
1507267854,3160,3160
1507275952,3161,3161
1507297573,3165,3165
1507302959,3166,3166
1507315559,3167,3167
1507329958,3168,3168
1507340751,3169,3169
1507346171,3170,3170
1507363261,3171,3171
1507376750,3173,3173
1507379450,3174,3174
1507380351,3175,3175
1507381255,3177,3177
1507383047,3179,3179
1507386699,3180,3180
1507388455,3183,3183
1507414556,3184,3184
1507520753,3185,3185
1507534251,3187,3187
1507535158,3189,3189
1507551358,3190,3190
1507556766,3189,3189
1507557661,3191,3191
1507887210,3193,3193
1508054458,3195,3195
1508155272,3196,3196
1508248861,3198,3198
1508255147,3199,3199
1508332560,3200,3200
1508360461,3202,3202
1508425252,3204,3204
1508473858,3205,3205
1508497261,3207,3207
1508501754,3208,3208
1508509853,3209,3209
1508574654,3212,3212
1508577359,3213,3213
1508587261,3214,3214
1508724056,3215,3215
1508748363,3216,3216
1508831148,3217,3217
1508852757,3218,3218
1508855459,3220,3220
1508857267,3221,3221
1508909455,3222,3222
1508942756,3223,3223
1509100251,3225,3225
1509102065,3226,3226
1509104760,3227,3227
1509111959,3229,3229
1509115550,3230,3230
1509190253,3231,3231
1509215454,3232,3232
1509219054,3235,3235
1509270357,3240,3240
1509277555,3241,3241
1509322558,3242,3242
1509335155,3243,3243
1509350456,3246,3246
1509365755,3247,3247
1509379262,3248,3248
1509445859,3249,3249
1509448567,3250,3250
1509540357,3251,3251
1509543951,3252,3252
1509549360,3254,3254
1509570065,3255,3255
1509599754,3256,3256
1509624904,3257,3257
1509691556,3258,3258
1509709563,3261,3261
1509712258,3262,3262
1509795954,3263,3263
1509796858,3266,3266
1509835551,3267,3267
1509877862,3269,3269
1509879662,3271,3271
1509901258,3272,3272
1509907549,3273,3273
1509927352,3274,3274
1509961558,3275,3275
1510043464,3276,3276
1510065003,3277,3277
1510065955,3278,3278
1510070450,3279,3279
1510093852,3280,3280
1510105558,3281,3281
1510128961,3282,3282
1510151458,3283,3283
1510217148,3284,3284
1510294561,3285,3285
1510326054,3286,3286
1510330552,3287,3287
1510356651,3288,3288
1510429504,3289,3289
1510440363,3290,3290
1510473659,3291,3291
1510494357,3292,3292
1510690558,3293,3293
1510723856,3294,3294
1510735556,3296,3296
1510736462,3299,3299
1510760752,3300,3300
1510775154,3301,3301
1510821062,3303,3303
1510845303,3304,3304
1511296254,3305,3305
1511297147,3306,3306
1511301603,3307,3307
1511342181,3308,3308
1511365549,3309,3309
1511392560,3310,3310
1511395249,3311,3311
1511424964,3312,3312
1511426768,3313,3313
1511542853,3314,3314
1511724658,3315,3315
1511747155,3316,3316
1511785861,3317,3317
1511825456,3318,3318
1511867759,3319,3319
1511881263,3320,3320
1511922651,3321,3321
1512067561,3322,3322
1512298870,3325,3325
1512312357,3326,3326
1512378065,3327,3327
1512404162,3328,3328
1512428453,3329,3329
1512455466,3330,3330
1512487868,3331,3331
1512524762,3332,3332
1512530154,3333,3333
1512542753,3334,3334
1512579653,3335,3335
1512602162,3341,3341
1512636366,3342,3342
1512662482,3343,3343
1512675979,3345,3345
1512683102,3346,3346
1512721872,3347,3347
1512730878,3351,3351
1512740769,3352,3352
1512922574,3354,3354
1512933360,3359,3359
1512934276,3360,3360
1512945974,3363,3363
1512959472,3364,3364
1512986464,3365,3365
1513020676,3367,3367
1513021568,3368,3368
1513094485,3369,3369
1513152066,3370,3370
1513159274,3372,3372
1513168203,3375,3375
1513171837,0,0
1513173603,3375,3375
1513176357,3376,3376
1513183552,3377,3377
1513251963,3379,3379
1513264569,3380,3380
1513288865,3381,3381
1513326667,3383,3383
1513329371,3385,3385
1513350055,3386,3386
1513350957,3387,3387
1513445461,3388,3388
1513450863,3389,3389
1513459863,3390,3390
1513464357,3391,3391
1513468864,3392,3392
1513510259,3395,3395
1513515671,3399,3399
1513553470,3400,3400
1513556153,3401,3401
1513591257,3402,3402
1513599356,3403,3403
1513601154,3405,3405
1513614671,3407,3407
1513633572,3408,3408
1513656961,3409,3409
1513683076,3410,3410
1513782067,3411,3411
1513789286,3412,3412
1513838772,3413,3413
1513850403,3414,3414
1513925166,3416,3416
1514023265,3417,3417
1514113203,3418,3418
1514116880,3421,3421
1514118674,3424,3424
1514190676,3425,3425
1514201465,3427,3427
1514473280,3429,3429
1514623588,3430,3430
1514727068,3431,3431
1514897156,0,0
1514899863,3431,3431
1514901661,0,0
1514903403,3431,3431
1514904415,3432,3432
1514988076,3433,3433
1514992573,3435,3435
1514994372,3436,3436
1515058275,3437,3437
1515096003,3438,3438
1515240070,3439,3439
1515717073,3440,3440
1515755781,3441,3441
1515776473,3442,3442
1515789960,3443,3443
1515872773,3444,3444
1516014964,3445,3445
1516022174,3447,3447
1516023083,3450,3450
1516026670,3451,3451
1516027579,3452,3452
1516093267,3453,3453
1516108578,3454,3454
1516110382,3455,3455
1516135563,3456,3456
1516166165,3457,3457
1516171578,3458,3458
1516175172,3459,3459
1516176966,3460,3460
1516185062,3461,3461
1516191383,3462,3462
1516192275,3463,3463
1516197679,3464,3464
1516248976,3465,3465
1516256178,3466,3466
1516266981,3467,3467
1516272374,3468,3468
1516279578,3473,3473
1516294872,3474,3474
1516303865,3475,3475
1516305668,3476,3476
1516320976,3477,3477
1516352473,3478,3478
1516356075,3479,3479
1516357871,3480,3480
1516373183,3483,3483
1516374974,3490,3490
1516375879,3491,3491
1516431676,3492,3492
1516445169,3493,3493
1516454171,3494,3494
1516459577,3495,3495
1516464071,3496,3496
1516488367,3497,3497
1516509968,3498,3498
1516696272,3499,3499
1516798893,3500,3500
1516805168,3501,3501
1516806983,3502,3502
1516811475,3503,3503
1516836670,3504,3504
1516856471,3505,3505
1516861875,3506,3506
1516893370,3507,3507
1516898776,3509,3509
