DateTime,AddedIPs,RemovedIPs
1522496523,4,0
1522497722,2,1
1522498322,0,3
1522500121,0,3
1522502521,0,4
1522503121,0,4
1522504322,0,2
1522504921,0,1
1522505522,1,0
1522506121,2,1
1522507321,8,0
1522507922,1,0
1522509121,0,1
1522510321,0,2
1522510921,0,1
1522512121,2,6
1522512722,2,0
1522513922,0,1
1522515121,0,4
1522515722,1,6
1522516322,1,0
1522516921,0,2
1522517522,3,0
1522519322,0,1
1522521122,3,1
1522522921,0,9
1522524722,0,4
1522525321,0,1
1522525922,7,0
1522526521,2,5
1522527121,1,0
1522528921,1,4
1522530723,5,2
1522531321,3,4
1522532522,3,1
1522534922,0,1
1522537322,1,2
1522541522,4,0
1522546921,1,0
1522548122,0,1
1522548722,3,1
1522550522,0,3
1522552322,3,0
1522552921,1,0
1522554121,1,0
1522555322,0,1
1522556522,2,6
1522558321,0,3
1522560122,2,0
1522560721,2,0
1522561321,1,3
1522562522,0,1
1522564921,0,1
1522565522,0,1
1522566121,0,3
1522567321,0,2
1522569121,0,3
1522569721,1,1
1522570922,0,10
1522573322,2,2
1522573921,0,1
1522575721,0,5
1522576322,0,3
1522576921,1,1
1522578122,0,1
1522578722,1,0
1522580521,0,1
1522581721,0,1
1522582922,7,3
1522584121,1,0
1522584721,0,3
1522585322,0,1
1522587722,5,0
1522588922,4,22
1522592521,3,0
1522593122,1,1
1522593722,1,2
1522594922,0,13
1522595522,0,5
1522596122,1,0
1522597321,1,2
1522598522,4,1
1522600922,1,4
1522601521,1,0
1522602722,0,2
1522604521,0,1
1522605121,0,1
1522606322,2,0
1522606921,0,5
1522607521,5,0
1522609322,1,1
1522610522,0,2
1522611121,4,3
1522611721,1,0
1522612321,1,1
1522612922,1,0
1522614122,0,7
1522617121,2,10
1522621322,1,0
1522622521,0,9
1522623721,2,2
1522624922,1,1
1522628521,0,8
1522629721,0,2
1522631521,0,3
1522632121,1,0
1522633321,3,0
1522634521,0,4
1522635721,0,1
1522636322,6,0
1522636921,5,3
1522638121,1,0
1522641121,1,0
1522642321,0,24
1522642921,0,1
1522645321,1,1
1522645922,1,0
1522648921,6,2
1522650121,0,5
1522651322,0,1
1522652522,9,0
1522653722,1,4
1522656122,2,0
1522657322,3,1
1522659121,0,3
1522660921,6,13
1522661522,2,3
1522663321,2,4
1522664521,0,6
1522665722,0,1
1522666321,1,0
1522668122,0,1
1522669322,3,5
1522669921,3,1
1522670522,0,2
1522672921,0,9
1522673523,1,4
1522674122,2,0
1522675321,0,1
1522675921,0,6
1522678321,2,0
1522678921,2,9
1522680122,1,0
1522681321,0,4
1522683721,0,1
1522684922,0,5
1522687321,0,2
1522689121,2,1
1522689722,0,5
1522690922,1,0
1522692122,0,1
1522692722,0,2
1522693322,2,0
1522695721,2,0
1522697521,0,3
1522699322,0,1
1522700522,2,5
1522701721,0,1
1522702321,0,3
1522702921,0,1
1522704121,0,4
1522705922,6,0
1522707722,1,0
1522710121,0,1
1522711321,0,6
1522712521,4,0
1522713721,1,1
1522714922,1,3
1522717322,0,1
1522717921,4,9
1522718522,1,0
1522720921,0,1
1522722121,1,5
1522722721,0,1
1522723322,1,1
1522726922,2,0
1522728122,0,1
1522729321,0,4
1522729922,0,1
1522730522,3,0
1522731121,1,0
1522731721,0,1
1522732921,0,4
1522734722,3,0
1522738322,0,1
1522739521,4,0
1522741321,0,1
1522742521,0,2
1522743721,8,0
1522746121,0,6
1522747322,1,0
1522748521,1,0
1522749721,0,1
1522752121,0,11
1522752721,1,0
1522753922,0,1
1522754521,0,2
1522755722,1,0
1522756322,3,0
1522757522,3,1
1522760522,0,2
1522761122,3,0
1522761722,0,1
1522765323,0,2
1522766521,0,3
1522767721,0,2
1522771922,3,4
1522772521,1,0
1522776122,0,1
1522777322,3,1
1522779122,0,1
1522781522,0,5
1522782121,0,4
1522782722,1,0
1522785121,0,2
1522789922,7,7
1522794722,0,1
1522795322,2,1
1522796521,0,1
1522797721,1,0
1522798922,1,0
1522801922,2,0
1522803122,1,0
1522805522,2,4
1522806122,1,0
1522807322,0,2
1522809122,0,2
1522810921,0,2
1522812121,0,1
1522812722,0,1
1522813321,5,0
1522813922,2,0
1522814522,0,3
1522815122,0,1
1522816922,1,0
1522818121,2,4
1522820521,0,3
1522822321,1,0
1522824122,0,2
1522825322,2,0
1522825922,1,3
1522826521,0,1
1522827721,0,7
1522828921,1,0
1522830121,4,0
1522830721,0,1
1522831322,1,0
1522831921,0,1
1522833122,0,2
1522833721,0,1
1522834322,9,0
1522834922,1,1
1522836121,1,2
1522836722,0,1
1522837322,0,2
1522839121,1,0
1522840921,0,4
1522842122,3,0
1522845721,0,9
1522846921,1,0
1522848121,0,2
1522850522,0,2
1522851721,0,1
1522852921,1,2
1522857122,0,11
1522859522,6,5
1522861321,0,3
1522864322,2,0
1522864922,1,4
1522866123,2,0
1522867322,0,2
1522868521,0,2
1522870922,7,2
1522872122,1,0
1522872722,0,7
1522873921,0,4
1522875721,0,5
1522877521,0,2
1522878722,0,3
1522879921,2,0
1522882921,0,11
1522884721,9,4
1522886522,3,1
1522888921,0,1
1522891921,6,3
1522893122,0,1
1522893722,3,0
1522894922,4,2
1522897321,0,3
1522898521,8,0
1522900321,3,7
1522901522,0,2
1522903321,1,3
1522904521,1,1
1522905722,0,4
1522906921,0,1
1522908121,2,2
1522908721,1,3
1522909322,1,0
1522911122,0,3
1522911721,0,4
1522915321,3,0
1522915922,0,2
1522916521,0,1
1522918323,2,2
1522918921,3,0
1522920121,1,2
1522922521,0,1
1522925522,0,2
1522926121,18,1
1522929722,1,0
1522930321,3,0
1522932122,3,0
1522935122,0,3
1522935722,5,0
1522936921,1,2
1522939321,0,3
1522941722,3,3
1522942922,1,0
1522945322,0,1
1522946521,1,0
1522948322,0,1
1522950121,2,8
1522951921,0,1
1522953722,3,2
1522954322,4,0
1522954921,1,0
1522959122,0,2
1522960921,0,1
1522962721,0,3
1522964521,0,4
1522965721,0,5
1522966321,0,1
1522966921,0,2
1522969322,0,2
1522969921,0,1
1522971122,0,6
1522972922,0,3
1522975321,0,7
1522975921,0,2
1522977723,5,0
1522978322,0,1
1522978922,1,1
1522981322,6,0
1522982522,3,2
1522985521,3,0
1522987321,0,1
1522987921,0,1
1522988521,0,6
1522989722,2,2
1522990921,0,11
1522993322,0,1
1522994521,2,6
1522996922,5,2
1522998121,1,3
1522998721,1,0
1522999322,0,9
1523001722,12,0
1523002921,3,1
1523003522,0,3
1523005322,2,4
1523006521,0,4
1523007722,0,2
1523008322,1,0
1523008922,7,0
1523010121,9,1
1523010721,0,2
1523011321,3,0
1523014921,9,0
1523015522,1,0
1523017321,3,6
1523017921,0,10
1523018522,2,5
1523019122,4,0
1523019723,0,1
1523021521,0,1
1523023322,3,0
1523024521,1,0
1523025721,1,0
1523026321,0,3
1523026922,2,0
1523028121,1,0
1523031122,2,0
1523031722,50,2
1523032321,13,0
1523032922,9,0
1523033521,13,1
1523034121,2,2
1523034721,1,0
1523035322,7,0
1523035922,15,0
1523036521,3,0
1523037122,15,3
1523037722,2,5
1523038321,2,2
1523038922,1,0
1523040722,0,2
1523042522,1,0
1523043122,1,4
1523044321,0,1
1523046123,3,0
1523046721,1,0
1523047922,0,5
1523049121,0,1
1523049721,0,7
1523050921,0,5
1523052122,1,0
1523052721,1,0
1523053321,0,1
1523055121,0,1
1523055721,0,8
1523057522,15,0
1523058121,12,2
1523058722,12,1
1523059321,6,0
1523059921,6,1
1523060522,4,20
1523061721,3,0
1523062922,6,5
1523063521,3,6
1523064721,0,5
1523065322,1,0
1523065921,0,8
1523066522,1,0
1523067121,4,8
1523067722,1,4
1523069521,2,0
1523070122,3,0
1523070722,0,2
1523071322,0,5
1523073721,5,2
1523074922,0,7
1523077321,1,0
1523078522,0,1
1523080322,0,1
1523082121,2,1
1523082722,0,1
1523084522,4,1
1523085121,0,8
1523086921,0,4
1523089322,3,3
1523090521,2,0
1523091721,0,4
1523092922,0,3
1523093521,2,0
1523094121,0,3
1523094721,0,4
1523097721,0,3
1523098921,0,2
1523099521,0,2
1523100721,0,1
1523101323,7,0
1523105522,0,3
1523106121,3,2
1523110921,1,2
1523112121,0,3
1523115721,2,0
1523116921,1,6
1523121122,11,0
1523121721,0,1
1523122922,1,1
1523124121,1,3
1523125321,0,1
1523126522,3,4
1523127721,3,8
1523128921,1,3
1523130121,1,0
1523130721,0,4
1523131922,0,1
1523132521,2,0
1523133721,0,3
1523134921,1,1
1523135522,0,13
1523136121,1,0
1523136722,0,2
1523138522,6,0
1523139722,0,9
1523140921,2,0
1523142121,1,6
1523143321,0,1
1523144522,4,0
1523145121,0,7
1523146922,0,1
1523148121,0,3
1523148721,0,1
1523149322,3,0
1523149922,1,4
1523150521,0,1
1523152923,5,4
1523153522,2,0
1523155321,0,3
1523155922,1,6
1523157721,6,7
1523159522,0,4
1523160121,1,2
1523160722,1,0
1523161322,1,1
1523162522,0,6
1523163722,0,1
1523164922,3,3
