DateTime,AddedIPs,RemovedIPs
1521351902,55,0
1521355502,70,0
1521359102,61,0
1521362702,88,0
1521366302,73,0
1521369902,88,0
1521373502,100,0
1521377102,123,0
1521380702,151,0
1521384302,88,0
1521387902,111,0
1521391502,88,0
1521395102,124,0
1521398702,155,0
1521402302,158,0
1521405902,96,0
1521409502,88,0
1521414002,111,0
1521417602,69,4090
1521421202,108,0
1521424803,99,0
1521428403,144,0
1521432002,96,0
1521435603,103,0
1521439202,101,0
1521442802,207,0
1521446402,107,0
1521450002,157,1
1521453602,113,0
1521457202,232,0
1521460802,282,0
1521464402,170,0
1521468002,380,0
1521471602,92,0
1521475202,158,0
1521478802,158,0
1521482402,89,0
1521486003,86,0
1521490502,116,0
1521494101,92,0
1521497702,65,0
1521501302,127,0
1521504902,72,2432
1521508502,83,0
1521512102,130,0
1521515702,190,0
1521519302,113,1
1521522902,102,0
1521526502,81,0
1521530101,110,0
1521533702,117,0
1521537302,128,0
1521540902,140,0
1521544502,120,0
1521548102,111,0
1521551702,139,0
1521555302,125,0
1521558902,117,0
1521562502,109,0
1521566102,90,0
1521569702,73,0
1521573302,87,0
1521576902,144,0
1521580502,73,0
1521584102,68,0
1521587702,58,0
1521591302,59,3269
1521594902,89,0
1521598502,70,0
1521602102,94,0
1521605702,181,0
1521609302,113,0
1521612902,105,0
1521616502,316,0
1521620102,826,0
1521623702,260,0
1521627302,117,0
1521630902,132,0
1521634502,152,0
1521638102,77,0
1521641702,248,0
1521645301,123,0
1521648902,161,0
1521652502,72,0
1521656102,65,0
1521659702,79,0
1521663302,85,0
1521666902,87,0
1521670502,41,0
1521674102,50,0
1521677702,51,2571
1521681302,119,0
1521684902,159,0
1521688502,145,0
1521692102,207,0
1521695702,81,0
1521699302,78,0
1521702902,91,0
1521706502,129,0
1521710102,113,0
1521713702,88,0
1521717302,100,0
1521720902,163,0
1521724502,415,0
1521728102,118,0
1521731702,103,0
1521735302,107,0
1521738902,72,0
1521742502,66,0
1521746103,95,0
1521749702,74,0
1521753302,74,0
1521756902,110,0
1521760502,61,0
1521764102,68,3554
1521767702,162,0
1521771302,127,0
1521774902,96,0
1521778502,71,0
1521782102,88,0
1521785702,91,0
1521789301,283,0
1521792902,452,0
1521796502,114,0
1521800102,415,0
1521803702,219,0
1521807302,164,0
1521810902,111,0
1521814502,296,0
1521818102,117,0
1521821701,66,0
1521825302,94,0
1521828902,65,0
1521832502,74,0
1521836102,65,0
1521839702,50,0
