DateTime,Entries,UniqueIPs
1479829810,20188,20188
1479916210,19756,19756
1480002610,19762,19762
1480089010,19396,19396
1480175411,19307,19307
1480261811,19306,19306
1480348212,19344,19344
1480434613,19533,19533
1480506615,19131,19131
1480679415,19912,19912
1480765819,20148,20148
1480852217,20085,20085
1480938618,20534,20534
1481025020,20719,20719
1481111420,21079,21079
1481197820,21088,21088
1481284221,20893,20893
1481370622,20808,20808
1481457021,20464,20464
1481543421,20274,20274
1481629821,19791,19791
1481716221,19545,19545
1481802622,19321,19321
1481889020,19023,19023
1481975420,18342,18342
1482061820,17710,17710
1482148220,17547,17547
1482234620,18049,18049
1482321021,17856,17856
1482407420,17794,17794
1482493821,18002,18002
1482580222,17848,17848
1482666621,17848,17848
1482753023,17895,17895
1482839422,17548,17548
1482925823,17325,17325
1483012222,17098,17098
1483098622,17557,17557
1483185022,17582,17582
1483271423,17674,17674
1483357823,18025,18025
1483444223,18942,18942
1483530623,19431,19431
1483617024,20183,20183
1483703425,20167,20167
1483789825,20203,20203
1483876225,20181,20181
1483962626,20706,20706
1484049025,20950,20950
1484135427,20972,20972
1484221827,20678,20678
1484308227,20411,20411
1484394628,20366,20366
1484481029,20449,20449
1484567430,21185,21185
1484653830,21137,21137
1484740231,21440,21440
1484826631,21451,21451
1484913032,21352,21352
1484995831,21227,21227
1485078613,20952,20952
1485102908,20957,20957
1485189907,21812,21812
1485320408,20013,20013
1485406808,19442,19442
1485493208,18588,18588
1485579608,18280,18280
1485666008,18384,18384
1485752408,19171,19171
1485838810,19463,19463
1485926108,19087,19087
1486012510,19390,19390
1486098910,19480,19480
1486185309,19769,19769
1486272611,19853,19853
1486359011,19200,19200
1486445412,18569,18569
1486531811,18684,18684
1486618212,18393,18393
1486704613,18346,18346
1486791013,18118,18118
1486877412,17890,17890
1486963813,17786,17786
1487050214,17973,17973
1487136614,17603,17603
1487223014,17781,17781
1487309414,17731,17731
1487395815,18153,18153
1487482215,18204,18204
1487568616,18369,18369
1487655006,18157,18157
1487741408,18199,18199
1487827806,18154,18154
1487914207,18269,18269
1488000607,18417,18417
1488087008,18725,18725
1488173407,19079,19079
1488259808,19336,19336
1488346208,20108,20108
1488432609,20857,20857
1488519010,21490,21490
1488605410,21739,21739
1488691809,21772,21772
1488778210,22240,22240
1488864610,22259,22259
1488951006,21774,21774
1489037406,21448,21448
1489123807,20835,20835
1489210207,20780,20780
1489296607,19960,19960
1489383007,19732,19732
