DateTime,AddedIPs,RemovedIPs
1478437211,1388,1617
1478523612,1274,1693
1478610011,1441,1621
1478696412,1371,1269
1478782812,1315,1525
1478869212,1354,1258
1478955612,1219,1487
1479042011,1467,1422
1479128411,1564,1518
1479214811,1555,1559
1479301211,1629,1561
1479387611,1464,1513
1479474011,1664,1474
1479560411,1330,1196
1479646810,1260,1368
1479733210,1581,1612
1479819610,1512,1719
1479906009,1656,1586
1479992410,1435,3341
1480078809,1602,1569
1480165210,1396,1627
1480251610,1403,1394
1480338010,1397,1790
1480424410,1810,1539
1480467610,790,725
1480640412,3632,2629
1480726812,1685,1329
1480813212,1743,1222
1480899613,1488,1557
1480986013,1798,1553
1481072414,1921,1448
1481158814,1783,1404
1481245215,1545,1382
1481331615,1662,1361
1481418015,1480,1234
1481504416,1287,1370
1481590816,1333,1282
1481677216,1521,1343
1481763617,1721,1590
1481850017,1498,1330
1481936417,1304,1230
1482022817,1172,1337
1482109218,1126,1253
1482195618,1551,1315
1482282019,1696,2023
1482368419,1656,1296
1482454819,1446,1315
1482541219,1372,1186
1482627620,1223,1268
1482714020,1028,1545
1482800421,1102,1480
1482886821,1513,1515
1482973221,1389,1513
1483059621,1836,1400
1483146021,1448,1377
1483232424,1295,1278
1483318823,1129,1612
1483405224,1575,1619
1483491624,1596,1554
1483578025,1942,1325
1483664425,1842,1419
1483750826,1617,1226
1483837226,1454,1146
1483923626,1221,1494
1484010027,1685,1381
1484096427,1639,1210
1484182828,1726,1299
1484269227,1781,1295
1484355629,1471,1243
1484442029,1534,1211
1484528429,1298,1626
1484614830,1821,1579
1484701229,1669,1304
1484787629,1851,1478
1484874030,1975,1552
1484960430,1524,1382
1485046815,1503,1234
1485252367,3433,3828
1486051269,14117,12346
1486832423,12879,12141
1486918823,1369,1579
1487005224,1535,1514
1487091624,1653,1477
1487178025,1546,1524
1487264425,1677,1656
1487350825,1662,1330
1487437226,1459,1186
1487523627,1234,1527
1487610016,1549,1691
1487696418,1440,1497
1487782817,1479,1488
1487869217,1539,1364
1487955617,1718,1391
1488042018,1650,1619
1488128419,1678,1447
1488214818,1701,1702
1488301219,2150,1191
1488387618,2073,2039
1488474020,2203,1770
1488560421,1998,1578
1488646820,2023,1438
1488733220,1696,1789
1488819621,1850,1744
1488906022,1966,1829
1488992416,1685,1582
1489078816,1857,1700
1489165218,1647,1509
1489251617,1414,1330
1489338018,1426,1449
1489424418,1466,1393
1489510818,1679,1642
1489597218,1543,1620
1489683618,2095,1305
1489770019,1953,1218
1489856419,1587,1328
