DateTime,AddedIPs,RemovedIPs
1474200546,271,302
1474287658,243,345
1474374767,225,416
1474461883,256,409
1474549018,232,435
1474636124,237,330
1474723249,241,267
1474810374,318,207
1474897488,216,263
1474984608,276,227
1475071740,259,193
1475159094,265,173
1475246220,239,206
1475333326,292,153
1475420500,272,101
1475507574,175,216
1475594943,220,265
1475682041,244,187
1475769155,205,200
1475856275,262,187
1475943887,466,207
1476031243,351,243
1476118628,347,214
1476205960,238,292
1476293088,229,229
1476380183,246,135
1476467308,358,185
1476554470,317,252
1476641538,313,300
1476728660,251,262
1476815793,243,247
1476903011,237,284
1476990071,207,219
1477077166,215,264
1477164273,287,235
1477251402,316,205
1477338506,247,275
1477425677,272,295
1477512873,243,212
1477600101,312,271
1477687228,338,299
1477774351,335,261
1477861480,347,247
1477948619,366,259
1478035701,493,282
1478122846,408,184
1478209950,337,224
1478297073,318,250
1478384442,399,213
1478471552,440,241
1478558657,280,466
1478645797,274,349
1478732912,307,343
1478820027,347,227
1478907147,326,245
1478994263,353,345
1479081388,382,257
1479168511,278,318
1479255620,227,305
1479342753,300,259
1479429860,278,235
1479517000,321,203
1479604122,266,230
1479691238,261,237
1479778354,243,282
1479865463,228,321
1479952596,253,245
1480039705,311,263
1480126829,300,277
1480213960,293,294
1480301321,311,345
1480388486,249,340
1480475555,449,339
1480562677,334,406
1480649822,337,489
1480736921,361,382
1480824111,427,334
1480911171,354,333
1480998642,258,496
1481086444,423,343
1481173471,303,303
1483525499,7807,8134
1483612617,215,312
1483699710,241,392
1483786907,301,287
1483873959,298,312
1483961077,222,422
1484048206,243,288
1484135325,295,290
1484222488,283,271
1484309590,247,265
1484440604,35,348
1484527719,79,351
1484614909,364,398
1484702212,412,377
1484789567,416,307
1484876664,385,265
1484963784,336,248
1485050913,297,234
1485138288,247,310
1485225394,295,376
1485312522,288,379
1485399708,365,294
1485486752,375,317
1485574136,378,283
1485661229,363,250
1485748400,295,298
1485835480,304,317
1485922856,326,248
1486009966,320,279
1486097327,281,268
1486184526,332,196
1486271823,359,216
1486358925,278,267
1486446032,280,307
1486533158,390,223
1486620287,365,256
1486707655,383,271
1486795025,412,278
1486882124,380,273
1487056623,601,103
1487143721,292,97
1487230857,306,393
1487317959,299,437
1487405104,316,347
1487492467,278,370
1487579819,274,311
1487666931,316,283
1487754125,339,252
1487841174,495,319
1487928271,268,271
1488015399,283,378
1488102779,616,374
1488189891,351,369
1488277251,338,336
1488364627,397,315
1488451721,407,334
1488538925,365,358
1488625959,380,269
1488713085,406,307
1488800219,346,359
1488887316,332,333
1488974518,283,270
1489061561,183,295
1489148683,237,397
1489235805,207,358
1489322906,242,366
1489410107,177,475
1489497169,212,374
1489584275,334,332
1489671407,346,277
1489758530,258,299
1489845737,243,308
1489932769,265,308
1490019879,225,346
1490106997,215,299
1490194124,339,292
1490281314,341,344
1490368366,362,319
1490455463,415,522
1490542597,347,277
1490629725,357,298
1490716946,335,633
1490804222,385,348
1490891332,353,404
1490978442,306,399
1491065565,312,416
1491152938,287,413
1491240055,507,422
1491327166,337,491
1491414268,349,380
1491501404,502,351
1491588528,460,284
1491675640,359,172
1491762763,311,241
1491849862,344,202
1491937021,466,230
1492024128,375,195
1492111240,352,226
1492198348,365,358
1492285483,281,318
1492372600,283,263
1492459719,310,228
1492546846,365,300
1492633960,248,217
1492721076,248,212
1492808185,254,327
1492895324,260,321
1492982690,273,421
1493069804,459,339
1493156935,1111,364
1493244123,776,351
1493331151,704,319
1493418280,386,411
1493505390,422,338
1493592522,456,312
1493679711,377,341
1493766773,494,280
1493853874,462,305
1493941019,430,347
1496901886,12239,12529
1496988996,405,537
1497076114,418,348
1497163241,404,476
1497250366,407,849
1497337484,367,331
1497424594,407,215
1497511726,425,605
1497598845,357,410
1497685990,318,331
1497773080,287,282
1497860232,356,285
1497947345,311,208
1498078155,463,520
1498165309,321,215
1498252644,419,244
1498339992,312,429
1498427063,303,515
1498514511,281,727
1498601584,363,562
1498688705,404,514
1498775827,351,427
1498863172,329,413
1498950279,337,341
1499037387,323,431
1499124529,348,363
1499211625,357,316
1499298745,327,374
1499386136,435,430
1499473225,305,390
1499560370,324,365
1499647485,382,378
1499734586,328,393
1499821708,310,360
1499908830,361,353
1499995953,348,395
1500083333,330,419
1500170470,326,364
