DateTime,AddedIPs,RemovedIPs
1521136986,5,4
1521140585,1,1
1521144187,3,0
1521147785,0,3
1521151385,0,2
1521154985,1,1
1521158586,0,1
1521172925,2,8
1521176525,1,0
1521180185,1,3
1521183788,3,5
1521187325,2,2
1521190985,2,1
1521194587,1,1
1521198185,1,0
1521201786,2,2
1521208986,3,4
1521212586,1,0
1521216187,3,0
1521219786,2,3
1521223386,2,2
1521226927,1,0
1521230586,3,2
1521234187,4,0
1521237786,0,3
1521241386,1,1
1521248526,0,2
1521255786,0,1
1521259386,1,1
1521262986,2,4
1521266587,3,6
1521270186,2,2
1521273787,2,3
1521277386,2,0
1521280926,2,2
1521284586,0,5
1521288187,1,0
1521291787,4,0
1521295386,2,3
1521298987,2,0
1521302587,3,3
1521306128,2,3
1521313388,0,1
1521316987,0,5
1521320587,3,0
1521324188,1,0
1521327787,0,3
1521334987,1,3
1521338587,1,0
1521342187,1,0
1521345727,3,2
1521349387,2,1
1521352987,2,4
1521356587,2,0
1521360187,1,4
1521363787,1,2
1521367389,0,1
1521370989,2,2
1521374589,0,1
1521381788,1,0
1521385387,0,1
1521388988,1,0
1521392588,0,7
1521396128,2,0
1521399788,0,3
1521403388,1,1
1521406989,3,0
1521410588,2,2
1521417789,1,1
1521424988,0,1
1521428588,1,2
1521430388,3,0
1521432188,0,2
1521435788,1,0
1521439390,2,3
1521442929,1,0
1521446589,3,3
1521450189,2,0
1521453789,3,0
1521457388,2,1
1521460930,2,0
1521464590,1,5
1521468189,4,3
1521471729,1,0
1521475389,3,1
1521478929,3,2
1521482529,4,0
1521484689,2,0
1521489789,2,0
1521493390,1,2
1521496929,1,0
1521511389,0,1
1521514990,2,5
1521518589,1,0
1521522129,5,5
1521525790,2,0
1521529390,1,1
1521532930,3,3
1521536590,0,1
1521540190,2,0
1521547390,1,1
1521550990,1,0
1521554590,0,2
1521558191,3,0
1521561790,2,4
1521565391,2,0
1521568992,7,0
1521572591,0,2
1521579790,3,2
1521586992,0,1
1521590532,0,2
1521597792,1,3
1521601391,2,0
1521604991,0,6
1521608592,3,0
1521612251,2,3
1521615791,3,0
1521618730,1,4
1521622990,1,1
1521630131,0,1
1521637391,0,3
1521640991,2,0
1521644591,0,8
1521648130,2,0
1521651791,5,1
1521655331,2,2
1521658991,3,2
1521661931,1,0
1521666191,5,0
1521669791,0,2
1521673391,1,1
1521676932,1,0
1521684192,1,1
1521687791,1,3
1521691391,3,0
1521694992,3,4
1521698591,1,0
1521702133,2,4
1521705792,2,0
1521709391,2,1
1521714912,1,0
1521716532,0,1
1521723793,2,3
1521730993,1,0
1521734593,0,1
1521738192,6,0
1521741733,1,4
1521745333,2,3
1521748992,1,0
1521752532,4,3
1521756193,1,0
1521759793,2,0
1521763393,1,0
1521766992,1,2
1521774192,0,3
1521777792,3,0
1521781392,2,4
1521784932,2,0
1521788532,4,1
1521792134,2,5
1521799393,1,1
1521800712,3,0
1521806592,0,1
1521810192,0,2
1521813733,1,1
1521817333,1,0
1521820934,1,0
1521824594,0,2
1521828133,4,0
1521831793,0,2
1521838993,1,1
1521842593,2,0
1521846134,3,0
1521853393,0,1
1521864133,2,2
1521867793,3,2
1521871333,3,5
1521874993,2,0
1521878594,3,7
1521885793,2,2
1521889395,1,3
1521892994,1,0
1521896594,1,0
1521900133,2,1
1521903794,1,4
1521907334,1,0
1521910934,1,2
1521914595,1,0
1521918194,2,5
1521919634,2,2
1521925394,3,1
1521928994,1,2
1521932595,2,0
1521939794,1,0
1521943395,1,0
1521946994,0,2
1521950594,2,4
1521954195,3,2
1521957794,4,1
1521961396,1,0
1521964995,1,3
1521968594,1,0
1521972194,0,4
1521975794,1,0
1521979335,0,1
1521982996,2,2
1521986594,2,0
1521990194,2,2
1521993735,3,0
1521997394,2,2
1522000995,3,3
1522004595,2,2
1522008195,3,4
1522011735,2,0
1522018935,1,2
1522022595,1,0
1522026195,0,4
1522029796,1,0
1522033395,1,1
1522036996,6,2
1522040596,3,8
1522044197,2,0
1522047796,3,1
1522051395,0,3
1522054996,1,3
1522058596,1,1
1522062196,1,0
1522065795,2,2
1522069396,0,1
1522072935,0,1
1522076597,0,2
1522080196,0,3
1522083797,3,3
1522087337,2,0
1522090997,1,2
1522094597,4,0
1522098137,0,1
1522101797,2,0
1522102576,1,3
1522108937,1,1
1522116196,0,2
1522119797,2,0
1522123396,2,0
1522134196,1,0
1522137736,2,0
1522141336,3,0
1522144996,1,0
1522148536,2,10
1522152196,1,0
1522159397,0,2
1522162937,1,0
1522166537,0,3
1522170198,2,3
1522173797,3,0
1522177338,3,1
1522178177,2,1
1522184597,3,0
1522191797,0,1
1522195397,7,0
1522198997,1,1
1522202597,1,0
1522206199,1,1
1522209798,3,4
1522213397,0,2
1522216997,2,0
1522220597,1,2
1522224138,3,1
1522227464,3,0
1522227764,0,1
1522231363,3,4
1522235023,0,4
1522239283,1,1
1522242224,0,2
1522245764,2,1
1522249363,1,0
1522253024,1,1
1522256563,4,2
1522260164,39,2
1522263764,2,2
1522267364,2,2
1522270989,1,0
1522274585,1,2
1522278181,1,1
1522281840,1,0
1522285373,0,1
1522289025,1,0
1522292624,2,1
1522296164,3,0
1522299788,0,9
1522303364,4,0
1522306965,0,6
1522309424,4,0
1522312716,1,1
1522317757,0,3
1522321416,4,1
1522323936,1,6
1522328558,2,0
1522332156,0,1
1522335757,1,0
1522339356,2,0
1522343016,2,3
1522346556,4,0
1522350157,3,1
1522353758,1,0
1522357356,0,1
1522361016,1,2
1522364556,1,0
1522368157,1,0
1522371757,1,2
1522375418,2,0
1522379018,1,3
1522382557,2,0
1522386157,3,6
1522389757,1,0
1522393418,0,1
1522396957,0,3
1522400618,1,0
1522404218,3,2
1522407757,0,2
1522411358,1,2
1522418618,1,2
1522422219,2,0
1522425757,1,0
1522429357,2,1
1522432957,1,5
1522440158,0,2
1522443817,1,4
1522451017,1,1
1522454618,1,0
1522461758,1,2
1522468957,4,4
1522472558,1,0
1522476158,2,5
1522479818,2,0
1522483418,1,7
1522487018,3,0
1522490558,3,3
1522494278,1,3
1522497758,1,1
1522501359,1,0
1522504958,0,3
1522512160,2,7
1522515818,3,0
1522522959,1,2
1522526618,1,1
1522530218,0,1
1522537358,1,1
1522544559,0,1
1522548158,1,3
1522551759,1,0
1522555360,2,7
1522558959,2,0
1522562559,3,4
1522566160,2,0
1522569820,4,3
1522573419,1,2
1522580560,1,5
1522587760,3,2
1522591359,0,2
1522594960,1,5
1522598560,1,1
1522602221,0,2
1522605760,3,1
