DateTime,AddedIPs,RemovedIPs
1521277386,3,1
1521280926,2,1
1521284586,0,2
1521288187,1,0
1521291787,4,3
1521295386,2,5
1521298987,5,6
1521302587,4,3
1521306128,5,0
1521313388,0,1
1521316987,1,1
1521320587,3,2
1521324188,1,1
1521327787,1,2
1521331387,0,2
1521334987,1,2
1521338587,2,1
1521342187,1,3
1521345727,3,4
1521349387,4,6
1521352987,3,1
1521356587,2,2
1521360187,1,3
1521363787,1,3
1521367389,1,1
1521370989,2,1
1521374589,0,1
1521381788,1,1
1521385387,1,1
1521388988,1,3
1521392588,2,3
1521396128,2,1
1521399788,1,1
1521403388,2,4
1521406989,3,2
1521410588,3,3
1521414188,0,2
1521417789,1,0
1521421328,0,1
1521424988,1,0
1521428588,2,2
1521430388,4,3
1521435788,1,2
1521439390,2,2
1521442929,1,2
1521446589,3,4
1521450189,2,1
1521453789,3,1
1521457388,2,2
1521460930,3,0
1521464590,2,2
1521468189,4,4
1521471729,1,1
1521475389,4,5
1521478929,5,1
1521482529,5,1
1521484689,2,3
1521486190,0,1
1521489789,3,1
1521493390,1,2
1521496929,1,1
1521504190,0,1
1521507790,0,1
1521511389,0,1
1521514990,2,1
1521518589,1,1
1521522129,5,3
1521525790,3,1
1521529390,1,3
1521532930,3,3
1521536590,0,2
1521540190,5,3
1521543789,1,2
1521547390,1,0
1521550990,2,1
1521558191,4,6
1521561790,2,1
1521565391,2,4
1521568992,8,6
1521576191,2,1
1521579790,4,2
1521583390,0,1
1521590532,1,0
1521594190,1,2
1521597792,2,0
1521601391,2,1
1521604991,2,4
1521608592,5,4
1521612251,2,3
1521615791,3,3
1521618730,2,1
1521622990,1,1
1521626591,0,1
1521633791,0,2
1521640991,2,4
1521644591,0,1
1521648130,2,1
1521651791,6,5
1521655331,3,0
1521658991,5,0
1521661931,1,1
1521662592,0,2
1521666191,7,8
1521669791,2,1
1521673391,3,1
1521676932,1,1
1521680591,1,1
1521684192,2,2
1521687791,3,1
1521691391,3,4
1521694992,3,5
1521698591,1,1
1521702133,2,3
1521705792,2,3
1521709391,3,2
1521712992,1,1
