DateTime,Entries,UniqueIPs
1518817753,400,400
1518821605,397,397
1518829259,385,385
1518833144,372,372
1518837226,369,369
1518841276,361,361
1518845147,359,359
1518848941,361,361
1518852786,356,356
1518856650,353,353
1518860444,350,350
1518864348,351,351
1518868417,356,356
1518872521,360,360
1518876331,358,358
1518881734,356,356
1518885446,360,360
1518889242,368,368
1518893101,371,371
1518896937,367,367
1518901039,364,364
1518905118,361,361
1518909212,361,361
1518913278,363,363
1518917116,363,363
1518920937,367,367
1518924807,368,368
1518928904,369,369
1518932705,375,375
1518936793,370,370
1518940869,361,361
1518944700,357,357
1518948778,361,361
1518983800,363,363
1518987894,369,369
1518991736,372,372
1519003476,379,379
1519007311,381,381
1519011151,387,387
1519014995,387,387
1519018828,388,388
1519022679,389,389
1519026510,392,392
1519030377,393,393
1519034259,394,394
1519038064,395,395
1519041947,396,396
1519049806,396,396
1519057524,392,392
1519061304,393,393
1519065149,393,393
1519069010,392,392
1519074137,394,394
1519077927,394,394
1519081704,395,395
1519085821,396,396
1519089646,396,396
1519093486,392,392
1519097868,387,387
1519101633,386,386
1519105518,386,386
1519109327,386,386
1519113213,387,387
1519116988,385,385
1519124740,382,382
1519128810,378,378
1519132847,377,377
1519136694,376,376
1519140524,367,367
1519144390,352,352
1519149701,347,347
1519153751,344,344
1519157606,342,342
1519161455,335,335
1519165293,331,331
1519169094,325,325
1519172934,318,318
1519176778,310,310
1519180895,306,306
1519188551,290,290
1519196516,288,288
1519200303,287,287
1519204149,287,287
1519208234,288,288
1519212075,287,287
1519215925,280,280
1519219975,280,280
1519224093,273,273
1519228139,273,273
1519232228,265,265
1519236064,259,259
1519240145,260,260
1519244240,260,260
1519248327,260,260
1519252162,256,256
1519256231,254,254
1519260048,254,254
1519263805,251,251
1519267775,251,251
1519275712,261,261
1519279541,266,266
1519283350,273,273
1519287159,274,274
1519291058,277,277
1519295176,276,276
1519298952,273,273
1519302801,267,267
1519306863,262,262
1519310971,260,260
1519318661,260,260
1519322460,257,257
1519326313,256,256
1519330410,255,255
1519334270,250,250
1519338073,247,247
1519341913,245,245
1519345765,248,248
1519349851,249,249
1519353708,249,249
1519357505,252,252
1519361386,250,250
1519365436,272,272
1519369284,274,274
1519373108,269,269
1519377191,268,268
1519381029,261,261
1519385175,260,260
1519389187,259,259
1519396873,256,256
1519405077,252,252
1519408901,265,265
1519412944,270,270
1519416937,284,284
1519420851,302,302
1519424708,309,309
1519429177,310,310
1519433105,310,310
1519436950,311,311
1519440848,314,314
1519444920,316,316
1519448740,320,320
1519452923,313,313
1519456885,307,307
1519460713,304,304
1519464818,301,301
1519468640,299,299
1519472459,298,298
1519476569,302,302
1519480631,311,311
1519484471,312,312
1519488551,315,315
1519492379,315,315
1519496240,320,320
1519500080,328,328
1519503955,328,328
1519508007,330,330
1519513095,333,333
1519520717,328,328
1519524585,322,322
1519528382,320,320
1519532268,316,316
1519536078,313,313
1519539904,303,303
1519544019,301,301
1519551675,291,291
1519555496,282,282
1519559385,274,274
1519567064,282,282
1519570881,282,282
1519574743,279,279
1519578810,282,282
1519582852,284,284
1519586750,287,287
1519590557,292,292
1519594433,291,291
1519609763,288,288
1519613614,285,285
1519621480,284,284
1519629205,291,291
1519633076,297,297
1519636876,295,295
1519640701,291,291
1519644550,294,294
1519648385,293,293
1519652824,298,298
1519656783,285,285
1519660881,281,281
1519664976,272,272
1519668815,273,273
1519672612,271,271
1519676366,270,270
1519680052,270,270
1519683900,267,267
1519687986,267,267
1519695977,261,261
1519699752,263,263
1519703612,252,252
1519711269,243,243
1519715375,240,240
1519719184,239,239
1519723028,235,235
1519727149,231,231
1519731240,240,240
1519735064,240,240
1519738865,242,242
1519742733,241,241
1519746960,239,239
1519750646,239,239
1519754776,240,240
1519758526,243,243
1519762383,242,242
1519766254,249,249
1519770102,249,249
1519774174,250,250
1519777977,253,253
1519781835,255,255
1519789477,16,16
1519793309,20,20
1519797146,32,32
1519801240,36,36
1519805077,45,45
1519808933,52,52
1519812746,76,76
1519816594,99,99
1519820450,117,117
1519824287,141,141
1519828130,153,153
1519832176,173,173
1519836123,192,192
1519839865,198,198
1519843702,214,214
1519847563,220,220
1519851380,229,229
1519855221,233,233
1519859074,238,238
1519863161,248,248
1519867002,256,256
1519870832,265,265
1519874684,273,273
1519878673,289,289
1519882366,292,292
1519886213,299,299
1519890030,299,299
1519893874,294,294
1519897727,293,293
1519901563,288,288
1519905404,281,281
1519909257,283,283
1519913087,283,283
1519916922,285,285
1519920781,272,272
1519924826,267,267
1519928682,267,267
1519932528,273,273
1519936354,276,276
1519940209,280,280
1519944488,292,292
1519948336,293,293
1519952178,294,294
1519956016,294,294
1519959856,301,301
1519963748,307,307
1519967553,308,308
1519975007,310,310
1519978825,309,309
1519982925,309,309
1519998272,311,311
1520002109,309,309
1520005937,309,309
1520013617,310,310
1520017467,312,312
1520029240,313,313
1520033081,312,312
1520036903,317,317
1520040747,318,318
1520044584,321,321
1520048445,319,319
1520052265,324,324
1520056138,336,336
1520059961,339,339
1520120501,322,322
1520124261,312,312
1520128367,305,305
1520132192,285,285
1520136045,275,275
1520139889,268,268
1520143752,261,261
1520147544,260,260
1520151644,256,256
1520155479,259,259
1520159309,271,271
1520163164,280,280
1520167010,277,277
1520170833,278,278
1520174688,276,276
1520178536,309,309
1520182599,320,320
1520186446,323,323
1520190297,347,347
1520194104,344,344
1520197957,338,338
1520201810,330,330
1520206331,324,324
1520210439,309,309
1520214271,301,301
1520218100,299,299
1520225792,296,296
1520229672,306,306
1520233728,312,312
1520237570,313,313
1520241413,305,305
1520245243,298,298
1520249067,299,299
1520252922,302,302
1520256765,301,301
1520260834,303,303
1520264662,292,292
1520268770,298,298
1520272614,304,304
1520276707,299,299
1520280524,294,294
1520284802,301,301
1520288662,313,313
1520292500,319,319
1520296358,333,333
1520300441,332,332
1520304286,337,337
1520308112,339,339
1520311949,342,342
1520315806,359,359
1520319663,370,370
1520323492,365,365
1520327339,360,360
1520331169,357,357
1520335005,357,357
1520338837,352,352
1520342679,337,337
1520346509,326,326
1520350351,315,315
1520354432,305,305
1520358292,297,297
1520362103,286,286
1520366365,285,285
1520370049,282,282
1520373913,296,296
1520377724,305,305
1520381561,313,313
1520385394,310,310
1520389226,304,304
1520393083,310,310
1520396923,317,317
1520400754,325,325
1520404601,326,326
1520408434,329,329
1520412277,321,321
1520416252,321,321
1520419957,311,311
1520423786,317,317
1520427624,321,321
1520431472,335,335
1520435306,345,345
1520439154,346,346
1520442989,347,347
1520446840,358,358
