DateTime,AddedIPs,RemovedIPs
1516359461,1,3
1516371472,2,2
1516390903,2,3
1516410619,1,1
1516418301,0,1
1516422346,1,1
1516437955,1,0
1516445665,1,2
1516449730,1,0
1516469097,0,103
1516472914,1,0
1516476754,2,0
1516484424,2,0
1516499780,1,0
1516503657,1,0
1516511331,1,0
1516515192,1,0
1516519078,1,0
1516522830,1,0
1516530772,2,0
1516538432,1,0
1516561731,1,0
1516573267,1,0
1516585468,1,0
1516593156,1,0
1516600826,1,0
1516608516,2,0
1516616175,1,0
1516620031,2,0
1516631565,2,0
1516647163,1,0
1516650999,1,0
1516662495,2,0
1516670443,2,0
1516674279,1,0
1516678108,1,0
1516681963,2,0
1516685806,3,0
1516693333,3,0
1516697075,1,0
1516712684,1,0
1516732370,1,0
1516736216,2,0
1516743891,1,0
1516755643,1,0
1516767173,2,0
1516771002,1,0
1516782511,1,0
1516786591,1,0
1516790447,1,0
1516794289,1,0
1516798110,2,0
1516802211,1,0
1516809874,1,0
1516825480,1,0
1516833173,1,0
1516839164,1,0
1516850694,1,0
1516858357,1,0
1516866039,1,0
1516869879,1,0
1516873714,1,0
1516881401,1,0
1516885252,2,0
1516889083,2,0
1516908271,2,0
1516946922,1,0
1516954698,2,0
1516969960,3,0
1516985321,1,0
1516993106,1,0
1516996892,2,0
1517024014,1,0
1517027843,1,0
1517035532,1,0
1517043219,1,0
1517062872,1,0
1517066954,2,0
1517082834,1,0
1517086633,1,0
1517113790,1,0
1517132948,1,0
1517144501,1,0
1517148483,1,0
1517163658,1,0
1517171343,1,0
1517182930,1,0
1517263750,1,0
1517267570,1,0
1517279079,1,0
1517306314,1,0
1517325927,0,2
1517341497,2,1
1517357070,0,1
1517365005,2,1
1517368844,0,2
1517376536,1,0
1517384234,0,1
1517388024,0,1
1517395707,2,0
1517399621,2,0
1517403429,1,1
1517407282,1,0
1517411352,1,0
1517415182,2,2
1517419078,0,1
1517426700,4,0
1517442057,1,0
1517453606,1,2
1517457451,0,1
1517465116,0,2
1517472794,1,0
1517533748,1,0
1517537575,2,0
1517541437,1,0
1517545255,1,1
1517549098,0,1
1517556814,3,2
1517560634,1,1
1517565421,1,0
1517576953,1,0
1517584622,0,2
1517592320,1,0
1517603828,0,1
1517631469,1,0
1517654547,0,1
1517658589,1,0
1517670388,1,1
1517678262,1,0
1517685996,0,2
1517693618,2,1
1517701666,1,0
1517713529,2,1
1517721192,2,0
1517728904,0,1
1517732964,0,1
