DateTime,Entries,UniqueIPs
1518644150,189,189
1518656883,188,188
1518660612,185,185
1518664746,183,183
1518668914,181,181
1518677084,178,178
1518681006,174,174
1518688753,172,172
1518696772,173,173
1518700795,174,174
1518708412,171,171
1518712251,170,170
1518716393,168,168
1518720221,169,169
1518724123,171,171
1518731992,164,164
1518736173,161,161
1518743906,157,157
1518747890,157,157
1518751745,158,158
1518755525,161,161
1518763305,169,169
1518767333,167,167
1518771228,168,168
1518775025,168,168
1518779144,166,166
1518783553,169,169
1518787260,169,169
1518791149,166,166
1518795196,166,166
1518799062,169,169
1518803124,169,169
1518806969,171,171
1518810941,174,174
1518814679,178,178
1518822832,176,176
1518826923,176,176
1518830735,176,176
1518834790,179,179
1518838934,181,181
1518842789,183,183
1518846561,182,182
1518850439,185,185
1518854244,186,186
1518858107,186,186
1518865989,192,192
1518873661,194,194
1518877540,194,194
1518881958,196,196
1518885995,195,195
1518894118,197,197
1518897977,198,198
1518901692,199,199
1518905674,200,200
1518909414,202,202
1518913416,203,203
1518917363,205,205
1518921052,207,207
1518925043,210,210
1518932910,207,207
1518936944,208,208
1518940991,206,206
1518944830,207,207
1518948958,204,204
1518983962,205,205
1518987944,208,208
1518991870,209,209
1518999737,210,210
1519003533,214,214
1519007357,215,215
1519011200,212,212
1519015046,211,211
1519018869,208,208
1519022765,203,203
1519026571,203,203
1519030448,206,206
1519034437,205,205
1519038234,205,205
1519042035,200,200
1519045949,203,203
1519049854,195,195
1519053706,196,196
1519057686,191,191
1519061420,192,192
1519065205,191,191
1519069197,192,192
1519074247,193,193
1519078155,192,192
1519081960,193,193
1519085893,193,193
1519089700,191,191
1519093578,190,190
1519097970,191,191
1519105737,190,190
1519109489,187,187
1519117074,182,182
1519124868,181,181
1519129066,178,178
1519132930,182,182
1519136842,181,181
1519140708,180,180
1519144535,181,181
1519153883,186,186
1519157760,191,191
1519165476,188,188
1519169236,189,189
1519173111,188,188
1519177025,190,190
1519189033,184,184
1519192927,187,187
1519196978,186,186
1519200804,188,188
1519204655,187,187
1519208369,185,185
1519212267,187,187
1519216156,190,190
1519220114,191,191
1519224361,195,195
1519232346,201,201
1519236210,202,202
1519240276,204,204
1519244354,205,205
1519252320,199,199
1519256411,199,199
1519260173,201,201
1519263993,200,200
1519267939,198,198
1519271875,196,196
1519279798,199,199
1519283555,200,200
1519287270,204,204
1519291259,206,206
1519299067,211,211
1519307051,209,209
1519311124,211,211
1519318765,212,212
1519322711,214,214
1519326463,217,217
1519330580,217,217
1519334501,215,215
1519338317,214,214
1519342111,213,213
1519350105,214,214
1519353914,212,212
1519357658,211,211
1519361595,213,213
1519365545,213,213
1519373318,213,213
1519377420,214,214
1519381258,214,214
1519397068,216,216
1519409141,217,217
1519413113,219,219
1519417058,224,224
1519421027,224,224
1519433370,227,227
1519437130,228,228
1519448995,226,226
1519453168,222,222
1519457037,220,220
1519460888,214,214
1519465109,214,214
1519468843,213,213
1519472645,214,214
1519480824,213,213
1519484668,215,215
1519488736,218,218
1519492475,218,218
1519496461,217,217
1519500316,218,218
1519504230,217,217
1519513293,217,217
1519517368,217,217
1519521221,215,215
1519525043,216,216
1519528875,215,215
1519532982,214,214
1519541180,215,215
1519545018,216,216
1519552649,217,217
1519556523,218,218
1519564168,217,217
1519567987,216,216
1519571844,217,217
1519575941,217,217
1519579737,216,216
1519583619,219,219
1519587489,225,225
1519591977,222,222
1519595818,224,224
1519599974,226,226
1519607892,227,227
1519611982,225,225
1519619629,223,223
1519623512,222,222
1519627327,217,217
1519631152,217,217
1519634928,207,207
1519642607,202,202
1519646533,203,203
1519650336,206,206
1519658026,202,202
1519661889,203,203
1519665971,203,203
1519669811,199,199
