DateTime,AddedIPs,RemovedIPs
1508450917,3,3
1508454775,2,3
1508458860,1,2
1508462705,4,3
1508466773,6,4
1508470862,4,3
1508474675,1,2
1508478539,4,4
1508486225,4,3
1508490057,8,8
1508493901,3,5
1508497736,6,5
1508501565,1,0
1508505408,4,4
1508509245,0,1
1508513086,1,1
1508516934,1,0
1508520777,3,3
1508524930,3,0
1508528704,5,4
1508532536,2,2
1508536402,1,1
1508570832,3,3
1508574701,2,2
1508578440,3,2
1508582322,8,8
1508605494,3,3
1508609349,7,5
1508613353,6,4
1508617031,2,1
1508620870,3,2
1508624977,2,2
1508628807,2,4
1508636462,1,0
1508640625,1,1
1508648228,2,3
1508652092,2,2
1508655912,3,1
1508659778,5,5
1508667424,6,6
1508671306,1,2
1508675077,1,1
1508682848,1,1
1508690476,3,4
1508694292,1,3
1508698162,1,1
1508710117,6,7
1508714047,4,4
1508718079,2,2
1508721936,2,3
1508725803,3,3
1508733429,1,1
1508737495,1,1
1508741423,4,3
1508745239,4,4
1508749025,4,4
1508752909,7,7
1508756787,4,5
1508760553,3,3
1508768230,8,7
1508772090,2,2
1508775928,4,4
1508779776,6,6
1508795159,14,15
1508799043,5,5
1508802813,1,1
1508806729,3,3
1508814319,10,13
1508818158,4,3
1508822069,3,5
1508826112,5,5
1508834001,12,12
1508841727,6,7
1508845528,4,4
1508849382,4,5
1508853239,4,5
1508861752,7,6
1508865467,2,3
1508870226,6,6
1508874107,3,5
1508877946,3,4
1508881861,2,2
1508885623,1,2
1508889481,1,1
1508893323,2,3
1508897197,2,1
1508901162,2,3
1508905109,5,5
1508908856,7,6
1508912673,1,0
1508916527,0,2
1508920373,8,11
1508928101,7,4
1508935779,4,7
1508939558,1,1
1508943400,0,2
1508947637,1,3
1508951338,3,3
1508955257,2,3
1508959033,2,4
1508962883,1,1
1508966722,2,3
1508970598,1,1
1508974398,1,1
1508982302,1,0
1508994104,2,2
1508997943,6,8
1509001737,2,3
1509005603,2,2
1509009473,7,8
1509013276,3,3
1509024781,8,12
1509028683,4,3
1509032408,3,3
1509036100,4,9
1509039918,3,3
1509043791,4,4
1509047595,4,5
1509051491,1,1
1509060673,0,1
1509064504,1,1
1509087450,1,1
1509098978,5,6
1509102823,3,3
1509106760,2,2
1509110759,3,3
1509126309,11,8
1509130148,2,2
1509134035,2,2
1509145540,1,1
1509149934,0,1
1509153735,1,1
1509161349,3,4
1509165277,2,2
1509169173,1,1
1509172962,1,1
1509176756,2,2
1509180562,0,1
1509188251,3,3
1509195928,2,5
1509203630,0,2
1509207454,1,1
1509211363,3,2
1509215375,4,5
1509236622,0,369
1509240293,1,0
1509244134,2,0
1509247993,3,0
1509251833,3,0
1509259500,1,0
1509271028,2,0
1509278694,8,0
1509282534,1,0
1509290200,2,0
1509294033,1,0
1509301721,2,0
1509305579,2,0
1509309399,2,0
1509313270,3,0
1509317083,3,0
1509325032,3,0
1509328895,1,0
1509332696,1,0
1509336521,6,0
1509340383,3,0
1509348064,1,0
1509351887,2,0
1509355719,2,0
1509359578,4,0
1509363409,2,0
1509371098,2,0
1509386497,1,0
1509394129,2,0
1509398109,1,0
1509405629,2,0
1509409488,1,0
1509420989,4,0
1509432276,3,0
1509440080,2,0
1509482588,1,0
1509498592,4,0
1509502408,2,0
1509510074,1,0
1509521592,1,0
1509525395,3,0
1509533106,1,0
1509536932,2,0
1509541027,3,0
1509544897,4,0
1509772628,9,0
1509776491,4,0
1509780283,6,0
1509784131,2,0
1509787984,7,0
1509795648,3,0
1509799483,4,0
1509803333,3,0
1509807179,1,0
1509818687,1,0
1509822540,1,0
1509826377,2,0
1509830215,1,0
1509872502,1,0
1509887840,1,0
1509891714,3,0
1509895956,2,0
1509899820,2,0
1509903641,1,0
1509907468,3,0
1509911365,3,0
1509915186,3,0
1509919001,2,0
1509926683,3,0
1509953836,2,0
1509965337,1,0
1509969177,1,0
1509996551,1,0
1510066368,2,0
1510070198,1,0
1510132615,1,0
1510136446,2,0
1510140275,2,0
1510151825,1,0
1510175111,1,0
1510256484,1,0
1510341181,1,0
1510441493,1,0
1510561750,1,0
1510774625,2,0
1510863461,1,0
1510948281,1,0
1510975120,1,0
1511196362,1,0
1511204054,1,0
1511207891,1,0
1511332170,2,0
1511382087,1,0
1511465373,1,0
1511476873,1,0
1511646171,1,0
1511821275,1,0
1511990556,1,0
1512137538,1,0
1512311228,1,0
1512334680,1,0
1512354057,0,207
1512369417,1,0
1512499738,1,0
1512565493,1,0
1512589033,1,0
1512602893,1,0
1512673059,1,0
1512696561,1,0
1512762541,1,0
1512843922,1,0
1512859537,1,0
1512863366,1,0
1512871051,1,0
1512937071,1,0
1513192239,4,0
1513262108,1,0
1513281516,2,0
1513382753,1,0
1513510623,1,0
1513537874,2,0
1513626389,1,0
1513691929,1,0
1513770191,2,0
1513887551,2,0
1514077112,1,0
1514146775,1,0
1514174782,1,0
1514233832,1,0
1514299639,1,0
1514303411,1,0
1514318643,3,0
1514365139,1,0
1514405745,2,0
1514541872,1,0
1514568980,2,0
1514572731,4,0
1514576451,1,0
1514607743,1,0
1514666157,3,0
1514751064,2,0
1514837468,1,0
1514920395,2,0
1514951864,1,0
1514963377,1,0
1515006285,3,0
1515010167,1,0
1515268941,3,0
1515354087,1,0
1515357924,1,0
1515423474,1,0
1515439329,2,0
1515443160,1,0
1515616212,1,0
1515706519,3,0
1515875110,1,0
1515879002,1,0
1515886482,1,0
1515905914,10,0
1515913714,2,0
1515917630,6,0
1515921435,2,0
1515925370,3,0
