DateTime,Entries,UniqueIPs
1508450917,405,405
1508454775,404,404
1508458860,403,403
1508462705,404,404
1508466773,406,406
1508470862,407,407
1508474675,406,406
1508478539,406,406
1508486225,407,407
1508490057,407,407
1508493901,405,405
1508497736,406,406
1508501565,407,407
1508505408,407,407
1508509245,406,406
1508513086,406,406
1508516934,407,407
1508520777,407,407
1508524930,410,410
1508528704,411,411
1508532536,411,411
1508536402,411,411
1508570832,411,411
1508574701,411,411
1508578440,412,412
1508582322,412,412
1508605494,412,412
1508609349,414,414
1508613353,416,416
1508617031,417,417
1508620870,418,418
1508624977,418,418
1508628807,416,416
1508636462,417,417
1508640625,417,417
1508648228,416,416
1508652092,416,416
1508655912,418,418
1508659778,418,418
1508667424,418,418
1508671306,417,417
1508675077,417,417
1508682848,417,417
1508690476,416,416
1508694292,414,414
1508698162,414,414
1508710117,413,413
1508714047,413,413
1508718079,413,413
1508721936,412,412
1508725803,412,412
1508733429,412,412
1508737495,412,412
1508741423,413,413
1508745239,413,413
1508749025,413,413
1508752909,413,413
1508756787,412,412
1508760553,412,412
1508768230,413,413
1508772090,413,413
1508775928,413,413
1508779776,413,413
1508795159,412,412
1508799043,412,412
1508802813,412,412
1508806729,412,412
1508814319,409,409
1508818158,410,410
1508822069,408,408
1508826112,408,408
1508834001,408,408
1508841727,407,407
1508845528,407,407
1508849382,406,406
1508853239,405,405
1508861752,406,406
1508865467,405,405
1508870226,405,405
1508874107,403,403
1508877946,402,402
1508881861,402,402
1508885623,401,401
1508889481,401,401
1508893323,400,400
1508897197,401,401
1508901162,400,400
1508905109,400,400
1508908856,401,401
1508912673,402,402
1508916527,400,400
1508920373,397,397
1508928101,400,400
1508935779,397,397
1508939558,397,397
1508943400,395,395
1508947637,393,393
1508951338,393,393
1508955257,392,392
1508959033,390,390
1508962883,390,390
1508966722,389,389
1508970598,389,389
1508974398,389,389
1508982302,390,390
1508994104,390,390
1508997943,388,388
1509001737,387,387
1509005603,387,387
1509009473,386,386
1509013276,386,386
1509024781,382,382
1509028683,383,383
1509032408,383,383
1509036100,378,378
1509039918,378,378
1509043791,378,378
1509047595,377,377
1509051491,377,377
1509060673,376,376
1509064504,376,376
1509087450,376,376
1509098978,375,375
1509102823,375,375
1509106760,375,375
1509110759,375,375
1509126309,378,378
1509130148,378,378
1509134035,378,378
1509145540,378,378
1509149934,377,377
1509153735,377,377
1509161349,376,376
1509165277,376,376
1509169173,376,376
1509172962,376,376
1509176756,376,376
1509180562,375,375
1509188251,375,375
1509195928,372,372
1509203630,370,370
1509207454,370,370
1509211363,371,371
1509215375,370,370
1509236622,1,1
1509240293,2,2
1509244134,4,4
1509247993,7,7
1509251833,10,10
1509259500,11,11
1509271028,13,13
1509278694,21,21
1509282534,22,22
1509290200,24,24
1509294033,25,25
1509301721,27,27
1509305579,29,29
1509309399,31,31
1509313270,34,34
1509317083,37,37
1509325032,40,40
1509328895,41,41
1509332696,42,42
1509336521,48,48
1509340383,51,51
1509348064,52,52
1509351887,54,54
1509355719,56,56
1509359578,60,60
1509363409,62,62
1509371098,64,64
1509386497,65,65
1509394129,67,67
1509398109,68,68
1509405629,70,70
1509409488,71,71
1509420989,75,75
1509432276,78,78
1509440080,80,80
1509482588,81,81
1509498592,85,85
1509502408,87,87
1509510074,88,88
1509521592,89,89
1509525395,92,92
1509533106,93,93
1509536932,95,95
1509541027,98,98
1509544897,102,102
1509772628,111,111
1509776491,115,115
1509780283,121,121
1509784131,123,123
1509787984,130,130
1509795648,133,133
1509799483,137,137
1509803333,140,140
1509807179,141,141
1509818687,142,142
1509822540,143,143
1509826377,145,145
1509830215,146,146
1509872502,147,147
1509887840,148,148
1509891714,151,151
1509895956,153,153
1509899820,155,155
1509903641,156,156
1509907468,159,159
1509911365,162,162
1509915186,165,165
1509919001,167,167
1509926683,170,170
1509953836,172,172
1509965337,173,173
1509969177,174,174
1509996551,175,175
1510066368,177,177
1510070198,178,178
1510132615,179,179
1510136446,181,181
1510140275,183,183
1510151825,184,184
1510175111,185,185
1510256484,186,186
1510341181,187,187
1510441493,188,188
1510561750,189,189
1510774625,191,191
1510863461,192,192
1510948281,193,193
1510975120,194,194
1511196362,195,195
1511204054,196,196
1511207891,197,197
1511332170,199,199
1511382087,200,200
1511465373,201,201
1511476873,202,202
1511646171,203,203
1511821275,204,204
1511990556,205,205
1512137538,206,206
1512311228,207,207
1512334680,208,208
1512354057,1,1
1512369417,2,2
1512499738,3,3
1512565493,4,4
1512589033,5,5
1512602893,6,6
1512673059,7,7
1512696561,8,8
1512762541,9,9
1512843922,10,10
1512859537,11,11
1512863366,12,12
1512871051,13,13
1512937071,14,14
1513192239,18,18
1513262108,19,19
1513281516,21,21
1513382753,22,22
1513510623,23,23
1513537874,25,25
