DateTime,AddedIPs,RemovedIPs
1518668935,71,57
1518677100,105,131
1518681017,84,71
1518688775,112,112
1518696798,105,108
1518700827,42,38
1518708437,102,85
1518712260,24,25
1518716415,40,47
1518720241,50,51
1518724148,123,121
1518732006,106,123
1518743920,111,134
1518747917,77,30
1518755547,91,100
1518763336,112,95
1518767345,58,75
1518771257,47,51
1518775048,56,80
1518779190,47,27
1518783565,55,58
1518787285,24,32
1518795226,68,57
1518803157,121,116
1518810978,160,140
1518814693,103,107
1518822853,61,94
1518826955,26,41
1518830748,71,37
1518834799,25,43
1518838949,71,72
1518842802,49,26
1518846577,56,73
1518854263,140,126
1518858138,54,65
1518866001,94,72
1518869877,33,35
1518873686,47,36
1518881986,166,170
1518886027,49,45
1518894146,163,158
1518898007,33,37
1518901718,71,75
1518905710,48,54
1518909439,53,63
1518913437,34,34
1518921071,127,120
1518925080,43,64
1518932932,150,122
1518936965,39,50
1518941007,40,55
1518944847,60,82
1518948989,74,49
1518983976,55,24
1518987950,152,147
1518991881,47,49
1518995804,40,43
1518999749,79,91
1519003540,75,83
1519007365,35,46
1519011207,82,58
1519015057,97,113
1519018874,58,31
1519022778,43,70
1519026584,54,51
1519030455,66,45
1519034459,66,69
1519038250,26,29
1519042045,167,169
1519045966,27,26
1519049861,152,205
1519053712,37,11
1519057712,30,54
1519061432,37,3
1519065214,47,20
1519069217,122,122
1519074266,103,109
1519078187,35,38
1519081976,78,90
1519085900,41,61
1519089706,36,23
1519093588,20,35
1519097979,86,56
1519101717,28,69
1519105755,42,13
1519109518,66,98
1519117083,94,58
1519124888,124,116
1519129093,98,86
1519132942,36,39
1519136857,35,34
1519140729,37,52
1519144567,167,147
1519153904,198,192
1519157783,61,63
1519165497,114,129
1519169263,63,71
1519173134,30,33
1519189047,180,161
1519192951,79,86
1519197014,53,80
1519200832,61,54
1519204675,29,56
1519208382,42,52
1519212295,56,52
1519216171,50,32
1519220140,43,22
1519232362,155,214
1519236235,114,62
1519240308,121,87
1519244378,41,40
1519252336,96,99
1519256457,36,40
1519260186,80,84
1519264012,29,49
1519267953,15,9
1519271905,32,27
1519279842,137,120
1519283581,40,50
1519287287,73,72
1519291273,50,81
1519299081,101,125
1519307085,97,49
1519311140,40,37
1519315249,41,30
1519319126,62,66
1519323173,20,27
1519327233,133,130
1519331337,28,33
1519335440,80,77
1519339254,33,32
1519346938,116,117
1519350748,41,53
1519354587,37,37
1519358457,58,56
1519362536,54,61
1519366484,61,65
1519370227,29,86
1519374288,41,17
1519378123,68,78
1519381970,35,5
1519385858,61,64
1519389680,41,20
1519393501,43,56
1519397330,52,58
1519401433,47,19
1519409182,115,92
1519413131,126,127
1519417080,78,80
1519421045,78,92
1519424835,33,45
1519433411,137,125
1519437168,35,26
1519449027,153,163
1519453191,66,93
1519457059,54,14
1519460908,70,83
1519468875,122,137
1519472694,46,46
1519480848,108,99
1519484687,50,63
1519488760,100,91
1519492495,42,15
1519496493,32,34
1519500359,118,119
1519504263,93,94
1519513320,102,116
1519517399,42,54
1519521242,107,89
1519525058,40,39
1519528887,40,41
1519533002,77,81
1519541231,136,152
1519552681,116,111
1519556556,50,80
1519564196,70,45
1519568007,37,24
1519571863,39,58
1519575973,136,110
1519579754,40,43
1519583646,111,102
1519587517,62,61
1519592023,36,38
1519595830,57,64
1519600017,31,48
1519604057,57,64
1519607926,47,62
1519612018,45,34
1519619660,121,108
1519627356,108,99
1519631186,43,47
1519634942,80,99
1519642632,85,107
1519650367,71,70
1519658052,59,99
1519661935,35,4
1519666011,67,56
1519669850,35,14
1519673604,131,93
1519677552,60,57
