DateTime,AddedIPs,RemovedIPs
1518577822,9,5
1518581755,6,2
1518585625,7,5
1518589416,12,8
1518593342,3,2
1518597133,3,3
1518600925,4,6
1518605113,1,0
1518616642,7,11
1518620349,1,3
1518636197,3,13
1518640176,5,5
1518656914,13,21
1518660676,6,1
1518664778,4,4
1518668954,3,5
1518677110,7,12
1518681030,4,2
1518688795,2,5
1518696824,7,11
1518700853,4,1
1518708461,8,6
1518712269,4,7
1518716442,3,5
1518720265,6,8
1518724168,3,4
1518732023,2,8
1518743930,9,8
1518747941,3,6
1518755567,10,6
1518763360,12,9
1518767353,4,5
1518771286,2,2
1518775074,4,3
1518783577,11,2
1518787307,2,3
1518795248,2,0
1518803191,6,3
1518814706,9,10
1518822871,1,4
1518826981,4,9
1518830758,3,5
1518834813,5,6
1518838971,1,0
1518842824,1,5
1518846591,2,1
1518850466,4,2
1518854282,2,2
1518858164,1,3
1518866015,1,5
1518869898,3,4
1518873713,5,6
1518882011,20,13
1518886049,4,5
1518894184,8,6
1518898025,8,6
1518901745,2,0
1518905745,2,2
1518909460,1,1
1518913458,4,7
1518917383,5,4
1518921082,3,1
1518925118,4,3
1518932950,6,9
1518936982,3,10
1518941020,2,3
1518944869,1,6
1518949020,1,0
1518983992,0,4
1518987956,3,1
1518991891,3,3
1518995813,4,5
1518999760,0,2
1519003548,2,3
1519007373,1,3
1519011215,4,5
1519015069,1,3
1519018879,1,2
1519022793,2,0
1519026593,3,3
1519034488,1,0
1519038265,2,2
1519042055,3,1
1519045982,2,4
1519049868,3,0
1519053720,1,4
1519057736,1,2
1519061450,5,2
1519065222,1,1
1519069235,3,5
1519074282,2,2
1519078222,1,3
1519081986,3,2
1519085905,2,7
1519089711,2,1
1519093604,3,2
1519097988,5,2
1519105771,3,0
1519109550,6,4
1519117095,9,0
1519124911,12,3
1519129115,5,2
1519132959,8,10
1519136872,2,4
1519140750,9,6
1519144607,7,6
1519153929,12,18
1519157804,1,0
1519165517,4,6
1519169283,3,5
1519173156,4,6
1519189061,20,24
1519192973,5,3
1519197050,1,3
1519200859,2,5
1519204689,1,1
1519208391,4,1
1519212323,7,1
1519216185,2,3
1519220155,5,2
1519232376,17,18
1519236266,3,2
1519240339,3,4
1519244401,5,1
1519252350,7,10
1519260206,7,3
1519264031,2,1
1519267964,4,3
1519271931,5,6
1519279883,9,5
1519283608,2,1
1519287300,3,4
1519291297,5,7
1519299095,3,10
1519307115,2,7
1519311154,2,4
1519315277,3,4
1519323193,8,8
1519327243,5,5
1519331354,3,2
1519339293,14,12
1519346967,4,3
1519350756,6,6
1519354596,5,3
1519358485,3,3
1519362572,3,4
1519366507,5,2
1519370267,2,1
1519374317,11,7
1519378154,2,3
1519382003,1,1
1519389713,6,8
1519393536,4,3
1519397352,4,3
1519401462,3,3
1519413142,9,12
1519417099,3,2
1519421068,5,4
1519424845,3,4
1519433457,5,10
1519449052,9,10
1519453205,4,2
1519457082,2,0
1519460929,3,1
1519468900,5,1
1519472727,6,2
1519480879,6,8
1519484702,2,2
1519488780,3,2
1519492514,4,5
1519496528,4,2
1519500400,2,3
1519504295,2,1
1519513347,17,11
1519517426,5,5
1519521265,4,3
1519525068,0,1
1519528898,6,5
1519533016,5,5
1519541273,13,5
1519552715,10,5
1519556593,5,5
1519564209,6,9
1519568021,7,4
1519571885,4,3
1519576001,1,0
1519579771,4,4
1519583681,8,4
1519587539,9,3
1519592061,7,6
1519595844,7,7
1519600057,9,8
1519604093,0,1
1519607943,2,4
1519612054,2,1
1519619694,6,7
1519627383,4,11
1519631225,2,5
