DateTime,AddedIPs,RemovedIPs
1479843613,246,3
1479931466,23,0
1480004911,35,0
1480092749,21,1
1480180837,18,0
1480268657,23,0
1480356500,18,3
1480444577,37,9
1480532502,24,1
1480620256,28,0
1480708358,45,6
1480796183,57,0
1480869394,20,0
1480957290,29,0
1481047156,33,2
1481137396,34,3
1481225537,25,0
1481313371,31,0
1481387047,33,0
1481474900,28,0
1481563466,29,6
1481651299,38,0
1481739153,14,0
1481826978,29,0
1481914873,55,0
1482002663,43,3
1482090507,33,0
1482178359,27,0
1482251556,31,0
1482339378,36,0
1482427710,39,1
1482523293,41,3
1482596673,20,0
1482684500,42,0
1482772607,29,0
1482860438,25,0
1482948522,30,6
1483036345,36,0
1483124513,73,0
1483212267,23,0
1483300101,20,0
1483387942,34,0
1483461133,28,0
1483549282,31,0
1483637068,32,0
1483724903,28,0
1483813230,34,3
1483901778,26,3
1483990110,29,0
1484077940,34,0
1484166270,31,0
1484239451,26,0
1484327782,20,0
1484416345,22,1
1484504181,14,0
1484592025,53,0
1484680133,35,3
1484768184,34,0
1484856087,18,1
1484929453,22,0
1485017298,27,0
1485105699,27,3
1485193451,32,0
1485281775,33,0
1485370112,41,0
1485458192,16,0
1485546040,24,2
1485634116,30,3
1485707787,38,0
1485795697,59,0
1485883896,25,0
1485971774,25,3
1486060098,39,0
1486148185,35,0
1486236504,16,0
1486324352,15,0
1486412666,28,0
1486485850,31,0
1486573701,23,0
1486661776,36,0
1486750125,34,0
1486837944,36,0
1486925782,26,0
1487013673,48,0
1487101447,37,0
1487189567,22,3
1487263210,20,3
1487351066,26,0
1487438911,43,3
1487526745,63,0
1487614825,30,0
1487702651,65,0
1487790508,43,0
1487878344,45,0
1487966192,31,0
1488054265,26,0
1488127446,20,3
1488215291,19,0
1488303150,29,0
1488390981,34,0
1488479047,30,0
1488566923,31,0
1488654743,40,0
1488742584,27,0
1488830914,22,0
1488918755,410,9
1488991963,33,3
1489080260,24,0
1489168344,39,0
1489256428,30,0
1489344501,36,0
1489432362,25,0
1489520418,31,0
1489608272,28,0
1489696360,29,3
1489769587,38,1
1489857629,40,0
1489945476,31,0
1490033537,32,0
1490121849,29,4
1490209716,28,0
1490297537,30,3
1490385394,31,0
1490473454,32,3
1490546906,27,0
1490634762,21,0
1490722809,21,0
1490810920,41,0
1490898745,33,0
1490986593,23,4
1491074657,24,0
1491162502,25,0
1491250592,27,0
1491323778,21,1
1491414034,32,0
1491501876,32,0
