DateTime,AddedIPs,RemovedIPs
1521142381,2,1
1521145981,4,2
1521149581,3,1
1521153181,0,2
1521157227,2,0
1521160827,1,5
1521163981,0,2
1521168027,3,3
1521171628,1,4
1521174781,1,1
1521178381,2,3
1521181981,2,0
1521185582,1,1
1521189181,1,2
1521192782,1,5
1521199981,2,4
1521203581,1,2
1521207181,3,6
1521210781,2,1
1521214381,2,0
1521217981,2,2
1521221582,0,1
1521225181,1,0
1521228781,0,3
1521232382,1,0
1521235981,1,0
1521239582,4,2
1521243182,4,2
1521246781,2,0
1521250381,1,0
1521253981,1,2
1521257581,2,1
1521268381,0,1
1521271981,1,1
1521275581,1,0
1521279181,2,2
1521282781,3,2
1521286381,1,0
1521289981,2,4
1521293581,0,2
1521297181,2,4
1521300781,4,0
1521304381,4,5
1521307981,1,1
1521311581,1,2
1521315181,3,2
1521318781,1,1
1521322381,2,0
1521325981,3,3
1521330028,2,3
1521333181,0,1
1521336781,6,1
1521343982,1,3
1521347581,2,0
1521351181,3,0
1521354781,2,1
1521358382,3,1
1521361981,0,2
1521365581,0,1
1521369182,6,0
1521372781,0,1
1521376381,3,1
1521379981,1,5
1521383581,5,0
1521387182,3,1
1521390781,0,3
1521394381,2,4
1521397981,3,0
1521402028,4,1
1521405627,1,2
1521409228,1,3
1521412829,2,2
1521420028,1,0
1521423182,1,5
1521426781,1,2
1521430381,3,1
1521437582,0,4
1521441181,0,4
1521448381,2,4
1521455581,1,5
1521459181,2,1
1521462781,5,3
1521466381,1,6
1521469981,1,0
1521473581,2,4
1521477181,2,0
1521480781,0,1
1521484381,2,3
1521487981,1,2
1521491581,4,1
1521495182,5,2
1521499227,5,3
1521502381,0,2
1521509582,2,3
1521513181,1,2
1521516781,4,1
1521520381,2,3
1521531182,2,2
1521534781,1,2
1521538381,3,0
1521541981,0,6
1521545582,1,1
1521556382,1,1
1521559981,1,3
1521563581,1,0
1521567181,1,1
1521570781,1,1
1521574381,2,1
1521581581,0,15
1521585181,2,0
1521588781,3,0
1521595981,3,0
1521599581,1,3
1521603181,1,0
1521606781,1,3
1521610382,2,2
1521617581,1,2
1521621181,2,2
1521624781,1,0
1521628381,3,0
1521631981,1,1
1521635581,1,3
1521639627,4,3
1521643226,2,0
1521646827,1,2
1521649981,0,1
1521653581,2,1
1521657181,2,0
1521660781,0,1
1521664382,1,1
1521667981,2,0
1521671581,1,0
1521675626,1,3
1521678781,0,2
1521682381,2,4
1521685981,2,0
1521689582,1,0
1521693181,0,3
1521696781,4,0
1521700381,0,1
1521703982,3,3
1521707581,1,0
1521711626,1,2
1521715226,2,2
1521718827,2,1
1521722427,3,1
1521729181,3,2
1521732781,1,1
1521736381,1,0
1521739981,2,3
1521743581,0,1
1521747182,2,2
1521750781,2,0
1521754381,3,1
1521757981,0,5
1521761581,1,0
1521765181,2,0
1521768781,1,0
1521775982,2,1
1521779581,3,0
1521783181,2,2
1521786782,1,7
1521790381,0,1
1521793981,2,0
1521797581,5,3
1521801181,4,0
1521804781,0,2
1521808382,1,3
1521811981,1,0
1521815582,2,5
1521819181,2,0
1521822781,1,2
1521826381,0,2
1521829982,0,2
