DateTime,AddedIPs,RemovedIPs
1521322381,10,10
1521325981,10,9
1521330028,14,14
1521336781,14,15
1521340381,11,8
1521343982,8,10
1521347581,9,9
1521351181,12,12
1521354781,5,5
1521358382,12,11
1521361981,3,6
1521365581,1,1
1521369182,15,13
1521372781,2,2
1521376381,5,4
1521379981,2,2
1521383581,11,10
1521387182,5,4
1521390781,8,7
1521394381,4,6
1521397981,4,3
1521402028,11,10
1521405627,6,5
1521409228,3,4
1521412829,7,8
1521416428,5,5
1521420028,5,4
1521423182,5,6
1521426781,4,5
1521430381,6,7
1521433981,8,9
1521437582,2,1
1521441181,2,3
1521444781,7,7
1521448381,4,3
1521451981,3,4
1521455581,5,6
1521459181,5,6
1521462781,6,5
1521466381,6,4
1521469981,1,3
1521473581,4,3
1521477181,6,6
1521480781,5,5
1521484381,6,6
1521487981,3,3
1521491581,8,6
1521495182,15,13
1521499227,16,19
1521505981,2,2
1521509582,7,5
1521513181,5,6
1521516781,8,9
1521520381,9,8
1521523981,3,5
1521527581,3,4
1521531182,5,5
1521534781,4,3
1521538381,9,8
1521541981,2,3
1521545582,6,6
1521549181,4,4
1521552781,5,5
1521556382,2,3
1521559981,3,3
1521563581,3,3
1521567181,2,2
1521570781,4,5
1521574381,6,6
1521577981,6,6
1521581581,2,2
1521585181,5,4
1521588781,7,8
1521592381,7,7
1521595981,7,4
1521599581,5,6
1521603181,7,6
1521606781,3,5
1521610382,7,6
1521613982,5,5
1521617581,4,5
1521621181,8,6
1521624781,4,5
1521628381,6,5
1521631981,3,6
1521635581,6,7
1521639627,14,13
1521643226,9,10
1521646827,8,6
1521653581,11,9
1521657181,4,7
1521660781,6,7
1521664382,7,6
1521667981,5,4
1521671581,10,7
1521675626,5,11
1521682381,8,8
1521685981,9,9
1521689582,8,7
1521693181,5,6
1521696781,9,8
1521700381,5,4
1521703982,13,13
1521707581,6,5
1521711626,12,14
1521715226,8,7
1521718827,8,8
1521722427,11,9
1521729181,11,12
1521732781,3,3
1521736381,6,7
1521739981,4,4
1521743581,7,7
1521747182,9,7
1521750781,4,5
1521754381,7,9
1521757981,3,2
1521761581,6,6
1521765181,8,9
1521768781,4,4
1521772381,6,5
1521775982,5,3
1521779581,13,11
1521783181,5,5
1521786782,7,8
1521790381,1,1
1521793981,2,2
1521797581,11,10
1521801181,9,8
1521808382,5,5
1521811981,7,10
1521815582,3,2
1521819181,8,10
1521822781,6,4
1521826381,9,7
1521833581,8,11
1521837181,6,7
1521840781,7,7
1521844381,5,6
1521847982,9,6
1521851581,3,2
1521855181,10,11
1521858782,4,4
1521862381,6,9
1521865981,1,1
1521869581,2,2
1521873181,14,13
1521876781,8,5
1521880381,6,6
1521883981,6,8
1521887581,6,4
1521891182,6,9
1521894781,1,1
1521898381,6,6
1521901981,9,9
1521905581,6,5
1521909181,5,7
1521912781,11,6
1521916381,7,9
1521919981,13,12
1521923581,3,5
1521927181,15,15
1521930781,3,4
1521934381,8,9
1521937982,10,7
1521941581,7,10
1521945181,12,10
1521948781,10,8
1521952381,3,5
1521955982,8,8
1521959581,7,7
1521963181,4,5
1521966782,5,5
1521970381,5,5
1521973981,5,6
1521977581,5,4
1521981181,4,4
1521984781,10,10
1521988382,8,7
1521991981,6,6
1521995581,9,8
1521999181,8,7
1522002782,7,7
1522006381,9,8
1522009981,6,7
1522013582,11,9
1522017181,4,5
1522020782,3,7
1522024381,7,7
1522027981,2,3
1522031581,10,8
1522035181,2,3
1522038781,2,3
1522042381,7,5
1522045981,5,5
1522049581,3,4
1522053182,6,5
1522056781,4,4
1522060827,10,9
1522064427,6,8
1522068028,9,10
1522071626,8,9
1522075227,7,5
1522078827,7,6
1522085581,5,4
1522089181,10,8
1522092781,6,8
1522096381,9,8
1522099981,5,5
1522103581,10,11
1522107181,5,4
1522110781,8,8
1522114381,7,6
1522117981,12,15
1522121581,3,2
1522125181,5,4
1522128782,7,9
1522132381,6,6
1522135981,6,7
1522139581,3,4
1522143182,6,6
1522147227,14,14
1522153982,10,10
1522157581,8,8
1522161181,7,5
1522164782,5,5
1522168381,7,7
1522171981,8,11
1522175581,9,7
1522179181,7,6
1522182782,7,7
1522186381,6,6
