DateTime,AddedIPs,RemovedIPs
1483010645,0,1
1483467607,1,1
1483610644,0,1
1483616409,1,1
1484132171,1,0
1484134085,0,16
1484210889,0,1
1484471526,1,0
1484554567,0,1
1484997845,1,0
1485107537,0,1
1485354004,1,0
1485602884,1,0
1485768006,0,1
1486113843,1,1
1486410724,1,0
1486549692,1,1
1486563602,0,1
1486657684,0,1
1486821127,1,0
1486966805,0,1
1487672644,1,1
1487846882,1,1
1488267363,0,1
1488714964,0,1
1489051683,0,5
1489053611,1,0
1489150566,1,0
1489394883,1,1
1489474564,0,1
1489483219,0,1
1489560004,0,1
1489561923,1,0
1489575364,1,0
1489652167,0,1
1489758722,1,0
1489778166,1,0
1489858083,1,0
1489920726,1,0
1489924566,1,1
1490021045,1,0
1490090411,1,2
1490124008,0,1
1490128085,1,0
1490172482,2,0
1490174404,0,1
1490256723,0,1
1490258888,1,0
1490272322,1,0
1490472723,0,1
1490474644,1,0
1490516883,1,0
1490521682,1,0
1490600882,0,1
1490627764,0,1
1490687528,1,0
1490691363,0,1
1490712965,0,1
1490714890,1,0
1490720645,0,1
1490722579,1,0
1490726422,0,1
1490728327,1,0
1490753527,0,1
1490755445,1,0
1490790015,0,1
1490791923,1,0
1490795763,0,1
1490797688,1,0
1490815206,0,1
1490817128,1,0
1490833444,0,1
1490837282,1,0
1490851683,0,1
1490853621,1,0
1490867287,1,1
1490871123,0,1
1490873043,1,0
1490878821,0,1
1490880723,1,0
1490886484,0,1
1490888403,1,0
1490945047,0,1
1490946966,1,0
1490966163,0,1
1490971927,1,0
1491195619,1,0
1491205445,1,0
1491357365,0,1
1491376804,1,2
1492443363,1,0
1492699686,1,1
1493288643,1,1
1493388962,1,2
1493493363,1,1
1493560827,1,0
1493578824,1,1
1493625130,1,1
1493661365,1,1
1493802487,0,1
1493914323,1,0
1493931623,1,1
1493968328,1,1
1494068646,1,1
1494149282,1,1
1494153124,1,1
1494162724,1,1
1494164643,1,1
1494227524,1,1
1494320167,1,1
1494343202,1,1
1494607207,1,0
1494667685,2,3
1494670812,1,0
1494694326,0,1
1494755284,1,1
1494838328,1,1
1495030326,1,1
1495178405,1,1
1495443367,1,1
1495556645,1,0
1495612566,2,2
1495794963,1,1
1495985042,1,0
1495988647,0,1
1496128563,0,2
1496301123,1,0
1496303045,1,0
1496332338,1,0
1496386085,1,0
1496395209,1,2
1496397123,0,1
1496669046,1,3
1496670963,2,1
1496694490,2,1
1496747768,1,0
1496823603,0,3
1496825527,1,0
1496835363,2,2
1496904973,0,1
1496906884,1,1
1496998325,1,1
1497174965,2,3
1497348728,1,1
1497367446,1,0
1497947284,1,0
1497949221,2,1
1498039687,0,1
1498041610,1,0
1499074325,1,1
1499076244,1,2
1499080086,1,0
1499249528,1,1
1499344805,0,120
1499368567,120,0
1499408403,0,120
1499431922,120,0
1499435764,1,0
1499598725,2,2
1499600647,0,1
1499610244,1,1
1499670967,1,1
1499847363,1,1
1499930644,1,1
1500025923,1,1
1500060004,1,0
1500116886,1,0
1500118807,2,0
1500130325,0,1
1500197285,1,1
1500282967,1,0
1500284883,1,1
1500286805,1,1
1500300487,1,0
1500368424,0,1
1500370323,1,1
1500391447,1,0
1500581767,0,1
1500622083,0,1
1500636486,1,0
1500639369,1,0
1500880567,1,0
1500967202,1,1
1500971043,1,0
1501139765,0,1
1501141687,0,1
1501151524,0,1
1501197367,1,0
1501199287,0,1
1501201207,1,0
1501203123,0,1
1501205288,1,0
1501212009,0,1
1501219686,1,0
1501222567,0,1
1501226407,1,0
1501228323,0,1
1501234087,1,0
1501236963,0,1
1501240804,1,0
1501244165,0,1
1501248004,1,0
1501249925,0,1
1501259763,1,0
1501261688,0,1
1501271285,1,0
1501273203,0,1
1501287607,1,0
1501289528,0,1
1501298167,1,0
1501300086,0,1
1501303924,1,0
1501308966,0,1
1501312805,1,0
1501314725,0,1
1501321684,1,0
1501323605,0,1
1501332489,1,0
1501334405,0,1
1501336324,1,0
1501341367,0,1
1501363688,1,0
1501366564,0,1
1501368582,1,0
1501370404,0,1
1501377366,1,0
1501381204,0,1
1501393927,1,0
1501395850,0,1
1501397766,1,0
1501399689,0,1
1501402565,1,0
1501408564,0,1
1501425125,1,0
1501428965,0,1
1501434727,1,0
1501439051,0,1
1501449605,1,0
1501456569,0,1
1501458487,1,0
1501460405,0,1
1501462328,1,0
1501464247,0,1
1501468088,1,0
1501470966,0,1
1501474803,1,0
1501476723,0,1
1501480565,1,0
1501485365,0,1
1501494965,1,0
1501496887,0,1
1501499766,1,0
1501501925,0,1
1501504087,1,0
1501509364,0,1
1501511287,1,0
1501514164,0,1
1501518008,1,0
1501519926,0,1
1501521845,1,0
1501523768,0,1
1501542970,1,0
1501544885,0,1
1501548724,1,0
1501552565,0,1
1501557365,1,0
1501561206,0,1
1501565283,1,0
1501568166,0,1
1501572012,1,0
1501573925,0,1
1501586883,1,0
1501589531,0,1
1501591449,1,0
1501593365,0,1
1501601049,1,0
1501614245,0,1
1501652886,1,0
1501654803,0,1
1501656722,1,0
1501676163,1,0
1501829765,1,0
1501831686,0,1
1501854964,1,0
1502011208,0,1
1502018167,1,0
1502090643,0,1
1502094484,1,1
1502178485,1,0
1502205123,0,1
1502276165,1,0
1502283124,1,0
1502360167,1,2
1502436251,1,2
1502539215,1,0
1502581203,1,0
1502695447,1,0
1502789523,1,1
1502797207,0,1
1502871365,0,1
1502873287,0,1
1502893445,1,0
1502908803,0,1
